model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method
deepseek-chat,OWF-2023-NS-001,Offshore,379,22,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive (EU 2021/123),environmental; spatial,0.1836930077784053,0.008150178319145074,0.3580739458752508,0.04838709677419355,0.6333333333333333,65,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,1 km,comprehensive_scientific
deepseek-chat,OWF-REG-2023-004,Offshore,365,10,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.18355351829371028,0.008326969075006182,0.3658411579614883,0.04878048780487805,0.6071428571428571,72,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
gpt-4o-mini,,Offshore,190,48,Environmental,Cable protection may be required for up to 10% of the route.,Cable protection for the array and substation interconnection cables.,24,acres,Inspire 2021,environmental impact assessment; benthic habitat protection,0.1834398730994391,0.006292965704034844,0.34564590385058197,0.03614457831325301,0.7,32,outer continental shelf a (partial); cut in wind speed (partial); impact assessment; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,24 acres,comprehensive_scientific
deepseek-chat,NS-OWF-2023-001,Offshore,325,32,Spatial,No construction within 5km of designated marine protected areas,North Sea marine sanctuaries,5,kilometers,EU Maritime Spatial Planning Directive,environmental; planning,0.18282569170456256,0.0036799237523346623,0.34455924575292307,0.03278688524590164,0.7142857142857143,36,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); design; torpedo testing area (partial); current time (partial); down time (partial); number of turbines per row (partial); wind speed at 10m (partial); time,True,5 kilometers,comprehensive_scientific
gpt-4o-mini,1.1.1,Offshore,35,26,Technical,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,WTGs,Record of Decision (ROD),construction; installation; offshore infrastructure,0.18206856931268875,0.009699508048454902,0.3356503601723452,0.05185185185185185,0.6712328767123288,67,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 WTGs,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,244,10,Environmental,All turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.18019431294304158,0.005581878296051554,0.3731591224660945,0.04435483870967742,0.5714285714285714,67,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,338,49,Environmental,All wind turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.1799095214998343,0.00742957353530793,0.3648201156286775,0.04435483870967742,0.5862068965517241,67,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,39,45,Environmental,All wind turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.1799095214998343,0.00742957353530793,0.3648201156286775,0.04435483870967742,0.5862068965517241,67,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
deepseek-chat,OWF-REG-2023-001,Offshore,26,11,Environmental,All offshore wind turbines must maintain a minimum distance of 1 km from marine protected areas.,European Union waters,1,km,EU Marine Spatial Planning Directive 2023,environmental; spatial,0.17964763514375842,0.006067129643805605,0.3734859920977427,0.040160642570281124,0.5714285714285714,63,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,1 km,comprehensive_scientific
deepseek-chat,DOC-2023-001,Offshore,355,48,Environmental,Wind turbines must maintain a minimum distance of 500 meters from marine protected areas.,North Sea offshore wind projects,500,meters,Marine Spatial Planning Directive 2023,environmental; spatial,0.17843460894135144,0.008326969075006182,0.3658411579614883,0.04897959183673469,0.5555555555555556,65,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,500 meters,comprehensive_scientific
deepseek-chat,OWEDG-NS-2023,Offshore,6,22,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive (EU) 2021/123,environmental; spatial,0.17810549582434665,0.007984190033966587,0.35078133485307106,0.04838709677419355,0.6,72,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
gemini-1.5-pro,5-32,Offshore,221,48,Environmental,Cable protection may be required for up to 10% of the route,BL England offshore export cable construction area,10.0,%,,cable protection; habitat preservation,0.175321310487281,0.007363972787821762,0.3335463113838768,0.028225806451612902,0.6666666666666666,37,outer continental shelf a (partial); torpedo testing area (partial); cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,10.0 %,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,138,49,Environmental,All wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,North Sea offshore wind projects,500,meters,Marine Spatial Planning Directive 2023,environmental; spatial,0.17489617526524812,0.00742957353530793,0.3648201156286775,0.044534412955465584,0.5357142857142857,60,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,500 meters,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,14,18,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from marine protected areas.,European Union waters,1.0,km,EU Marine Spatial Planning Directive 2021,Environmental; Spatial,0.17455423126325686,0.005157167373290807,0.3723997858083733,0.036,0.5357142857142857,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,1.0 km,comprehensive_scientific
deepseek-chat,DOC-2023-001,Offshore,131,23,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from marine protected areas.,European Union waters,1,km,EU Marine Spatial Planning Directive (2021),Environmental; Spatial,0.17455423126325686,0.005157167373290807,0.3723997858083733,0.036,0.5357142857142857,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,1 km,comprehensive_scientific
deepseek-chat,OWF-REG-2023-001,Offshore,555,22,Environmental,All turbine foundations must avoid designated marine protected areas by a minimum buffer of 500 meters.,North Sea offshore wind projects,500,meters,Marine Spatial Planning Directive 2022,environmental; spatial,0.17410830723189463,0.006748337637935074,0.3580040567271844,0.04417670682730924,0.5517241379310345,69,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); design,True,500 meters,comprehensive_scientific
deepseek-chat,OWEDG-2023-NS-001,Offshore,40,40,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive (EU) 2021/123,"Environmental protection, marine biodiversity",0.1732652702329034,0.008018012144215457,0.33413766102314707,0.05220883534136546,0.59375,73,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
deepseek-chat,OWED-2023-001,Offshore,304,10,Environmental,Wind turbines must maintain a minimum distance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2021,environmental; spatial,0.1725698154787479,0.006067129643805605,0.3734859920977427,0.04048582995951417,0.5,63,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
gemini-1.5-pro,Page 3 of 93,Offshore,39,26,Technical,"The Lessee must submit a 48-hour notification to BSEE through TIMSWeb prior to the start of each of the following construction activities occurring on the OCS: met tower installation, seabed preparation activities such as boulder relocation and pre-lay grapnel runs, export cable installation, inter-array cable installation, WTG and OSS foundation installation, WTG tower and nacelle installation, OSS topside installation, and cable and scour protection installation.","Construction phase, Offshore wind farm components (Met tower, seabed, cables, foundations, WTG, OSS)",48,hours,,construction management; reporting requirements,0.17166768062268842,0.014069467327937235,0.3254848061931951,0.05776173285198556,0.5684210526315789,79,sea depth (partial); tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); foundation; farm power output (partial),True,48 hours,comprehensive_scientific
gemini-1.5-pro,,Offshore,61,12,Spatial,"For VIAs for projects where the closest turbine is located less than 43 km (23 nm) from shore, the area of impact analysis for the VIA for daytime impacts is determined by running a viewshed from the blade tip height of the proposed project turbines until intercepted by terrain (adjusted for viewer height and elevation) or limited by earth curvature.","Visual Impact Assessment (VIA) for offshore wind projects less than 43 km from shore, daytime impacts",43.0,km,BOEM,visual impact assessment; environmental impact assessment,0.17000811382182993,0.0079307989528675,0.3594241011360489,0.050724637681159424,0.48863636363636365,76,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); impact assessment; caribbean fishery management council (partial); min depth (partial); torpedo testing area (partial),True,43.0 km,comprehensive_scientific
gpt-4o-mini,2.15,Offshore,60,26,Technical,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",Export and inter-array cables,10,percent,Section 2.15.1,cable installation; marine engineering,0.1697008587788995,0.005638873600564068,0.3233314173077747,0.03515625,0.6341463414634146,31,outer continental shelf a (partial); cut in wind speed (partial); foundation; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); installation; distance to substation (partial),True,10 percent,comprehensive_scientific
deepseek-chat,NS-OW-2023-001,Offshore,327,48,Environmental,All wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea Exclusive Economic Zone,1,km,Marine Spatial Planning Directive 2022,Environmental protection; Siting,0.16946562669650575,0.0074305230594517435,0.31734364964026635,0.056451612903225805,0.6,74,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); zone; turbine status (partial); min depth (partial),True,1 km,comprehensive_scientific
claude-3-haiku-20240307,,Offshore,221,48,Environmental,"Cable protection may be required for up to 10% of the route (up to 4 acres [1.62 hectares]) for the BL England offshore export cable construction area, and up to 10% of the route (up to 17 acres [6.88 hectares]) for the Oyster Creek offshore and inshore export cable construction areas.",Offshore export cable construction areas for BL England and Oyster Creek,10,Percent,Inspire 2021,Environmental,0.16893099886268542,0.005345363535166667,0.35182171944370927,0.02681992337164751,0.5588235294117647,33,outer continental shelf a (partial); cut in wind speed (partial); torpedo testing area (partial); cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); distance to substation (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,10 Percent,comprehensive_scientific
gemini-1.5-pro,7,Offshore,14,42,Technical,Lessees have up to five years to perform site assessment and site characterization activities before they must submit a Construction and Operations Plan (COP),Site assessment and characterization activities,5.0,years,30 CFR § 585.235(a)(2),site assessment; site characterization; planning,0.1685081851042564,0.0063360439409343135,0.37501926574334876,0.0234375,0.4878048780487805,26,outer continental shelf a (partial); cut in wind speed (partial); impact assessment (partial); number of turbines per row (partial); turbine position y (partial); site name (partial); wind speed at 10m (partial); distance to substation (partial); landing site (partial); distance to population center (partial),True,5.0 years,comprehensive_scientific
deepseek-chat,NSW-2023-001,Offshore,162,20,Environmental,All wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,North Sea Wind Consortium (NSWC),Environmental protection; Marine spatial planning,0.16793323965214257,0.010050075584008748,0.292539645430218,0.05263157894736842,0.65625,75,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
gemini-1.5-pro,,Offshore,65,26,Technical,The Lessee must carry out an initial foundation scour inspection within 6 months of completing the installation of each foundation location.,Foundation scour inspection,6,months,,scour protection; foundation integrity; inspection timing,0.16750422743038945,0.003153888586485505,0.398357293749425,0.024,0.41935483870967744,26,outer continental shelf a (partial); cut in wind speed (partial); foundation; min depth (partial); min kilovolt (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); installation; gulf of mexico fishery management council (partial),True,6 months,comprehensive_scientific
gemini-1.5-pro,,Offshore,61,13,Spatial,A second viewshed is run from the height of the top of the nacelle of the proposed project turbines for assessment of nighttime impacts. Neither viewshed shall exceed 74 km (40 nm).,"Visual Impact Assessment (VIA) for offshore wind projects less than 43 km from shore, nighttime impacts",74.0,km,BOEM,environmental impact assessment; visual impact,0.16746416395512762,0.005804043518061795,0.34755613444404543,0.041666666666666664,0.5254237288135594,65,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); nacelle uptilt angle (partial); turbine status (partial); impact assessment; caribbean fishery management council (partial); current time (partial),True,74.0 km,comprehensive_scientific
gemini-1.5-pro,5-32,Offshore,221,48,Environmental,Cable protection may be required for up to 10% of the route,Oyster Creek offshore and inshore export cable construction area,10.0,%,,cable protection; habitat preservation,0.16736542045807487,0.007165054905242534,0.32453645652505436,0.028,0.6153846153846154,37,outer continental shelf a (partial); cut in wind speed (partial); torpedo testing area (partial); cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,10.0 %,comprehensive_scientific
deepseek-chat,OWED-2023-001,Offshore,35,10,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2021,environmental; spatial,0.1671947133618035,0.005157167373290807,0.3723997858083733,0.036290322580645164,0.46153846153846156,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
deepseek-chat,OWED-2023-001,Offshore,126,20,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2023,environmental; spatial,0.1671947133618035,0.005157167373290807,0.3723997858083733,0.036290322580645164,0.46153846153846156,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
deepseek-chat,OWED-2023-001,Offshore,211,20,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2021,environmental; spatial,0.1671947133618035,0.005157167373290807,0.3723997858083733,0.036290322580645164,0.46153846153846156,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
gpt-4o-mini,41,Offshore,110,22,Technical,A lessee must submit a COP at least six months before the end of the site assessment term of a lease.,Site assessment phase,6,months,,permitting; site assessment,0.16704976371458485,0.007871876803273708,0.3222755407944642,0.032520325203252036,0.6071428571428571,29,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); impact assessment (partial); end date (partial); lease date (partial); number of turbines per row (partial); site name (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial),True,6 months,comprehensive_scientific
deepseek-chat,OWF-REG-2023,Offshore,86,7,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,All offshore wind projects in European waters,500,meters,EU Marine Spatial Planning Directive,Environmental protection; Marine ecosystems,0.16692447456701248,0.007081292311933082,0.345596848054776,0.044,0.5161290322580645,61,wind direction (partial); cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,500 meters,comprehensive_scientific
deepseek-chat,NS-OWF-2023-001,Offshore,415,10,Environmental,All turbines must maintain a minimum clearance of 500 meters from identified marine protected areas.,North Sea offshore wind projects,500,meters,Marine Spatial Planning Directive (EU 2021/123),environmental; spatial,0.16588658929920808,0.005235082795429093,0.3499751872701215,0.044,0.5,67,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,500 meters,comprehensive_scientific
deepseek-chat,OWED-2023-001,Offshore,207,10,Environmental,All offshore wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2023,environmental; spatial,0.16491110657534172,0.005043843585312106,0.3642166590421515,0.036,0.4642857142857143,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,48,22,Environmental,All offshore wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2021,environmental; spatial,0.16491110657534172,0.005043843585312106,0.3642166590421515,0.036,0.4642857142857143,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,932,20,Environmental,All offshore wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive (2021),Environmental; Spatial,0.16491110657534172,0.005043843585312106,0.3642166590421515,0.036,0.4642857142857143,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
gpt-4o-mini,5-58,Offshore,211,49,Environmental,Cable protection may be required for up to 15 percent of the route (up to 139 acres [56.3 hectares]),Cable protection for offshore export cable routes,139,acres,,environmental impact assessment; marine habitat protection,0.16441378184223235,0.00646102830208328,0.31944842122866157,0.035856573705179286,0.5882352941176471,31,outer continental shelf a (partial); cut in wind speed (partial); impact assessment; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,139 acres,comprehensive_scientific
claude-3-haiku-20240307,10-43,Offshore,364,48,Spatial,Cable protection shall be calculated using a 2.99 m total width,Cable protection areas,2.99,m,Ocean Wind 1 Offshore Wind Farm Essential Fish Habitat Assessment,Technical,0.16425513460722663,0.010644734760911153,0.2814123048170079,0.044534412955465584,0.6666666666666666,64,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); farm power output (partial); impact assessment (partial); torpedo testing area (partial); cable; number of turbines per row (partial); power line id (partial),True,2.99 m,comprehensive_scientific
deepseek-chat,NSW-REG-2023-004,Offshore,229,20,Environmental,Wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Marine spatial planning,0.16412464365969331,0.008926724377490118,0.28905973840011095,0.05668016194331984,0.625,67,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); zone; turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
