model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color
gpt-4o-mini,"§ 585.505, § 585.506",Offshore,88,1,Financial,You must pay ONRR as provided in 30 CFR 1218.51 the rent due at the beginning of each subsequent 1-year period on the entire lease area for the duration of your operations period.,Subsequent annual payments for the lease area during the operational phase.,1.0,year,§ 585.505,financial obligations; lease management,0.0980828543959417,0.007269359338283805,0.1373761550322826,0.033962264150943396,0.4716981132075472,50,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); torpedo testing area (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); wind speed at 10m (partial),True,1.0 year,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,page 58 of 98,Offshore,95,1,Jurisdictional,"The total amount of the financial assurance must be no less than the amount required to meet your limited lease and grant obligations, including: (1) The projected amount of rent and other payments due to the United States over the next 12 months; (2) Any past due rent and other payments; (3) Other monetary obligations; and (4) The estimated cost of facility decommissioning as required by 30 CFR part 285, subpart I.","Outer Continental Shelf Limited Lease, Grant",12.0,months,30 CFR 585.521(b),financial assurance; lease agreements; decommissioning,0.09769065490680863,0.005226093702589723,0.15763184374856765,0.028070175438596492,0.42696629213483145,38,tower cost (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); outer continental shelf name (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial),True,12.0 months,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,30 CFR Part 585 (up to date as of 2/18/2025),Offshore,100,1,Financial,The audited financial information for your most recent fiscal year must cover a continuous twelve month period within the twenty-four-month period prior to the lessee's receipt of the determination that you must provide supplemental financial assurance.,Lease or grant activities on the Outer Continental Shelf,12.0,months,30 CFR 585.527(b)(1),financial assurance; leasing; project financing; auditing,0.09565923349998887,0.003690241081102745,0.18283599092063857,0.03272727272727273,0.32786885245901637,46,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial),True,12.0 months,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,§ 585.232,Offshore,59,1,Jurisdictional,Within 10 business days after you receive the lease you must execute and return the lease.,Lease acceptance process,10.0,business days,30 CFR § 585.231,lease management; regulatory compliance,0.09496192550387217,0.006243913269982033,0.1958429186734727,0.00784313725490196,0.32142857142857145,31,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); lease date (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); distance to population center (partial),True,10.0 business days,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-2.5-pro,30 CFR Part 585 / page 64 of 98,Offshore,105,1,Jurisdictional,A surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify the lessee/grantee of that request no less than 90 days before the proposed termination date.,Termination of financial assurance liability period for leases or grants on the Outer Continental Shelf.,90.0,days,30 CFR 585.532(b),financial assurance; lease management; surety obligations,0.09489406676644122,0.004304007386684138,0.16927408407895353,0.032846715328467155,0.3582089552238806,44,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial),True,90.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,30 CFR Part 585,Offshore,36,1,Jurisdictional,"After considering any objections from the submitter, if we determine that release of such data and information will result in substantial competitive harm or disclosure of trade secrets, then the data and information will not be released at that time but will be subject to further review every 3 years thereafter.",Outer Continental Shelf,3.0,years,30 CFR 585.114(c)(2),data confidentiality; competitive harm; trade secrets,0.09452974913670724,0.0033453400974744656,0.18704520830179433,0.02867383512544803,0.31343283582089554,53,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); current time (partial); down time (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial),True,3.0 years,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,page 58 of 98,Offshore,95,1,Jurisdictional,"Before BOEM will execute your limited lease, ROW grant, or RUE grant, or approve an assignment of an interest therein, you or a proposed assignee must guarantee compliance with all terms and conditions of the lease or grant by providing a bond or other authorized financial assurance in the amount of 12 months' rent.","Outer Continental Shelf Lease, ROW grant, RUE grant",12.0,months,30 CFR 585.520,financial assurance; lease agreements,0.09347740979208041,0.005702008407063549,0.15359442286454175,0.03225806451612903,0.38666666666666666,37,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); outer continental shelf name (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); gulf of mexico fishery management council (partial),True,12.0 months,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,,Offshore,99,1,Financial,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective.,Financial assurance for wind farm operations,90.0,days,BOEM regulations,financial assurance; regulatory compliance,0.09344706006455367,0.005340015800546745,0.14851542598580855,0.023255813953488372,0.42105263157894735,53,wind direction (partial); outer continental shelf a (partial); regulation; cut in wind speed (partial); farm power output (partial); end date (partial); caribbean fishery management council (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,90.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,,Offshore,99,1,Jurisdictional,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective,Financial assurance for offshore wind leases or grants,90.0,days,,financial security; lease agreements,0.09235412284793616,0.005349035974294017,0.16296803750589467,0.015444015444015444,0.38235294117647056,43,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind zone (partial); wind speed at 10m (partial),True,90.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,"585.541, 585.542",Offshore,109,1,Jurisdictional,"A qualified project for the purpose of revenue sharing with eligible coastal States is one authorized under subsection 8(p) of the OCS Lands Act, which includes acreage within the area extending 3 miles seaward of State submerged lands.",Qualified project area for revenue sharing,3.0,miles,"OCS Lands Act, subsection 8(p)",revenue sharing; jurisdictional boundaries,0.09135846428966207,0.0031683821976564073,0.1508203264450352,0.018867924528301886,0.4107142857142857,30,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); end date (partial); torpedo testing area (partial); number of turbines per row (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); missile testing area (partial); number of blades (partial),True,3.0 miles,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,30 CFR 585.538-585.539 (enhanced display) page 66 of 98,Offshore,107,1,Jurisdictional,"You may avoid forfeiture if, within 10 business days: (1) You agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so; or (2) Your surety agrees to and demonstrates that it will bring your lease or grant into compliance within the timeframe we prescribe, even if the cost of compliance exceeds the face amount of the bond.",Lease or grant for offshore wind energy development,10.0,business days,30 CFR 585.536(b),lease compliance; forfeiture,0.09033030948100049,0.0052586861758315865,0.13028910410029879,0.02464788732394366,0.4421052631578947,66,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); current time (partial); down time (partial); lease date (partial); number of turbines per row (partial),True,10.0 business days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,§ 585.541,Offshore,109,1,Jurisdictional,"A qualified project for the purpose of revenue sharing with eligible coastal States is one authorized under subsection 8(p) of the OCS Lands Act, which includes acreage within the area extending 3 miles seaward of State submerged lands.",Area extending 3 miles seaward of State submerged lands,3.0,miles,"OCS Lands Act, subsection 8(p)",revenue sharing; coastal management,0.08890349737258524,0.0033392341789810747,0.14114794351281115,0.022727272727272728,0.4067796610169492,35,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); end date (partial); caribbean fishery management council (partial); torpedo testing area (partial); number of turbines per row (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,3.0 miles,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,,Offshore,99,1,Financial,The letter of credit must contain a provision for automatic renewal for periods of not less than 1 year in the absence of notice of cancellation to BOEM at least 90 calendar days before the expiration date.,Financial assurance for wind farm operations,1.0,year,BOEM regulations,financial assurance; regulatory compliance,0.08804041136941766,0.0042120607316956,0.11650084002808177,0.04150943396226415,0.43103448275862066,55,wind direction (partial); outer continental shelf a (partial); regulation; cut in wind speed (partial); farm power output (partial); end date (partial); caribbean fishery management council (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,1.0 year,comprehensive_scientific,0.08,Medium Relevance,🟢
claude-3-haiku-20240307,30 CFR § 585.426 - 585.428,Offshore,79,1,Jurisdictional,"You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant, or no later than two years before the termination date of the operations period of your commercial lease.",Offshore renewable energy leases and grants,180.0,days,30 CFR § 585.426(a),Jurisdictional,0.087815446043103,0.004070963788217269,0.15540576429757325,0.022388059701492536,0.3508771929824561,39,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,180.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
deepseek-chat,BOEM Order No. 2023-05,Offshore,100,1,Environmental,Construction noise levels must not exceed 160 dB re 1 µPa at 750 meters from the source to protect marine life.,U.S. offshore wind construction zones,160,dB re 1 µPa,NOAA,environmental; safety,0.08620497031220917,0.00297499417263055,0.11728140540062396,0.023346303501945526,0.45161290322580644,42,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); zone; life cycle (partial); number of turbines per row (partial); turbine position y (partial); wind zone (partial); wind speed at 10m (partial); danger zone (partial),True,160 dB re 1 µPa,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,30 CFR 585.510,Offshore,93,1,Financial,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,Operational phase,6.0,years,30 CFR 585.510(c),financial management; operational constraints,0.0844195109742346,0.0019744308499211583,0.13820159311292343,0.023346303501945526,0.375,30,outer continental shelf a (partial); cut in wind speed (partial); caribbean fishery management council (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); number of blades (partial); operational event (partial),True,6.0 years,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,"§ 585.426, § 585.427, § 585.428",Offshore,79,1,Jurisdictional,You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant.,Renewal request timeline for limited lease or grant,180.0,days,BOEM regulations § 585.426,lease management; regulatory compliance,0.0843199969291668,0.004843345482462522,0.13422664167542162,0.019083969465648856,0.3829787234042553,53,outer continental shelf a (partial); regulation; cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); current time (partial); down time (partial); min kilovolt (partial),True,180.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,30 CFR 585.225,Offshore,54,1,Jurisdictional,"Within 10 business days after receipt of the unsigned copy, the provisional winner must execute the lease and return it to BOEM.",Lease execution phase,10.0,business days,30 CFR 585.225(b),permitting; lease management,0.08367379905519406,0.004868198556001754,0.13066466769254412,0.015267175572519083,0.39473684210526316,30,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); distance to substation (partial); gulf of mexico fishery management council (partial); number of blades (partial),True,10.0 business days,comprehensive_scientific,0.08,Medium Relevance,🟢
deepseek-chat,OWED-2023-001,Offshore,19,1,Technical,Wind turbine foundations must be designed to withstand a 100-year storm event,All fixed-bottom offshore wind turbines,100,years,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety,0.08213304299557858,0.008298801391563877,0.09498580051208363,0.027450980392156862,0.4482758620689655,55,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); design; number of turbines per row (partial); turbine position y (partial),True,100 years,comprehensive_scientific,0.08,Medium Relevance,🟢
deepseek-chat,NSOW-REG-2023-0042,Offshore,27,1,Technical,Substation platforms shall be designed to withstand 1-in-10000-year wave conditions,All offshore installations in Dogger Bank area,10000,year return period,IEC 61400-3-1,structural engineering; safety,0.08179282929251533,0.003100336500434635,0.11257994402582544,0.0196078431372549,0.42857142857142855,36,outer continental shelf a (partial); cut in wind speed (partial); design; torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); installation; distance to substation (partial); gulf of mexico fishery management council (partial),True,10000 year return period,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-1.5-pro,30 CFR Part 585 (up to date as of 2/18/2025),Offshore,81,1,Technical,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS","Lease or grant termination, Decommissioning",2.0,years,30 CFR 585.433(b),decommissioning; site clearance,0.07925715279467975,0.0034452472195477288,0.08764522818032772,0.018796992481203006,0.4782608695652174,42,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); site name (partial),True,2.0 years,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,NSOW-REG-2023-0042,Offshore,27,1,Environmental,All turbine foundations must maintain a minimum clearance of 500m from identified coral habitats,North Sea Exclusive Economic Zones,500,meters,OSPAR Convention Annex V,environmental; siting,0.07919186044418215,0.003169129911048692,0.1157319567142388,0.023715415019762844,0.38461538461538464,46,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); foundation; zone; turbine status (partial); min depth (partial),True,500 meters,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,,Offshore,99,1,Financial,The letter of credit must be irrevocable during its term and will be subject to collection by BOEM if not replaced by another letter of credit or other form of financial assurance at least 30 calendar days before its expiration date.,Financial assurance for wind farm operations,30.0,days,BOEM regulations,financial assurance; regulatory compliance,0.0791034266903872,0.003885244663070388,0.10716067197225937,0.03345724907063197,0.3870967741935484,60,wind direction (partial); outer continental shelf a (partial); regulation; cut in wind speed (partial); farm power output (partial); end date (partial); caribbean fishery management council (partial); cable; lease date (partial); number of turbines per row (partial),True,30.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,§ 585.536 - § 585.537,Offshore,107,1,Jurisdictional,"You may avoid forfeiture if, within 10 business days: You agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so.",Compliance timeframe for lease or grant,10.0,business days,"BOEM regulations, § 585.536",regulatory compliance; lease management,0.07686415062388317,0.004133597776127211,0.09946780381020638,0.018518518518518517,0.4166666666666667,53,outer continental shelf a (partial); regulation; cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); current time (partial); down time (partial); lease date (partial); number of turbines per row (partial); power line id (partial),True,10.0 business days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,NS-OWF-2023-REG,Offshore,48,1,Safety,Helicopter landing areas on offshore platforms must maintain a minimum diameter of 25 meters,All manned offshore installations,25,meters,International Civil Aviation Organization,safety; operations,0.07584126407208985,0.0024220372927242204,0.11363857553658752,0.02390438247011952,0.36,40,outer continental shelf a (partial); cut in wind speed (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial); turbine position y (partial); landing; rotor diameter (partial); wind speed at 10m (partial),True,25 meters,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,,Offshore,99,1,Financial,"You must monitor the collateral value of your security. If the collateral value of your security falls below the required level of coverage, you must pledge additional security to provide 115 percent of the required amount.",Financial assurance for wind farm operations,115.0,percent,BOEM regulations,financial assurance; regulatory compliance,0.07529472523772972,0.0030355046933209615,0.11851840522290796,0.022813688212927757,0.33962264150943394,57,wind direction (partial); outer continental shelf a (partial); regulation; cut in wind speed (partial); lease id (partial); farm power output (partial); caribbean fishery management council (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial),True,115.0 percent,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,BOEM 2021 / IEC 61400-3,Offshore,33,1,Technical,Offshore wind turbine foundations must be designed to withstand 50-year extreme wave loads.,Global offshore wind projects,50,years,IEC 61400-3,"Structural engineering, safety",0.0714111271251245,0.006311075805257673,0.0857488048901768,0.015810276679841896,0.4,51,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); load; design; number of turbines per row (partial),True,50 years,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-1.5-pro,page 64 of 98,Offshore,105,1,Jurisdictional,Your surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify you of that request no less than 90 days before the proposed termination date.,Lease or grant termination,90.0,days,30 CFR 585.533(b),financial assurance; lease termination,0.06797498698522865,0.003311385064320835,0.11366858469880925,0.018518518518518517,0.28846153846153844,41,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,90.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
claude-3-haiku-20240307,,Offshore,99,1,Technical,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective.,Letter of credit for offshore renewable energy activities,90.0,days,30 CFR 585.516(a)(4),Financial,0.06796952473390819,0.0016599208629586063,0.1085809112719322,0.011494252873563218,0.32432432432432434,19,outer continental shelf a (partial); cut in wind speed (partial); end date (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); number of blades (partial); wind speed at 50m (partial),True,90.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-1.5-pro,30 CFR 585.235(a),Offshore,59,1,Jurisdictional,Within 10 business days after you receive the lease you must: (i) Execute and return the lease; and (ii) File financial assurance as required under §§ 585.516 through 585.529.,Lease acquisition,10.0,business days,30 CFR 585.231(1),leasing; financial assurance,0.06488342991505855,0.0034318722383877365,0.11975565248629484,0.0037735849056603774,0.2682926829268293,14,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); lease date (partial); turbine position y (partial); lease type (partial); impact area uri (partial); cut out wind speed (partial); wind lease (partial); lease number (partial),True,10.0 business days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,30 CFR 585.533,Offshore,105,1,Financial,Your surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify you of that request no less than 90 days before the proposed termination date.,Financial assurance termination process related to offshore wind farm leases or grants.,90.0,days,30 CFR 585.533,financial assurance; regulatory compliance,0.06471075322211851,0.0033175500925898215,0.11193480775909213,0.021897810218978103,0.2542372881355932,56,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); farm power output (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial); lease date (partial),True,90.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-1.5-pro,585.508 and 585.509,Offshore,92,1,Jurisdictional,"For each ROW grant BOEM approves under subpart D of this part, you must pay annual rent of $5 per acre to ONRR as provided in 30 CFR 1218.51 and as determined by § 585.301(a), but in no case less than $450, for use of the grant, unless specified otherwise in the grant.",ROW grant,5.0,$/acre/year,"30 CFR 585.508(a), 30 CFR 1218.51, 30 CFR 585.301(a)",leasing; rent; ROW grant,0.06450127203494732,0.0007554921682501125,0.07397893161398014,0.02877697841726619,0.3625,38,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); distance to substation (partial),True,5.0 $/acre/year,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,BOEM 2021 / IEC 61400-3,Offshore,33,1,Safety,Offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,U.S. offshore wind projects,1,nautical mile,BOEM 2021,"Maritime navigation, safety",0.06395859114540528,0.004985176060884975,0.07125428475644546,0.0196078431372549,0.36666666666666664,57,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); caribbean fishery management council (partial); min depth (partial); current time (partial); down time (partial),True,1 nautical mile,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,BOEM Order No. 2023-05,Offshore,100,1,Technical,All offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW) to ensure navigational safety.,U.S. offshore wind farms,22,meters,BOEM Order No. 2023-05,safety; technical,0.06286511173875199,0.004603130918181538,0.06265712907902034,0.026923076923076925,0.3684210526315789,57,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); farm power output (partial); turbine status (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial),True,22 meters,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
