document_id,chunk_number,data_type,index,entity_name,jurisdiction,role,type,requirement,scope,numerical_value,unit,source,related_domains
17,13,constraint,4,,,,Technical,Analysis of mudline shear forces and overturning moments under normal and abnormal conditions for 50-year and 100-year return periods.,Offshore wind turbine structures in ATL2 and GOM regions,,,Design Standards for Offshore Wind Farms Final Report (M10PC00105),"Structural, Safety"
17,14,constraint,0,,,,Technical,Consideration of plunging breaking wave splashing patterns.,Offshore wind farms,,,IEC61400-3 Annex D,"Safety, Technical"
17,14,constraint,1,,,,Technical,Evaluation of breaking wave slamming loads on circular cylinders.,Offshore wind farms,,,"IEC 61400-3, 2009","Safety, Technical"
17,14,entity,0,IEC,International,"Standards development for electrical, electronic and related technologies",,,,,,,
17,15,entity,0,"BOEMRE (Bureau of Ocean Energy Management, Regulation and Enforcement)",Federal (US),Contract issuer and likely regulatory oversight,,,,,,,
17,16,constraint,0,,,,Technical,Load cases and load effects must be evaluated according to the relevant load cases specified in IEC 61400-3.,"Bottom-founded wind turbines in US waters, specifically Mid-Atlantic, South Atlantic, and Gulf of Mexico",,,IEC 61400-3,"structural design, safety"
17,16,constraint,1,,,,Technical,"Consideration of load cases critical to hurricane-prone regions, even if not specified in IEC standards.",Bottom-founded wind turbines in hurricane-prone regions on the US OCS,,,Implied from the document; not explicitly from a specific standard,"structural design, safety"
17,16,entity,0,International Electrotechnical Commission (IEC),International,"Standards development for electrical, electronic and related technologies, including IEC 61400-3 for wind turbine design.",,,,,,,
17,17,constraint,0,,,,Technical,"Design of offshore structures located on the US OCS must consider wave, wind, current, and earthquake loads.",US Outer Continental Shelf (OCS),,,API RP 2A-WSD,"structural, safety"
17,17,constraint,1,,,,Technical,Design requirements for offshore wind turbines.,Offshore Wind Turbines,,,IEC 61400-3 (2009),"technical, safety"
17,17,entity,0,"Bureau of Ocean Energy Management, Regulation, and Enforcement (BOEMRE)",Federal (US),Regulation and Enforcement of offshore structures on the US OCS,,,,,,,
17,17,entity,1,American Petroleum Institute (API),Industry (US),"Publishes recommended practices for design of offshore structures, specifically API RP 2A-WSD",,,,,,,
17,17,entity,2,International Electrotechnical Commission (IEC),International,"Develops international standards, specifically IEC 61400-3 for offshore wind turbine design.",,,,,,,
17,18,constraint,0,,,,Technical,Framework of defining the site-specific Class S wind turbines,Offshore wind turbines,,,IEC 61400-1 (2005) Wind turbines – Part 1: Design Requirements,"technical, safety"
17,18,constraint,1,,,,Technical,Design criteria that takes into account the risk of tropical storms,Offshore wind turbine support structures in US waters,,,ABS Guide for Building and Classing Offshore Wind Turbine Installations (2010),"technical, safety"
17,18,constraint,2,,,,Safety,Offshore wind turbine support structure in US waters designed to ABS criteria is at least as safe as those designed to IEC 61400-3 (2009) under European offshore conditions.,Offshore wind turbine support structures in US waters,,,Comparison between ABS Guide and IEC 61400-3 (2009),safety
17,18,entity,0,IEC,International,"Standards development for electrical, electronic and related technologies",,,,,,,
17,18,entity,1,ABS (American Bureau of Shipping),International (with a focus on US waters in this context),Classification society providing standards and guidance for marine and offshore structures,,,,,,,
17,19,constraint,0,,,,Technical,Guidelines for determining breaking wave load for design,Offshore wind turbine support structures,,,IEC 61400-3 (2007) Annex D,"structural safety, design"
17,19,entity,0,IEC (International Electrotechnical Commission),International,Standards development for electrical and electronic technologies,,,,,,,
17,20,constraint,0,,,,Technical,Design standards should address the gaps between existing offshore wind turbine design standards and the established practices for designing offshore oil and gas platforms on the US OCS.,US OCS (Outer Continental Shelf),,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,20,constraint,1,,,,Technical,Consider extending the coverage of IEC 61400-3 (2009) to hurricane-prone regions.,Hurricane-prone regions,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,20,constraint,2,,,,Technical,Consider adapting the design criteria in API RP 2A-WSD (2007) for the design of offshore wind turbines subjected to hurricane risks.,Offshore wind turbines in hurricane-prone regions,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,21,constraint,0,,,,Technical,Consideration of the Kaimal wind model,Offshore wind turbine design,,,IEC 61400-3 (2009),"Technical, Safety"
17,21,constraint,1,,,,Technical,Consideration of the NPD (Frøya) wind model,Offshore wind turbine design,,,API RP 2A-WSD (2007),"Technical, Safety"
17,21,constraint,2,,,,Safety,Analysis of failure of nacelle yaw and blade pitch control systems due to control system fault or loss of electric power supply,Offshore wind turbine design,,,Implied by the study's scope,"Safety, Technical"
17,21,constraint,3,,,,Technical,"Design considerations for monopile, tripod, and jacket support structures",Offshore wind turbine structures,,,Implied by the study's scope,"Technical, Safety"
17,21,entity,0,ABS,International (Classification Society),Guidance and standards development (Guide for Building and Classing Offshore Wind Turbine Installations (2010)),,,,,,,
17,21,entity,1,IEC,International,Standards development (IEC 61400-3),,,,,,,
17,21,entity,2,API,International,Standards development (API RP 2A-WSD),,,,,,,
17,22,constraint,0,,,,Technical,"Consideration of extreme wind conditions, specifically hurricane conditions, in the design of offshore wind turbines.",US Atlantic Coast and the Gulf of Mexico,,,Implied from the document's focus on hurricane wind modeling,"technical, safety"
17,22,constraint,1,,,,Technical,Use of IEC and API wind models for comparative study.,Offshore wind turbine design (implied),,,Mentioned in Section 2.4 of the document,technical
17,25,constraint,0,,,,Technical,Regional averaged extreme wind speeds,GOM (Gulf of Mexico),,,API Bulletin 2INT-MET (2007),structural design
17,25,constraint,1,,,,Technical,100-year return wind speeds,US OCS (Outer Continental Shelf),,,API RP 2A-WSD (2007),structural design
17,25,constraint,2,,,,Technical,Updated wind speed contour maps with various return periods,On-land and coastal regions in the US,,,ASCE-7 (2010),"structural design, siting"
17,25,entity,0,"BOEMRE (Bureau of Ocean Energy Management, Regulation and Enforcement)",Federal (US),Provides metocean data for offshore wind farm development,,,,,,,
17,25,entity,1,American Petroleum Institute (API),Industry standards organization,Develops standards related to wind and metocean conditions for offshore structures,,,,,,,
17,25,entity,2,American Society of Civil Engineers (ASCE),Industry standards organization,Develops standards related to structural design and wind loads,,,,,,,
17,27,entity,0,World Meteorological Organization (WMO),International,"Provides guidelines for converting between wind speeds with different averaging periods under tropical cyclone conditions, including gust factors for different surface conditions and cyclone origins.",,,,,,,
17,29,constraint,0,,,,Technical,The most commonly used averaging period for mean wind speed is 10 minutes.,Offshore wind farms,10,minutes,"WMO report by Harper et al. (2009) [2.34], Barth and Peinke (2007) [2.10]",technical
17,29,constraint,1,,,,Technical,Consideration of non-Gaussian behavior for smaller time scales due to their impact on extreme loads on wind turbines.,Offshore wind turbines,,,Document text,"technical, safety"
17,29,constraint,2,,,,Technical,Conversion factors are recommended between the WMO standard 10-minute average wind speed at 10 m above [ground level].,Offshore wind farms,10,meters,WMO report by Harper et al. (2009) [2.34],technical
17,29,entity,0,WMO (World Meteorological Organization),International,"Provides standards and recommendations for meteorological measurements, including wind speed averaging periods.",,,,,,,
17,30,constraint,0,,,,Technical,An at-sea conversion factor between the 1-minute sustained estimate of peak storm intensity and the 10-minute average wind speed should be 0.93.,Offshore wind farms,0.93,unitless (conversion factor),M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,30,constraint,1,,,,Technical,"The logarithmic law, which is defined as a function of the surface roughness, has been used in most cases to describe the relationship between the wind speed and the height above surface.",Wind turbine design,,,M10PC00105: Design Standards for Offshore Wind Farms Final Report; [2.24] [2.85] [2.8] [2.65],technical
17,30,constraint,2,,,,Technical,A relatively simple empirical format of exponential model has also been widely used in the wind turbine design standards such as IEC 61400-3.,Wind turbine design,,,IEC 61400-3; M10PC00105: Design Standards for Offshore Wind Farms Final Report,technical
17,30,constraint,3,,,,Technical,"The distribution of mean wind speed recommended in most of wind turbine related standards follows the Weibull distribution or, with some limitations, the Rayleigh distribution.",Wind turbine design,,,M10PC00105: Design Standards for Offshore Wind Farms Final Report; Argyriadis (2003) [2.8],technical
17,30,constraint,4,,,,Technical,Both the wind standard deviation and mean wind speed should be determined from the same set of measured data samples of wind speed taken over a specified period of time (usually 10 minutes).,"Wind turbine design, Turbulence Intensity Calculation",10,minutes,M10PC00105: Design Standards for Offshore Wind Farms Final Report,technical
17,30,entity,0,IEC,International,Standards development (IEC 61400-3),,,,,,,
17,31,constraint,0,,,,Technical,Use Mann's spectrum (with reference to Kaimal spectrum) for offshore wind turbine design.,Offshore wind turbines,,,IEC 61400-3 [2.40],"Technical, Design"
17,31,entity,0,IEC,International,"Standards development for electrical, electronic and related technologies",,,,,,,
17,32,constraint,0,,,,Technical,The spectra used for onshore wind turbines may be used for offshore applications.,Offshore wind turbines,,,GL [2.32] and Danish [2.19] standards,Technical
17,32,constraint,1,,,,Technical,Use the NPD wind spectrum (also known as the Frøya wind model) and the two-point coherence function in conjunction with the logarithmic wind shear law.,Offshore structures and structural elements for which wind load induced dynamic responses need to be considered,,,"API RP 2A-WSD (2007) [2.5], API Bulletin 2INT-MET (2007) [2.4] and ISO 19901-1 [2.41]","Technical, Safety"
17,32,entity,0,GL,,Standards development,,,,,,,
17,32,entity,1,Danish Standards,,Standards development,,,,,,,
17,32,entity,2,API (American Petroleum Institute),,Standards development,,,,,,,
17,32,entity,3,ISO (International Organization for Standardization),International,Standards development,,,,,,,
17,33,constraint,0,,,,Technical,Consideration of roughness length in the logarithmic law of wind speed profile for characterizing surface roughness and its correlation with wind field characteristics such as gust factor and turbulent intensity.,Offshore wind farms,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"Technical, Safety"
17,33,constraint,1,,,,Technical,"Modeling hurricane generated waves based on maximum sustained wind speed, minimum surface pressure in the hurricane eye, forward velocity of the hurricane center, and radius of maximum wind speed.",Offshore wind farms in hurricane-prone regions,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"Technical, Safety"
17,33,constraint,2,,,,Technical,Use of the Charnock relation for calculating surface roughness length over the sea.,Offshore wind farms,,,IEC 61400-3 (referenced in the document),Technical
17,33,entity,0,IEC,International,"Standards development for electrical, electronic, and related technologies (specifically IEC 61400-3 for wind turbines)",,,,,,,
17,34,constraint,0,,,,Technical,Extreme wind and wave parameters with various return periods are specified.,Selected offshore sites on the US OCS,,,API Bulletin 2INT-MET (2007) [2.4] and API RP 2A-WSD (2007) [2.5],"Technical, Safety"
17,34,entity,0,National Data Buoy Center (NDBC),Federal (US),Data collection and management for wave measurements,,,,,,,
17,34,entity,1,National Oceanic and Atmospheric Administration (NOAA),Federal (US),Manages data buoys and provides wave data through NDBC and WAVEWATCH III model,,,,,,,
17,34,entity,2,US Army Corps of Engineers (USACE),Federal (US),"Sponsors the Wave Information Studies (WIS) project, providing wave data.",,,,,,,
17,34,entity,3,U.S. National Centers for Environmental Prediction (NCEP),Federal (US),"Develops and provides metocean hindcast data, including wave data.",,,,,,,
17,34,entity,4,National Center for Atmospheric Research (NCAR),Federal (US),"Develops and provides metocean hindcast data, including wave data, in conjunction with NCEP.",,,,,,,
17,34,entity,5,BOEMRE,Federal (US),"Conducts research projects (e.g., TA&R Project No.672) related to offshore wind farm development.",,,,,,,
17,38,constraint,0,,,,Technical,"Design environmental loadings are represented by a set of Design Load Cases (DLCs), which are defined by the combinations of turbine operational modes, site-specific environmental conditions, electrical network conditions and other applicable design conditions, such as specific transportation, assembly, maintenance or repair conditions.",Offshore wind turbine support structures,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,38,constraint,1,,,,Technical,DLCs for hurricane conditions must take into account the effects of the turbine’s operations during the hurricane’s passage.,Offshore wind turbines,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,38,constraint,2,,,,Technical,Consideration of wave spectral formulation for non-breaking waves in shallow/finite water using the TMA spectrum (JONSWAP spectrum multiplied by a frequency and water depth dependent transformation factor).,Offshore wind turbines in shallow/finite water,,,"Costal Engineering Manual (2008), Bouws et al., 1985",technical
17,38,constraint,3,,,,Technical,Consideration of a wave spectrum for shallow water waves with consideration of slope and water depth of local seabed as referenced in IEC 61400-3 (2009).,Offshore wind turbines in shallow water,,,IEC 61400-3 (2009),technical
17,38,entity,0,IEC,International,"Standards development for electrical, electronic and related technologies",,,,,,,
17,39,constraint,0,,,,Safety,"Maintain a 50-year return period for extreme events (e.g., hurricanes)","Hurricane-prone regions, implicitly including the Gulf of Mexico",50,years,IEC 61400-3 (interpreted in the context of hurricane regions),"safety, structural"
17,39,constraint,1,,,,Safety,Achieve the same level of safety as required by IEC 61400-3,"Hurricane-prone regions, implicitly including the Gulf of Mexico",,,IEC 61400-3 (interpreted in the context of hurricane regions),"safety, structural"
17,39,constraint,2,,,,Technical,Consider 'policy risk' in addition to the risk of loss of human life and environmental pollution.,Offshore oil and gas platforms in the US (with potential implications for offshore wind),,,Transportation Research Board (2011) [2.70],"policy, safety, environmental"
17,39,constraint,3,,,,Technical,API RP 2A 100-year criteria (considered but not necessarily required),Offshore structures (with potential application to wind turbines),100,years,API RP 2A (mentioned in the context of comparison with IEC 61400-3),"safety, structural"
17,39,entity,0,IEC,International,Standards development (IEC 61400-3 for wind turbines),,,,,,,
17,39,entity,1,Transportation Research Board,US (likely Federal),"Recommending policy and regulations related to transportation infrastructure, including offshore platforms",,,,,,,
17,39,entity,2,API (American Petroleum Institute),Industry body (US focus),Developing standards for the oil and gas industry (API RP 2A),,,,,,,
17,40,constraint,0,,,,Technical,Support structure designs must meet the requirements of either IEC 61400-3 in combination with ISO 19902 or API RP 2A-WSD.,Offshore wind turbine support structures,,,Comparative study of IEC 61400-3 and API RP 2A-WSD,"structural, safety"
17,40,constraint,1,,,,Safety,Component level structural strength check based on the requirements of the chosen design standard (IEC/ISO or API).,Offshore wind turbine support structures,,,Comparative study of IEC 61400-3 and API RP 2A-WSD,"structural, safety"
17,40,constraint,2,,,,Safety,Designs based on API 100-year conditions in conjunction with API safety factors must achieve a reliability level comparable to designs based on IEC 61400-3 and ISO 19902.,Offshore wind turbine support structures,100,years,Comparative study of IEC 61400-3 and API RP 2A-WSD,"structural, safety"
17,40,constraint,3,,,,Technical,"Consideration of ""normal"" turbine operating conditions (IEC) or ""operational"" conditions (API).",Offshore wind turbine support structures,,,Comparative study of IEC 61400-3 and API RP 2A-WSD,"safety, operational"
17,40,constraint,4,,,,Technical,Specific design criteria for offshore wind turbine support structures in hurricane-prone regions as defined in *ABS Guide for Building and Classing Offshore Wind Turbine Installations*.,Offshore wind turbine support structures in hurricane-prone regions,,,ABS Guide for Building and Classing Offshore Wind Turbine Installations,"structural, safety"
17,40,entity,0,IEC,International,Standards development,,,,,,,
17,40,entity,1,ISO,International,Standards development,,,,,,,
17,40,entity,2,API,Industry (primarily US),Standards development,,,,,,,
17,40,entity,3,ABS,International (Classification Society),Guidance and certification,,,,,,,
17,40,entity,4,MMS/BOEMRE,US Federal,Regulatory oversight (at the time of the study),,,,,,,
17,40,entity,5,NREL,US Federal,Research and development,,,,,,,
17,41,constraint,0,,,,Safety,The definition of “Operating” and “Extreme” design conditions in API RP 2A-WSD (2007) is not directly applicable to offshore wind turbines because of the unique load characteristic of offshore wind turbines.,US waters,,,API RP 2A-WSD (2007),"safety, technical"
17,41,constraint,1,,,,Safety,Offshore wind turbines in US waters would not achieve the same level of safety as those in European waters if the existing IEC Ultimate Limit State (ULS) design criteria were applied without any modification.,"US waters, specifically hurricane-prone areas",,,IEC 61400-3,"safety, technical"
17,41,constraint,2,,,,Technical,ULS design criteria specified in IEC 61400-3,"European coastal areas (originally), potentially US waters with modifications",,,IEC 61400-3,"technical, safety"
17,41,constraint,3,,,,Technical,ABS WSD-based design criteria,US waters,,,ABS,"technical, safety"
17,41,entity,0,BOEMRE,"US Federal (likely, based on context)",Sponsoring research and reviews of design guidelines,,,,,,,
17,41,entity,1,IEC,International,Developing standards (IEC 61400-3),,,,,,,
17,41,entity,2,API,Industry/International,Developing standards (API RP 2A-WSD),,,,,,,
17,41,entity,3,ABS,Industry/International,Developing standards (ABS WSD-based design criteria),,,,,,,
17,42,constraint,0,,,,Safety,Load factor of the LRFD-based criteria in IEC 61400-1 needs to be increased by approximately 25% to 50% for regions subjected to typhoons.,"Regions subjected to typhoons (Philippines, implied)",25-50,% increase in load factor,"Clausen, et al. (2006a, 2006b, 2007) [2.16][2.17][2.18] interpreting IEC 61400-1","safety, technical"
17,42,constraint,1,,,,Safety,Increase the resistance factor by as much as 74% for turbine support structures designed for surviving typhoon winds while maintaining the same IEC load factors.,Turbine support structures in typhoon-prone regions,74,% increase in resistance factor,Garciano and Koike (2007) [2.29] in relation to IEC standards,"safety, technical"
17,42,constraint,2,,,,Technical,Consideration of hurricane conditions in design criteria.,US OCS,,,Adaptation of IEC 61400-3 for US waters,"safety, technical"
17,42,constraint,3,,,,Technical,Conformity to IEC 61400-3,Offshore wind turbines (with adaptations for US waters),,,IEC 61400-3,"technical, safety"
17,42,entity,0,IEC,International,Standards development organization,,,,,,,
17,43,constraint,0,,,,Technical,Turbine support structure design should be comparable in strength to those designed to API RP 2A-WSD.,Hurricane-prone offshore sites,,,MMI Engineering (2009) [2.53],structural safety
17,43,constraint,1,,,,Technical,"Consideration of ""normal"" and ""abnormal"" turbine operating conditions as defined in IEC 61400-3, which may be equivalent to ""operational"" and ""extreme"" conditions defined in API RP 2A-WSD.",Hurricane-prone offshore sites,,,MMI Engineering (2009) [2.53],"safety, operations"
17,43,constraint,2,,,,Technical,Design based on 50-year return environmental conditions with load factors from IEC 61400-3 and resistance factors from ISO 19902.,Offshore wind turbines (IEC/ISO scheme),50,years,MMI Engineering (2009) [2.53],"structural design, safety"
17,43,constraint,3,,,,Technical,Design based on 100-year return conditions along with the safety factors defined in API RP 2A-WSD.,Offshore wind turbines (API scheme),100,years,MMI Engineering (2009) [2.53],"structural design, safety"
17,43,constraint,4,,,,Technical,Conformance to IEC 61400-3 for offshore wind turbines.,"Offshore wind turbines, primarily European coastal areas",,,IEC 61400-3,general design and safety
17,43,constraint,5,,,,Technical,Conformance to IEC 61400-1 for site-specific Class S wind turbines (referred to by IEC 61400-3 for offshore applications).,Offshore and onshore wind turbines (Class S),,,"IEC 61400-1, IEC 61400-3",site-specific design
17,43,entity,0,IEC,International,Standards development,,,,,,,
17,43,entity,1,ISO,International,Standards development,,,,,,,
17,43,entity,2,API,International,Standards development,,,,,,,
17,44,constraint,0,,,,Technical,"Design requirements for environmental conditions, design load cases, structural and foundation design criteria are specified.","International (Land-based, adopted by IEC 61400-3 for offshore)",,,IEC 61400-1 Ed.3: Wind turbines – Part 1: Design Requirements (2005),"design, structural, foundation"
17,44,constraint,1,,,,Technical,Requirements for environmental conditions and design load cases are specified.,"International (Offshore, primarily North European shallow waters)",,,IEC 61400-3 Ed.1: Wind turbines – Part 3: Design Requirements for Offshore Wind Turbines (2009),"design, environmental"
17,44,constraint,2,,,,Technical,Environmental conditions and load cases are based on IEC 61400-3 but with additional requirements to account for hurricane/tropical cyclone conditions.,Offshore,,,"American Bureau of Shipping (ABS), 2010. Guide for Building and Classing Offshore Wind Turbine Installations","environmental, design, safety"
17,44,constraint,3,,,,Technical,Working Stress Design (WSD) based criteria are specified in addition to Load and Resistance Design (LRFD) based criteria.,Offshore,,,"American Bureau of Shipping (ABS), 2010. Guide for Building and Classing Offshore Wind Turbine Installations","design, structural"
17,44,constraint,4,,,,Technical,Environmental conditions and load cases are similar to those in IEC 61400-3 with some modifications.,Offshore,,,"Germanischer Lloyd (GL), 2005. Guideline for the Certification of Offshore Wind Turbines","environmental, design"
17,44,constraint,5,,,,Technical,IEC environmental conditions and load cases are adopted with minor modifications.,Offshore,,,"Det Norske Veritas (DNV), 2010. Design of Offshore Wind Turbine Structures","environmental, design"
17,44,constraint,6,,,,Technical,Reference is made to API RP 2A-WSD for the design and inspection.,Outer Continental Shelf (US),,,"US Department of Interior, 30 CFR Part 285, 2009. Renewable Energy Alternate Uses of Existing Facilities on the Outer Continental Shelf","design, safety, inspection"
17,44,entity,0,International Electrotechnical Commission (IEC),International,Standards Development,,,,,,,
17,44,entity,1,American Bureau of Shipping (ABS),International,Classification and Certification,,,,,,,
17,44,entity,2,Germanischer Lloyd (GL),International,Classification and Certification,,,,,,,
17,44,entity,3,Det Norske Veritas (DNV),International,Classification and Certification,,,,,,,
17,44,entity,4,US Department of Interior,Federal (US),Regulation,,,,,,,
17,44,entity,5,German Federal Maritime and Hydrographic Agency (BSH),Federal (Germany),Regulation,,,,,,,
17,44,entity,6,Danish Energy Agency,National (Denmark),Regulation,,,,,,,
17,45,constraint,0,,,,Safety,Achieve a comparable level of safety to designs in European waters.,US Outer Continental Shelf (OCS),,,Implied comparison with IEC 61400-3 and North Sea design practices,"safety, structural"
