row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
1719,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,3.0,business days,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,False,,,
1745,1,gpt-4o-mini,Jurisdictional,Operations period of commercial lease,35.0,years,The operations period begins when the requirements of 30 CFR 285.637(a) are met through the submission of final reports and records for your project.,False,,,
1831,1,gemini-1.5-pro,Jurisdictional,Commercial lease,3.0,$/acre/year,"The rent for a commercial lease is $3 per acre per year, unless otherwise established in the FSN or lease.",True,52,52,"Page 52: ""...for your bid amount if you submit a bid; (2) apply your acquisition fee to your bonus bid if you acquire the lease; or (3) retain your acquisition fee if you do not bid for or acquire the lease. (a) the rent for a commercial lease is $3 per acre per year, unless otherwise established in the fsn or lease. (1) you must pay onrr the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from boem under § 585.500(c)(3). (2) you must pay onrr as provided in..."""
1860,1,gemini-1.5-pro,Jurisdictional,Discovery of a potential archaeological resource during project activities,72.0,hours,Notify BOEM of the discovery within 72 hours,True,97,97,"Page 97: ""...source while conducting construction activities, or any other activity related to your project, you must: (1) immediately halt all seafloor-disturbing activities within the area of the discovery; (2) notify boem of the discovery within 72 hours; and (3) keep the location of the discovery confidential and not take any action that may adversely affect the archaeological resource until we have made an evaluation and instructed you on how to pr..."""
1912,1,gpt-4o-mini,Jurisdictional,"Outer Continental Shelf, qualified project area",27.0,percent,BOEM will distribute among the eligible coastal States 27 percent of the following revenues derived from qualified projects.,False,,,
1959,1,deepseek-chat,Environmental,North Sea development zone,15,meters,All wind turbine foundations must maintain a minimum clearance of 15 meters from the seabed to allow for marine life passage,False,,,
2026,1,gpt-4o-mini,Jurisdictional,"Outer Continental Shelf, business operations",3.0,business days,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,False,,,
2033,1,gpt-4o-mini,Jurisdictional,ROW and RUE grants,5.0,dollars per acre per year,"All ROW grants and RUE grants Initial Rent Greater of $5 per acre per year or $450 per year, unless otherwise established in the grant",False,,,
2067,1,deepseek-chat,Environmental,All offshore wind projects in designated marine protected zones,500,meters,Turbine foundations must avoid coral reefs by a minimum buffer of 500 meters.,False,,,
2275,1,claude-3-haiku-20240307,Jurisdictional,Commercial offshore wind leases,3.0,USD per acre per year,"The rent for a commercial lease is $3 per acre per year, unless otherwise established in the FSN or lease.",True,52,52,"Page 52: ""...for your bid amount if you submit a bid; (2) apply your acquisition fee to your bonus bid if you acquire the lease; or (3) retain your acquisition fee if you do not bid for or acquire the lease. (a) the rent for a commercial lease is $3 per acre per year, unless otherwise established in the fsn or lease. (1) you must pay onrr the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from boem under § 585.500(c)(3). (2) you must pay onrr as provided in..."""
2287,1,gemini-1.5-pro,Jurisdictional,Limited lease,3.0,$/acre/year,"The rent for a limited lease is $3 per acre per year, unless otherwise established in the Final Sale Notice and/or your lease instrument.",False,,,
2449,1,gpt-4o-mini,Financial,Subsequent annual payments for the lease area during the operational phase.,1.0,year,You must pay ONRR as provided in 30 CFR 1218.51 the rent due at the beginning of each subsequent 1-year period on the entire lease area for the duration of your operations period.,False,,,
2476,1,gemini-1.5-pro,Jurisdictional,"Outer Continental Shelf Limited Lease, Grant",12.0,months,"The total amount of the financial assurance must be no less than the amount required to meet your limited lease and grant obligations, including: (1) The projected amount of rent and other payments due to the United States over the next 12 months; (2) Any past due rent and other payments; (3) Other monetary obligations; and (4) The estimated cost of facility decommissioning as required by 30 CFR part 285, subpart I.",False,,,
2603,1,gemini-1.5-pro,Jurisdictional,Commercial lease renewal,2.0,years,You must request a renewal from BOEM no later than two years before the termination date of the operations period of your commercial lease.,False,,,
2648,1,gemini-1.5-pro,Financial,Lease or grant activities on the Outer Continental Shelf,12.0,months,The audited financial information for your most recent fiscal year must cover a continuous twelve month period within the twenty-four-month period prior to the lessee's receipt of the determination that you must provide supplemental financial assurance.,False,,,
2657,1,gemini-2.5-pro,Jurisdictional,All leases issued under 30 CFR Part 585.,1.0,day of the month,A lease issued under this part must be dated and becomes effective as of the first day of the month following the date a lease is signed by the lessor.,False,,,
2707,1,gpt-4o-mini,Jurisdictional,Lease acceptance process,10.0,business days,Within 10 business days after you receive the lease you must execute and return the lease.,False,,,
2713,1,gemini-2.5-pro,Jurisdictional,Termination of financial assurance liability period for leases or grants on the Outer Continental Shelf.,90.0,days,A surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify the lessee/grantee of that request no less than 90 days before the proposed termination date.,False,,,
2731,1,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,3.0,years,"After considering any objections from the submitter, if we determine that release of such data and information will result in substantial competitive harm or disclosure of trade secrets, then the data and information will not be released at that time but will be subject to further review every 3 years thereafter.",False,,,
2797,1,deepseek-chat,Technical,Offshore structures in the North Atlantic,50,years,Wind turbine foundations must withstand a 1-in-50-year extreme wave event.,False,,,
2828,1,gemini-1.5-pro,Jurisdictional,"Outer Continental Shelf Lease, ROW grant, RUE grant",12.0,months,"Before BOEM will execute your limited lease, ROW grant, or RUE grant, or approve an assignment of an interest therein, you or a proposed assignee must guarantee compliance with all terms and conditions of the lease or grant by providing a bond or other authorized financial assurance in the amount of 12 months' rent.",False,,,
2832,1,gpt-4o-mini,Financial,Financial assurance for wind farm operations,90.0,days,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective.,False,,,
2946,1,gemini-1.5-pro,Jurisdictional,Financial assurance for offshore wind leases or grants,90.0,days,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective,False,,,
3032,1,gemini-1.5-pro,Jurisdictional,Qualified project area for revenue sharing,3.0,miles,"A qualified project for the purpose of revenue sharing with eligible coastal States is one authorized under subsection 8(p) of the OCS Lands Act, which includes acreage within the area extending 3 miles seaward of State submerged lands.",False,,,
3108,1,gemini-1.5-pro,Jurisdictional,Limited lease or grant renewal,180.0,days,You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant.,False,,,
3175,1,deepseek-chat,Technical,All offshore wind structures in U.S. waters,50,years,Wind turbine foundations must withstand a 1-in-50-year extreme wave event.,False,,,
3203,1,gpt-4o-mini,Environmental,Archaeological resources potentially impacted by offshore wind farm activities.,50.0,years,Archaeological resource means any material remains of human life or activities that are at least 50 years of age and that are of archaeological interest.,False,,,
3268,1,gpt-4o-mini,Jurisdictional,Area extending 3 miles seaward of State submerged lands,3.0,miles,"A qualified project for the purpose of revenue sharing with eligible coastal States is one authorized under subsection 8(p) of the OCS Lands Act, which includes acreage within the area extending 3 miles seaward of State submerged lands.",False,,,
3269,1,gpt-4o-mini,Jurisdictional,Renewal request timeline for commercial lease,2.0,years,You must request a renewal from BOEM no later than two years before the termination date of the operations period of your commercial lease.,False,,,
3343,1,gpt-4o-mini,Financial,Financial assurance for wind farm operations,1.0,year,The letter of credit must contain a provision for automatic renewal for periods of not less than 1 year in the absence of notice of cancellation to BOEM at least 90 calendar days before the expiration date.,False,,,
3370,1,claude-3-haiku-20240307,Jurisdictional,Offshore renewable energy leases and grants,180.0,days,"You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant, or no later than two years before the termination date of the operations period of your commercial lease.",False,,,
3410,1,gemini-1.5-pro,Jurisdictional,Project easements for renewable energy projects on the Outer Continental Shelf,5.0,$/acre/year,"Rent for project easements, unless otherwise provided in the terms of the grant: Greater of $5 per acre per year or $450 per year",False,,,
3523,1,deepseek-chat,Environmental,U.S. offshore wind construction zones,160,dB re 1 µPa,Construction noise levels must not exceed 160 dB re 1 µPa at 750 meters from the source to protect marine life.,False,,,
3679,1,gpt-4o-mini,Financial,Operational phase,6.0,years,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,True,57,57,"Page 57: ""...out the requested deferral, reduction, or waiver; or (ii) a deferral, reduction, or waiver is necessary to encourage additional activities; and (5) any other information required by the director. (c) no more than 6 years of your operations period will be subject to a full waiver of the operating fee. (a) the financial assurance requirements for each stage of your commercial lease are: 30 cfr part 585 (up to date as of 2/18/2025) renewable energy on the outer continental shelf 30 cfr 585.510(b) 30..."""
3680,1,gpt-4o-mini,Financial,Initial payment for the lease upon receipt of lease copies.,12.0,months,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM.,False,,,
3689,1,gpt-4o-mini,Jurisdictional,Renewal request timeline for limited lease or grant,180.0,days,You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant.,False,,,
3744,1,gpt-4o-mini,Jurisdictional,Lease execution phase,10.0,business days,"Within 10 business days after receipt of the unsigned copy, the provisional winner must execute the lease and return it to BOEM.",False,,,
3763,1,gemini-1.5-pro,Jurisdictional,Lease or grant suspension,2.0,years,BOEM will not approve a lease or grant suspension request pursuant to § 585.416 for a period longer than 2 years.,False,,,
3878,1,gpt-4o-mini,Financial,Financial assurance for wind farm operations,115.0,percent,If you use a Treasury security: You must post 115 percent of your financial assurance amount.,False,,,
3894,1,gemini-1.5-pro,Jurisdictional,Limited lease,1.0,year,You must pay ONRR [...] the rent due at the beginning of each subsequent 1-year period on the entire lease area for the duration of your operations period.,False,,,
3899,1,gpt-4o-mini,Environmental,Construction activities related to the project.,72.0,hours,Notify BOEM of the discovery within 72 hours.,False,,,
3900,1,gpt-4o-mini,Jurisdictional,Lease assignments,100.0,percent,"When there is an assignment by all record title owners of 100 percent of the record title to one or more aliquots in a lease, the assigned and retained portions become segregated into separate and distinct leases.",False,,,
3925,1,deepseek-chat,Technical,All offshore installations in Dogger Bank area,10000,year return period,Substation platforms shall be designed to withstand 1-in-10000-year wave conditions,False,,,
4008,1,gemini-2.5-flash,Technical,"Air quality modeling performed in support of activities proposed in the plan, specifically for projects in the western Gulf of Mexico (west of 87.5° west longitude) and offshore of the North Slope Borough of Alaska.",3.0,copies/sets,"Submit to BOEM three copies of the modeling report and three sets of digital files as supporting information. The digital files must contain the formatted meteorological files used in the modeling runs, the model input file, and the model output file.",False,,,
4065,1,gpt-4o-mini,Temporal,Preliminary period for ROW or RUE grants,12.0,months,Each ROW or RUE grant has a preliminary period of 12 months from the effective date of the ROW or RUE grant within which to submit a GAP.,False,,,
4132,1,gemini-1.5-pro,Jurisdictional,Lease or grant suspension,5.0,years,"If BOEM determines that the circumstances giving rise to a suspension ordered under § 585.417 cannot be resolved within 5 years, the Secretary may initiate cancellation of the lease or grant.",False,,,
4159,1,gemini-1.5-pro,Technical,"Lease or grant termination, Decommissioning",2.0,years,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS",False,,,
4165,1,deepseek-chat,Environmental,North Sea Exclusive Economic Zones,500,meters,All turbine foundations must maintain a minimum clearance of 500m from identified coral habitats,False,,,
4178,1,gpt-4o-mini,Financial,Financial assurance for wind farm operations,30.0,days,The letter of credit must be irrevocable during its term and will be subject to collection by BOEM if not replaced by another letter of credit or other form of financial assurance at least 30 calendar days before its expiration date.,False,,,
4389,1,deepseek-chat,Safety,Offshore wind farm service platforms,25,meters,Helicopter landing zones on offshore platforms must have a minimum diameter of 25 meters.,False,,,
4391,1,gpt-4o-mini,Jurisdictional,Compliance timeframe for lease or grant,10.0,business days,"You may avoid forfeiture if, within 10 business days: You agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so.",False,,,
4423,1,gpt-4o-mini,Jurisdictional,Lease or grant cancellation,5.0,years,"If BOEM determines that the circumstances giving rise to a suspension ordered under § 585.417 cannot be resolved within 5 years, the Secretary may initiate cancellation of the lease or grant.",False,,,
4447,1,deepseek-chat,Technical,Offshore wind structures in U.S. waters,100,years,Wind turbine foundations must withstand a 100-year return period storm event.,False,,,
4494,1,deepseek-chat,Technical,All offshore installations,50,year return period,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,False,,,
4496,1,deepseek-chat,Safety,All manned offshore installations,25,meters,Helicopter landing areas on offshore platforms must maintain a minimum diameter of 25 meters,False,,,
4543,1,gpt-4o-mini,Financial,Financial assurance for wind farm operations,115.0,percent,"You must monitor the collateral value of your security. If the collateral value of your security falls below the required level of coverage, you must pledge additional security to provide 115 percent of the required amount.",False,,,
4552,1,gemini-1.5-pro,Jurisdictional,Financial assurance for offshore wind leases or grants,90.0,calendar days,The letter of credit must contain a provision for automatic renewal for periods of not less than 1 year in the absence of notice of cancellation to BOEM at least 90 calendar days before the expiration date,False,,,
4639,1,gpt-4o-mini,Financial,Financial obligations related to lease,12.0,months,You must pay the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease.,False,,,
4719,1,gpt-4o-mini,Financial,RUE grants approved by BOEM,450.0,dollars,You must pay rent to ONRR in the amount of: $5 per acre per year; or A minimum of $450 per year for each RUE grant BOEM approves.,False,,,
4842,1,gemini-1.5-pro,Jurisdictional,Lease or grant suspension request,90.0,calendar days,You must submit a written request to BOEM that includes the following information no later than 90 calendar days before the expiration of your appropriate lease or grant period,False,,,
4910,1,deepseek-chat,Technical,Global offshore wind projects,50,years,Offshore wind turbine foundations must be designed to withstand 50-year extreme wave loads.,False,,,
4932,1,deepseek-chat,Spatial,Commercial wind energy areas,1,nautical mile,Minimum 1 nautical mile separation between turbines,False,,,
4965,1,gpt-4o-mini,Financial,Commercial operations phase,0.02,,"Unless BOEM specifies otherwise, the operating fee rate 'r' is 0.02 for each year the operating fee applies when you begin commercial operations.",False,,,
5051,1,gemini-1.5-pro,Jurisdictional,Financial assurance for offshore wind leases or grants,30.0,calendar days,The letter of credit must be irrevocable during its term and will be subject to collection by BOEM if not replaced by another letter of credit or other form of financial assurance at least 30 calendar days before its expiration date,False,,,
5191,1,gemini-1.5-pro,Jurisdictional,Lease or grant termination,90.0,days,Your surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify you of that request no less than 90 days before the proposed termination date.,False,,,
5192,1,claude-3-haiku-20240307,Technical,Letter of credit for offshore renewable energy activities,90.0,days,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective.,False,,,
5224,1,gemini-1.5-pro,Technical,ROW or RUE grant,12.0,months,You must submit a GAP no later than the end of the preliminary period for your grant to remain in effect.,False,,,
5401,1,gemini-1.5-pro,Jurisdictional,Lease acquisition,10.0,business days,Within 10 business days after you receive the lease you must: (i) Execute and return the lease; and (ii) File financial assurance as required under §§ 585.516 through 585.529.,False,,,
5403,1,gemini-1.5-pro,Jurisdictional,Lease application process,45.0,calendar days,"Respondents have 45 calendar days from the date the Call is published in the F EDERAL R EGISTER to reply, unless BOEM specifies another time period of not less than 30 calendar days in the Call.",False,,,
5408,1,gpt-4o-mini,Financial,Financial assurance termination process related to offshore wind farm leases or grants.,90.0,days,Your surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify you of that request no less than 90 days before the proposed termination date.,False,,,
5425,1,gemini-1.5-pro,Jurisdictional,ROW grant,5.0,$/acre/year,"For each ROW grant BOEM approves under subpart D of this part, you must pay annual rent of $5 per acre to ONRR as provided in 30 CFR 1218.51 and as determined by § 585.301(a), but in no case less than $450, for use of the grant, unless specified otherwise in the grant.",False,,,
5427,1,gemini-1.5-pro,Jurisdictional,Lease and grant execution,15.0,business days,BOEM will not execute a lease or grant until the 15-business-day appeal period closes and all timely filed appeals are resolved.,False,,,
5431,1,claude-3-haiku-20240307,Jurisdictional,Noncompetitive offshore wind leases,0.25,USD per acre,"When requesting a noncompetitive lease, you must meet the initial payment (acquisition fee) requirements of this section, unless specified otherwise in your lease instrument.",False,,,
5467,1,deepseek-chat,Safety,U.S. offshore wind projects,1,nautical mile,Offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,False,,,
5498,1,gpt-4o-mini,Jurisdictional,Determination of no competitive interest related to lease applications.,2.0,years,"A determination of no competitive interest expires two years after its publication, unless BOEM determines that it should be extended for good cause.",False,,,
5508,1,gpt-4o-mini,Financial,Lease bonus payments,10.0,business days,Bonus Balance Within 10 business days of receiving the.,False,,,
5537,1,deepseek-chat,Technical,U.S. offshore wind farms,22,meters,All offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW) to ensure navigational safety.,False,,,
5642,1,gemini-1.5-pro,Jurisdictional,Lease execution for provisional winners of offshore wind energy leases,10.0,business days,"Within 10 business days after receipt of the unsigned copy, or as otherwise specified by BOEM under paragraph (d) of this section, the provisional winner must: (1) Execute the lease and return it to BOEM; (2) File financial assurance as required by §§ 585.516 through 585.529; and (3) Pay the amount due.",False,,,
5681,1,claude-3-haiku-20240307,Technical,Letter of credit for offshore renewable energy activities,90.0,calendar days,The letter of credit must contain a provision for automatic renewal for periods of not less than 1 year in the absence of notice of cancellation to BOEM at least 90 calendar days before the expiration date.,False,,,
5729,1,gemini-1.5-pro,Jurisdictional,Lease acquisition,10.0,business days,Bonus Balance within 10 business days of receiving the [lease/grant],False,,,
5764,1,gemini-1.5-pro,Jurisdictional,Lease application process,30.0,calendar days,Respondents have not less than 30 calendar days to reply to the Call if BOEM specifies a time period other than 45 days.,False,,,
5768,1,gemini-1.5-pro,Jurisdictional,Lease acquisition,45.0,calendar days,You must pay the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from BOEM under § 585.503(a)(1).,False,,,
5769,1,deepseek-chat,Environmental,North Atlantic Ocean,160,dB re 1 μPa at 1 m,Construction activities must not result in noise levels exceeding 160 dB re 1 μPa at 1 m for more than 24 cumulative hours per pile,False,,,
5777,1,deepseek-chat,Safety,All offshore turbines,22,meters,Minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,False,,,
5813,1,gpt-4o-mini,Jurisdictional,Commercial operations under the approved COP,6.0,months,"If you cease commercial operations for an indefinite period, which extends longer than 6 months, we may cancel your lease under § 585.422.",False,,,
5822,1,gemini-1.5-pro,Jurisdictional,Limited lease,45.0,days,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM,True,53,53,"Page 53: ""...your project easement upon our approval of your cop. (a) the rent for a limited lease is $3 per acre per year, unless otherwise established in the final sale notice and/or your lease instrument. (b) you must pay onrr the initial 12 months' rent 45 days after you receive the lease copies from boem in accordance with the requirements provided in § 585.500(c)(3). (c) you must pay onrr as provided in 30 cfr 1218.51 the rent due at the beginning of each subsequent 1-year period on the entire lease..."""
5922,1,gpt-4o-mini,Jurisdictional,Guaranty agreement for lease(s) or grant(s) covered by the agreement.,7.0,days,"When forfeiture of the guaranty is called for, the agreement must provide that your guarantor will either bring your lease(s) or grant(s) into compliance or provide, within 7 days, sufficient funds to permit BOEM to complete corrective action.",False,,,
5941,1,gemini-1.5-pro,Jurisdictional,Commercial operations,6.0,months,"If you cease commercial operations for an indefinite period, which extends longer than 6 months, we may cancel your lease under § 585.422 and you must initiate the decommissioning process as set forth in 30 CFR part 285, subpart I.",False,,,
5944,1,gemini-1.5-pro,Jurisdictional,Activities approved in GAP,6.0,months,"If you cease activities for an indefinite period that exceeds 6 months, BOEM may cancel your lease or grant under § 585.422, as applicable, and you must initiate the decommissioning process, as set forth in 30 CFR part 285, subpart",False,,,
5951,1,gpt-4o-mini,Jurisdictional,Lease or grant assignments,90.0,days,You must request approval of each assignment on a form approved by BOEM and submit originals of each instrument that creates or transfers ownership of record title or certified copies thereof within 90 days after the last party executes the transfer agreement.,False,,,
6008,1,gemini-1.5-pro,Jurisdictional,Public comment period,30.0,calendar days,"The PSN's public comment period is 60 calendar days from the date of its publication in the Federal Register, unless BOEM specifies another time period of not less than 30 calendar days in the PSN.",False,,,
6019,1,gpt-4o-mini,Jurisdictional,Environmental review process related to lease issuance.,90.0,days,"Within 90 calendar days of receiving the written estimate of the fee, you must pay the fee for any environmental review under § 585.112.",False,,,
6027,1,claude-3-haiku-20240307,Technical,Letter of credit for offshore renewable energy activities,30.0,calendar days,The letter of credit must be irrevocable during its term and will be subject to collection by BOEM if not replaced by another letter of credit or other form of financial assurance at least 30 calendar days before its expiration date.,False,,,
6057,1,gemini-1.5-pro,Jurisdictional,Lease or grant assignment,90.0,days,You must request approval of each assignment on a form approved by BOEM and submit originals of each instrument that creates or transfers ownership of record title or certified copies thereof within 90 days after the last party executes the transfer agreement.,False,,,
6062,1,gpt-4o-mini,Jurisdictional,Execution of leases or grants,15.0,business days,BOEM will not execute a lease or grant until the 15-business-day appeal period closes and all timely filed appeals are resolved.,False,,,
6093,1,gemini-1.5-pro,Jurisdictional,Financial assurance using Treasury securities for offshore wind leases or grants,115.0,percent,"If you use a Treasury security, you must post 115 percent of your financial assurance amount",False,,,
6124,1,gemini-1.5-pro,Jurisdictional,Lease acquisition and initial rent payments,12.0,months,"For acquisition fees or the initial 12 months' rent paid for the preliminary period of your lease, you must make your electronic payments through the Fees for Services page on the BOEM website at *[https://www.boem.gov,](https://www.boem.gov/)* and you must include one copy of the *Pay.gov* confirmation receipt page with your unsolicited request.",False,,,
