row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
1311,11,gpt-4o-mini,Technical,Cable Joints (IEEE 404),5,pC,No PD >5pC up to 1.5Uo,True,"201, 222","201, 222","Page 201: ""...e equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards."" | ""...ge protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...ondi- tion of the mechanical connection of cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."" | ""...f cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1312,11,gpt-4o-mini,Technical,Cable Terminations (IEEE 48),5,pC,No PD >5pC up to 1.5Uo,True,"201, 222","201, 222","Page 201: ""...e equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards."" | ""...ge protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...ondi- tion of the mechanical connection of cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."" | ""...f cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1318,11,claude-3-haiku-20240307,Technical,Entire lightning protection system,0.5,mΩ per meter blade length,"The entire lightning protection system must be checked by resistance measurement, and the threshold value for the entire system must be defined by the natural resistance in the down conductor system added to the resistances in the connections in the system. A good rule of thumb is to have 0.5 mΩ per meter blade length in total resistance.",False,,,
1438,11,claude-3-haiku-20240307,Technical,Onshore wind farm foundations,2.0,foundations,"At a minimum, two (2) foundation bases and two (2) foundation pedestals shall be inspected and approved by the structural engineer of record prior to concrete placement.",False,,,
1491,11,gpt-4o-mini,Technical,Secondary cable systems,100,Megohm,A low voltage insulation resistance measurement of less than 100 Megohm may indicate a problem.,False,,,
1546,11,gpt-4o-mini,Technical,Cable Component: IEEE 48 Terminations,5,pC,No PD >5pC up to 1.5Uo,True,"201, 222","201, 222","Page 201: ""...e equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards."" | ""...ge protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...ondi- tion of the mechanical connection of cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."" | ""...f cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1547,11,gpt-4o-mini,Technical,Cable Component: IEEE 404 Joints,5,pC,No PD >5pC up to 1.5Uo,True,"201, 222","201, 222","Page 201: ""...e equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards."" | ""...ge protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...ondi- tion of the mechanical connection of cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."" | ""...f cable system joints and termina- tions. off-line 50 hz or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1595,11,gemini-1.5-pro,Technical,Turbine foundations,2.0,,"At a minimum, two (2) foundation bases and two (2) foundation pedestals shall be inspected and approved by the structural engineer of record prior to concrete placement.",False,,,
1639,11,gpt-4o-mini,Technical,Operational phase,10,kV,"A DC insulation resistance test at an operating voltage or less, i.e. 10 kV or 20 kV for a 35kV system, is recommended after any failure event to confirm the phase of the fault and to confirm that there is not a second fault before re-energizing.",False,,,
1650,11,gpt-4o-mini,Safety,Operational phase,2,years,"Every year the lightning protection system must be inspected visually, and every second year the inspection should be extended to cover a full inspection, including continuity measurements and an in-depth inspection.",False,,,
1708,11,gemini-1.5-pro,Technical,Test reports,5.0,calendar days,"Test reports shall be generated by the party performing the test and provided to Company Construction, Inc. within five (5) calendar days of completion.",False,,,
1722,11,gpt-4o-mini,Technical,Gearbox rinsing phase,30,minutes,Let the turbine pinwheel for up to 30 minutes at low speed with NO Load.,False,,,
1723,11,gpt-4o-mini,Technical,Gearbox flushing phase,60,minutes,Let the turbine pinwheel for up to 60 minutes at low speed with NO Load.,False,,,
1781,11,deepseek-chat,Environmental,Turbine foundations in North Atlantic waters,25,meters,All wind turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine mammal passage,False,,,
1797,11,gemini-1.5-pro,Technical,Turbine Bearings,82.0,°C,The temperature should be no more than 82°C on the bearing housing.,True,308,308,"Page 308: ""...ondition monitoring procedures in general, the temperature sensor must be attached in close proximity to the bearing/component under analysis. 1. simple troubleshooting rules for bearings the temperature should be no more than 82°c on the bearing housing. the bearing outer ring can be up to 11°c hotter than the housing. note that lubri- cants are typically selected to run at lower temperatures and a temperature rise of 28°c may cause oil viscosity t..."""
1803,11,gpt-4o-mini,Technical,Cable Component: IEEE 386 Separable Connectors,3,pC,No PD >3pC up to 1.3Uo,True,"201, 222","201, 222","Page 201: ""...g voltage for 35 kv systems (line to ground, 1.0uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...z or 60 hz pd testing is recommended every 5 years. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1824,11,deepseek-chat,Spatial,Wind farm layout in lease areas,1,nautical mile,Minimum 1 nautical mile separation between turbines,False,,,
1843,11,gpt-4o-mini,Technical,MV Cable (ICEA S-94-649),5,pC,No PD >5pC up to 2Uo,True,"201, 222","201, 222","Page 201: ""...uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...rs. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1844,11,gemini-1.5-pro,Technical,ICEA S-94-649 MV Cable,5.0,pC,No PD >5pC up to 2Uo,True,"201, 222","201, 222","Page 201: ""...uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...rs. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
1852,11,gpt-4o-mini,Technical,Grout and concrete of turbines during the operational phase.,50,%,"After the 5 year benchmark, 50% of the turbines should be inspected yearly for the remainder of the project.",False,,,
1864,11,gemini-1.5-pro,Technical,Blade lightning protection system connections,1.0,mΩ,Resistance measurements must be performed with a calibrated ‘4-point measuring method’ instrument and all individual sub-connections must demonstrate resistances below 1 mΩ.,False,,,
1978,11,gemini-1.5-pro,Technical,"Medium Voltage Cable Systems, Terminations",5.0,pC,IEEE 48 Terminations: No PD >5pC up to 1.5Uo,False,,,
1979,11,gemini-1.5-pro,Technical,"Medium Voltage Cable Systems, Joints",5.0,pC,IEEE 404 Joints: No PD >5pC up to 1.5Uo,False,,,
2098,11,gpt-4o-mini,Technical,Surge arrestor installation.,18,inches,Lead lengths should be maintained less than 18 inches for MV systems and 3 feet for HV systems.,False,,,
2101,11,gpt-4o-mini,Technical,Blade production phase,0.5,mΩ/meter,A good rule of thumb is to have 0.5 mΩ per meter blade length in total resistance.,False,,,
2102,11,gemini-1.5-pro,Technical,Generator Windings,135.0,°C,"For a 1.5 MW generator with a service factor of 1.15 and insulation class B, the maximum allowable temperature rise would be 95°C. Thus, the machine should alert a warning condition when the winding temperature is greater than 135°C.",False,,,
2178,11,claude-3-haiku-20240307,Technical,Blade lightning protection system,1.0,mΩ,All connections in the blade lightning protection system must be checked by measuring the resistance before the connection is covered by resin or the blade mold is closed. Resistance measurements must be performed with a calibrated '4-point measuring method' instrument and all individual sub-connections must demonstrate resistances below 1 mΩ.,False,,,
2187,11,deepseek-chat,Environmental,North Sea region,25,meters,Turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine life passage,False,,,
2194,11,gemini-1.5-pro,Technical,ICEA S-94-649 MV Cable,200.0,V/mil,200 V/mil in factory,True,"201, 222","201, 222","Page 201: ""...the near future but, rather, to detect pre-existing shorts.  infrared test of the accessories (terminations and accessible splices) under high current condition. *actually 200 v/mil in factory. field tests are performed to a maximum voltage value equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0uo)...""
Page 222: ""...2013 19 9. medium voltage cable systems (continued) *actually 200 v/mil in factory. field tests are performed to a maximum voltage value equal to the level of system over voltage protection which is typically 2 times the operating voltage for 35 kv systems (line to ground, 1.0 uo..."""
2260,11,deepseek-chat,Environmental,North Sea Exclusive Economic Zone,25,meters,All turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine life passage,False,,,
2265,11,gpt-4o-mini,Technical,Grout and concrete of turbines during the operational phase.,100,%,Grout and concrete inspections are to be performed yearly on 100% of the turbines for the first 5 years of the project.,False,,,
2454,11,gpt-4o-mini,Technical,Electric cable systems in wind farms,5,pC,"IEEE, IEC, and ICEA standards require an off-line 50/60 Hz PD test with better than 5 pC sensitivity to determine whether or not components are in or out of specification.",False,,,
2479,11,gpt-4o-mini,Technical,Wind turbine rotor and hub lightning protection systems,200,kA,The down conductor system must be able to handle impulse current of at least 200kA at 10/350 µs (lightning protection level 1 in accordance with IEC 61400-24) without signs of internal arcing and without temperatures exceeding critical levels in relation to conductor isolation and GFRP/CFRP materials in general.,False,,,
2499,11,gemini-1.5-pro,Safety,Personnel Training for Transmission Line Inspection,5.0,years,"Personnel assigned to conduct interconnect line inspections will be trained on proper inspection techniques, actions to take when vegetation conditions present an imminent threat of a trans- mission line outage, the requirements of this procedure, and the requirements for working in the vicinity of energized transmission lines. Documentation of this training should be maintained on-site for a minimum of 5 years.",False,,,
2554,11,gpt-4o-mini,Technical,Electric motors and generators during operation,95,°C,The maximum allowable temperature rise would be 95°C for a 1.5 MW generator with a service factor of 1.15 and insulation class B.,False,,,
2558,11,gemini-1.5-pro,Technical,"Turbine foundations, Operational phase",10.0,%,"Approximately 1 year after the project has been 100% tensioned, 10% of the anchor bolts should be selected at random on 20% of the turbines.",False,,,
2562,11,gemini-2.5-pro,Technical,Generator windings during operational phase,135.0,°C,"For a 1.5 MW generator with a service factor of 1.15 and insulation class B, the maximum allowable temperature rise is 95°C based on a maximum ambient temperature of 40°C. A warning condition should be alerted when the winding temperature is greater than 135°C.",False,,,
2612,11,gemini-1.5-pro,Technical,"Medium Voltage Cable Systems, Separable Connectors",3.0,pC,IEEE 386 Separable Connectors: No PD >3pC up to 1.3Uo,False,,,
2629,11,gpt-4o-mini,Technical,Brush maintenance,25,%,"If one of the brushes has to be replaced and the set is worn more than 25%, all the brushes should be replaced.",False,,,
2727,11,gpt-4o-mini,Technical,Document transmission and acknowledgment process during project execution.,3,working days,"Customer/owner, supplier, subcontractor, or consultant that receives copies is required to acknowledge in writing within 3 working days receipt of the associated documents.",False,,,
2757,11,deepseek-chat,Spatial,Wind farm arrays in German territorial waters,1,km,Minimum 1 km spacing required between adjacent turbines,False,,,
2760,11,deepseek-chat,Safety,Wind farm operational areas,500,meters,All vessels operating within 500m of turbines must maintain continuous radio contact,False,,,
2765,11,gpt-4o-mini,Technical,Gearbox maintenance procedures during operation phase.,5,gallons,Purge/spray the gearbox planetary with approximately 5 gallons of new gear lube.,False,,,
2798,11,gemini-1.5-pro,Technical,VRLA Batteries in Substation,5.0,A,Max Current ripple: 5 A per 100 amp-hr rating of battery,True,217,217,"Page 217: ""...wind energy power plant substation and transmission line maintenance 5.2.9. charger ac ripple voltage/current (vrla batteries on- ly)  max voltage ripple: 0.5% of dc float voltage  max current ripple: 5 a per 100 amp-hr rating of battery 6. generator lead line caution: extreme caution should be used with inspecting transmission line systems. 6.1. inspecting the generator lead line. 6.1.1. the interconnect line will be in..."""
2800,11,gemini-1.5-pro,Technical,Turbine Bearings,11.0,°C,The bearing outer ring can be up to 11°C hotter than the housing.,False,,,
2820,11,gpt-4o-mini,Technical,Operational phase,33,percent,Oil sampling is recommended on one third of the transformers on a yearly basis.,False,,,
2841,11,gemini-1.5-pro,Technical,"Turbine foundations, Operational phase, Anchor bolts",75.0,kips,The testing value should be to the lowest specified engineered value. For example if the foundation drawings specify a tension of 75kips +5 -0 then all 10% testing is to be done at 75 kips.,False,,,
2847,11,deepseek-chat,Technical,Fixed-bottom offshore wind turbines in the Atlantic OCS,50,years,Wind turbine foundations must be designed to withstand a 1-in-50-year extreme wave event.,False,,,
2860,11,deepseek-chat,Spatial,All new offshore wind developments,1,kilometer,Minimum 1km spacing between turbines in array layout,False,,,
2897,11,gpt-4o-mini,Technical,Gearbox lubrication process,5,microns,All oils located on the oil change truck/trailer need to be filtered with a 5 micron filter to keep any possible debris from the lube truck tanks or oil transfer from entering the gearbox.,False,,,
2919,11,gemini-1.5-pro,Technical,Wind farms with a total installed capacity of 200 MW or larger,200.0,MW,Mandatory reporting begins for plants with a total installed capacity of 200 MW or larger.,False,,,
2948,11,gpt-4o-mini,Technical,Charger AC Ripple Current for VRLA Batteries.,5,A,Max Current ripple: 5 A per 100 amp-hr rating of battery.,False,,,
2974,11,gemini-1.5-pro,Technical,Wind farms with a total installed capacity between 100 MW and 199.99 MW,100.0,MW,Mandatory reporting begins for plants with a total installed capacity between 100 MW and 199.99 MW.,False,,,
2981,11,gpt-4o-mini,Safety,Transmission line maintenance phase,5,years,The completed work plan will be retained on site for a minimum of 5 years.,False,,,
2996,11,deepseek-chat,Spatial,U.S. Exclusive Economic Zone (EEZ),12,nautical miles,No offshore wind farm shall be constructed within 12 nautical miles of a designated shipping lane.,False,,,
3044,11,deepseek-chat,Spatial,U.S. Atlantic Wind Energy Areas,1,nautical mile,No construction within 1 nautical mile of designated shipping lanes.,False,,,
3060,11,gpt-4o-mini,Technical,Brush installation and maintenance phase.,120,grit,The abrasive size should be 80 to 120 grit.,True,"47, 80","47, 80","Page 47: ""...tened brush life, and even component damage. garnet paper or any non-metal bearing abrasive paper is recommended and cloth backed abrasives are often easier to use in many circumstances. the abrasive size should be 80 to 120 grit. fine sandpaper, such as 400 grit, will easily fill with carbon making the sanding process more difficult. it is important not to leave abrasive particles under the brushes when completed...""
Page 80: ""...ensure the proper electrical continuity. garnet paper or any non-metal bearing abrasive paper is recommended, and cloth backed abrasives are often easier to use in many circumstances. the abrasive size should be 80 to 120 grit. fine sandpaper, such as 400 grit, will easily fill with carbon making the sanding process more difficult. it is important not to leave abrasive particles under the brushes when completed..."""
3091,11,deepseek-chat,Safety,UK offshore wind farms,22,meters,Minimum clearance of 22 meters must be maintained between lowest blade tip and highest astronomical tide,False,,,
