row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
2773,40,gpt-4o-mini,Safety,Operational phase,15.0,minutes,"If a marine mammal is observed within a clearance zone during the clearance period, ramp-up or acoustic surveys may not begin until the animal(s) has been observed voluntarily exiting its respective clearance zone or until a specific time period has elapsed with no further sighting.",fuzzy,15,15,"Page 15: ""...period is a period when no marine mammals are detected in the relevant zone; (10) if a marine mammal is observed within a clearance zone during the clearance period, ramp-up or acoustic surveys may no...""",0.6409966024915063
2846,40,gemini-1.5-pro,Environmental,"Construction and Operation phases, North Atlantic Right Whale sightings",24.0,hours,LOA Holder must submit situational reports if the following circumstances occur (including all instances wherein an exemption is taken must be reported to NMFS Office of Protected Resources within 24 hours): If a North Atlantic right whale is observed at any time by PSOs or project personnel,fuzzy,25,25,"Page 25: ""...(13) loa holder must submit situational reports if the following circumstances occur (including all instances wherein an exemption is taken must be reported to nmfs office of protected resources withi...""",0.6396495071193866
2973,40,gpt-4o-mini,Environmental,Level B harassment zone during survey operations,15.0,minutes,"If an acoustic source has been shut down due to the presence of a marine mammal, the use of an acoustic source may not commence or resume until the animal(s) has been confirmed to have left the Level B harassment zone or until a full 15 minutes (for small odontocetes and seals) or 30 minutes (for all other marine mammals) have elapsed with no further sighting.",fuzzy,15,15,"Page 15: ""...that belongs to a genus other than those specified in this paragraph (f)(12) of this section is detected in the shutdown zone; (13) if an acoustic source has been shut down due to the presence of a ma...""",0.8013318534961155
3035,40,gpt-4o-mini,Safety,"Construction phase, Level B harassment zone",15.0,minutes,"The activity must not commence or resume until the animal(s) has been confirmed to have left and is on a path away from the Level B harassment zone or after 15 minutes for small odontocetes and pinnipeds, and 30 minutes for all other species with no further sightings;",fuzzy,4,4,"Page 4: ""...the activity must not commence or resume until the animal(s) has been confirmed to have left and is on a path away from the level b harassment zone or after 15 minutes for small odontocetes and pinnip...""",0.6473429951690821
3118,40,claude-3-haiku-20240307,Safety,Transit corridor from port to lease area,10,knots,"If LOA Holder's vessel(s) are traveling at speeds greater than 10 kn ( *i.e.,* no speed restrictions are enacted) in a transit corridor from a port to the Lease Area, in addition to the required dedicated visual observer, LOA Holder must monitor the transit corridor in real-time with PAM prior to and during transits. If a North Atlantic right whale is detected via visual observation or PAM within or approaching the transit corridor, all crew transfer vessels must travel at 10 kn or less for 24 hours following the detection. Each subsequent detection shall trigger a 24-hour reset. A slowdown in the transit corridor expires when there has been no further visual or acoustic detection in the transit corridor in the past 24 hours.",fuzzy,6,6,"Page 6: ""...speed restrictions are enacted) in a transit corridor from a port to the lease area, in addition to the required dedicated visual observer, loa holder must monitor the transit corridor in real-time wi...""",0.9046199701937406
3169,40,gemini-1.5-pro,Technical,Foundation installation and UXO/MEC detonations,2.0,,"During foundation installation and UXO/MEC detonations, at least two PSOs on the pile driving and detonation-dedicated PSO vessel must be equipped with functional Big Eye binoculars (e.g., 25 x 150; 2.7 view angle; individual ocular focus; height control); these must be pedestal mounted on the deck at the best vantage point that provides for optimal sea surface observation and PSO safety.",fuzzy,20,20,"Page 20: ""...(7x) binoculars, and the naked eye to search continuously for marine mammals. during foundation installation and uxo/ mec detonations, at least two psos on the pile driving and detonation-dedicated ps...""",0.7562862669245648
3391,40,gemini-1.5-pro,Environmental,Acoustic source operation,30.0,minutes,"LOA Holder is required to ramp-up acoustic sources prior to commencing full power, unless the equipment operates on a binary on/off switch, and ensure visual clearance zones are fully visible and clear of marine mammals, as determined by the Lead PSO, for at least 30 minutes immediately prior to the initiation of survey activities using acoustic sources specified in the LOA.",fuzzy,14,14,"Page 14: ""...level to meet the survey objective, when in use, and must be turned off when they are not necessary for the survey; (5) loa holder is required to ramp-up acoustic sources prior to commencing full powe...""",0.7789256198347108
3404,40,gpt-4o-mini,Environmental,Sampling area during gear deployment,1.0,nmi,"If marine mammals are sighted within 1 nmi of the planned location and 15 minutes before gear deployment, then LOA Holder and/or its cooperating institutions, contracted vessels, or commercially hired captains must move the vessel away from the marine mammal to a different section of the sampling area.",fuzzy,16,16,"Page 16: ""...if marine mammals are sighted within 1 nmi of the planned location and 15 minutes before gear deployment, then loa holder and/or its cooperating institutions, contracted vessels, or commercially hired...""",0.6594124047878128
3415,40,gemini-1.5-pro,Environmental,Offshore wind farm operation (ramp-up procedures for acoustic sources),60.0,minutes,"Prior to a ramp-up procedure starting or activating acoustic sources, the acoustic source operator must notify a designated PSO of the planned start of ramp-up. The notification time should not be less than 60 minutes prior to the planned ramp-up or activation.",fuzzy,15,15,"Page 15: ""...exiting its respective shutdown zone or until 15 minutes for small odontocetes and pinnipeds, and 30 minutes for all other species, has elapsed with no further sightings; (6) prior to a ramp-up proced...""",0.6060606060606061
3507,40,gemini-1.5-pro,Technical,Protected species observer (PSO) and passive acoustic monitoring (PAM) operator qualifications,30.0,semester hours,"All PSOs and PAM operators must have successfully attained a bachelor's degree from an accredited college or university with a major in one of the natural sciences, a minimum of 30 semester hours or equivalent in the biological sciences, and at least one undergraduate course in math or statistics.",fuzzy,17,17,"Page 17: ""...with and instruct relevant crew with regard to the presence of protected species and mitigation requirements; (2) all psos and pam operators must have successfully attained a bachelor's degree from an...""",0.6499454743729552
3547,40,gemini-1.5-pro,Safety,Offshore wind farm construction activities,360.0,degrees,"All PSOs must be located at the best vantage point(s) on any platform, as determined by the Lead PSO, in order to obtain 360-degree visual coverage of the entire clearance and shutdown zones around the activity area, and as much of the Level B harassment zone as possible.",fuzzy,19,19,"Page 19: ""...all psos must be located at the best vantage point(s) on any platform, as determined by the lead pso, in order to obtain 360-degree visual coverage of the entire clearance and shutdown zones around th...""",0.7139107611548556
3566,40,gemini-1.5-pro,Safety,Vessel operations within a specified geographical region during wind farm activities.,10.0,kn,"LOA Holder must comply with the following vessel strike avoidance measures, unless an emergency situation presents a threat to the health, safety, or life of a person or when a vessel, actively engaged in emergency rescue or response duties, including vessel-in-distress or environmental crisis response, requires speeds in excess of 10 kn to fulfill those responsibilities, while in the specified geographical region",fuzzy,5,5,"Page 5: ""...loa holder must comply with the following vessel strike avoidance measures, unless an emergency situation presents a threat to the health, safety, or life of a person or when a vessel, actively engage...""",0.776536312849162
3733,40,gemini-1.5-pro,Environmental,Marine mammal protection during pre-deployment phase,1.0,nmi,"If marine mammals are sighted within 1 nmi of the planned location and 15 minutes before gear deployment, then LOA Holder and/or its cooperating institutions, contracted vessels, or commercially hired captains, as appropriate, must move the vessel away from the marine mammal to a different section of the sampling area. If, after moving on, marine mammals are still visible from the vessel, LOA Holder and its cooperating institutions, contracted vessels, or commercially hired captains must move again or skip the station",fuzzy,16,16,"Page 16: ""...if marine mammals are sighted within 1 nmi of the planned location and 15 minutes before gear deployment, then loa holder and/or its cooperating institutions, contracted vessels, or commercially hired...""",0.9183494293239683
3908,40,claude-3-haiku-20240307,Safety,Offshore wind farm construction,"[15, 30]",minutes,"If pile driving has been shut down due to the presence of a marine mammal other than a North Atlantic right whale, pile driving must not restart until either the marine mammal(s) has voluntarily left the specific clearance zones and has been visually or acoustically confirmed beyond that clearance zone, or, when specific time periods have elapsed with no further sightings or acoustic detections have occurred. The specific time periods are 15 minutes for small odontocetes and pinnipeds, and 30 minutes for all other marine mammal species.",fuzzy,9,9,"Page 9: ""...for 30 minutes; (14) if pile driving has been shut down due to the presence of a marine mammal other than a north atlantic right whale, pile driving must not restart until either the marine mammal(s) ...""",0.9401561144839549
4027,40,gpt-4o-mini,Safety,Clearance zone during UXO/MEC detonations,60.0,minutes,"Detonation may only commence if all marine mammals have been confirmed to have voluntarily left the clearance zones and been visually confirmed to be beyond the clearance zone, or when 60 minutes have elapsed without any redetections for whales (including the North Atlantic right whale) or 15 minutes have elapsed without any redetections of delphinids, harbor porpoises, or seals.",fuzzy,13,13,"Page 13: ""...minutes and the zone must be acoustically cleared during this time. if a marine mammal is observed entering or within the clearance zone prior to denotation, the activity must be delayed. detonation m...""",0.7485265225933202
4173,40,gemini-1.5-pro,Environmental,Mitigation measures for foundation installation noise levels,3.0,monopiles,"If any of the interim SFV measurement reports submitted for the first three monopiles indicate the modeled distances to NMFS marine mammal Level A harassment and Level B harassment thresholds assuming 10-dB attenuation, then LOA Holder must implement additional sound attenuation measures on all subsequent foundations.",fuzzy,10,10,"Page 10: ""...if any of the interim sfv measurement reports submitted for the first three monopiles indicate the modeled distances to nmfs marine mammal level a harassment and level b harassment thresholds assuming...""",0.629812438302073
4268,40,gemini-1.5-pro,Environmental,Foundation installation,10.0,dB,"LOA Holder must optimize the sound attenuation systems ( *e.g.,* ensure hose maintenance, pressure testing, *etc.* ) to meet noise levels modeled, assuming 10-dB attenuation, within three piles or else foundation installation activities must cease until NMFS and LOA Holder can evaluate the situation and ensure future piles must not exceed noise levels modeled assuming 10-dB attenuation",fuzzy,10,10,"Page 10: ""...loa holder must also increase clearance and shutdown zone sizes to those identified by nmfs until sfv measurements on at least three additional foundations demonstrate acoustic distances to harassment...""",0.7087198515769945
4337,40,gpt-4o-mini,Safety,In-water construction activities,10.0,meters,"If a marine mammal is on a path towards or comes within 10 meters (m) (32.8 feet) of equipment, LOA Holder must cease operations until the marine mammal has moved more than 10 m on a path away from the activity to avoid direct interaction with equipment;",fuzzy,4,4,"Page 4: ""...have left and is on a path away from the level b harassment zone or after 15 minutes for small odontocetes and pinnipeds, and 30 minutes for all other species with no further sightings; (9) for in-wat...""",0.6225490196078431
4348,40,gpt-4o-mini,Environmental,Pile driving activities related to offshore wind farm construction.,15.0,minutes,"If pile driving has been shut down due to the presence of a marine mammal other than a North Atlantic right whale, pile driving must not restart until either the marine mammal(s) has voluntarily left the specific clearance zones and has been visually or acoustically confirmed beyond that clearance zone, or, when specific time periods have elapsed with no further sightings or acoustic detections have occurred.",fuzzy,9,9,"Page 9: ""...for 30 minutes; (14) if pile driving has been shut down due to the presence of a marine mammal other than a north atlantic right whale, pile driving must not restart until either the marine mammal(s) ...""",0.8054740957966764
4429,40,gemini-1.5-pro,Technical,"Construction phase, Passive Acoustic Monitoring (PAM) data",90.0,calendar days,"Full detection data, metadata, and location of recorders (or GPS tracks, if applicable) from all real time hydrophones used for monitoring during construction must be submitted within 90 calendar days following completion of activities requiring PAM for mitigation via the ISO standard metadata forms available on the NMFS Passive Acoustic Reporting System website.",fuzzy,25,25,"Page 25: ""...calling the hotline is not necessary when reporting pam detections via the template; (12) full detection data, metadata, and location of recorders (or gps tracks, if applicable) from all real- time hy...""",0.6331309627059843
4489,40,gemini-1.5-pro,Environmental,Transit within 10km of a reported North Atlantic right whale,10.0,km,"If a North Atlantic right whale is reported via any of the monitoring systems within 10 kilometers (km; 6.2 miles (mi)) of a transiting vessel(s), that vessel must operate at 10 knots (kn; 11.5 miles per hour (mph)) or less for 24 hours following the reported detection",fuzzy,6,6,"Page 6: ""...24-hour period. if a north atlantic right whale is reported via any of the monitoring systems (refer back to paragraph (b)(4) of this section) within 10 kilometers (km; 6.2 miles (mi)) of a transiting...""",0.6366863905325444
4532,40,gemini-1.5-pro,Environmental,Fisheries monitoring surveys,15.0,minutes,"Survey gear must be deployed as soon as possible once the vessel arrives on station. Gear must not be deployed if there is a risk of interaction with marine mammals. Gear may be deployed after 15 minutes of no marine mammal sightings within 1 nautical mile (nmi; 1,852 m) of the sampling station",fuzzy,16,16,"Page 16: ""...to fishery monitoring surveys: (1) survey gear must be deployed as soon as possible once the vessel arrives on station. gear must not be deployed if there is a risk of interaction with marine mammals....""",0.6504961411245865
4537,40,gemini-1.5-pro,Safety,Vessel operations in the vicinity of North Atlantic right whales,500.0,meters,"If a North Atlantic right whale is sighted within 500 m of an underway vessel, that vessel must reduce speed and shift the engine to neutral. Engines must not be engaged until the whale has moved outside of the vessel's path and beyond 500 m.",fuzzy,6,6,"Page 6: ""...right whale at 10 kn or less such that the 500-m minimum separation distance requirement is not violated. if a north atlantic right whale is sighted within 500 m of an underway vessel, that vessel mus...""",0.6126582278481013
4614,40,gemini-1.5-pro,Environmental,UXO/MEC detonation during offshore wind farm activities,72.0,hours,"If an UXO/MEC detonation occurs, within 72 hours after a detonation but before the next detonation, whichever is sooner, LOA Holder must report to NMFS Office of Protected Resources the time, date, location (latitude/longitude Decimal Degrees), charge weight size, justification on why detonation was necessary and other means of removal or avoidance could not occur, all detections of marine mammals within the UXO/MEC zones, and any mitigative action taken.",fuzzy,26,26,"Page 26: ""...if an uxo/mec detonation occurs, within 72 hours after a detonation but before the next detonation, whichever is sooner, loa holder must report to nmfs office of protected resources the time, date, lo...""",0.8307692307692308
4829,40,gemini-1.5-pro,Environmental,In-water construction heavy machinery activities,10.0,meters,"For in-water construction heavy machinery activities listed in § 217.260(c), if a marine mammal is on a path towards or comes within 10 meters (m) (32.8 feet) of equipment, LOA Holder must cease operations until the marine mammal has moved more than 10 m on a path away from the activity to avoid direct interaction with equipment",fuzzy,4,4,"Page 4: ""...have left and is on a path away from the level b harassment zone or after 15 minutes for small odontocetes and pinnipeds, and 30 minutes for all other species with no further sightings; (9) for in-wat...""",0.7399103139013453
4877,40,gemini-1.5-pro,Safety,Vessel operations in the vicinity of delphinoid cetaceans and pinnipeds,50.0,meters,"If a delphinid cetacean or pinniped is sighted within 50 m of a transiting vessel, LOA Holder's vessel must shift the engine to neutral, with an exception made for those that approach the vessel. Engines must not be engaged until the animal(s) has moved outside of the vessel's path and beyond 50 m",fuzzy,6,6,"Page 6: ""...m (164 ft) from all delphinoid cetaceans and pinnipeds with an exception made for those that approach the vessel (i.e., bow-riding dolphins). if a delphinid cetacean or pinniped is sighted within 50 m...""",0.6614872364039955
4909,40,gemini-1.5-pro,Technical,Personnel Certification (PSO/PAM),5.0,years,"An unconditionally approved PSO or PAM operator is one who has completed training within the last 5 years and attained the necessary experience (i.e., demonstrate experience with monitoring for marine mammals at clearance and shutdown zone sizes similar to those produced during the respective activity).",fuzzy,18,18,"Page 18: ""...may approve psos and pam operators as conditional or unconditional. a conditionally-approved pso or pam operator may be one who has completed training in the last 5 years but has not yet attained the ...""",0.6530612244897959
5104,40,gemini-1.5-pro,Safety,Vessel operations in the vicinity of sperm whales and non-North Atlantic right whale baleen whales,100.0,meters,"If one of these species (sperm whales and non-North Atlantic right whale baleen whales) is sighted within 100 m of a transiting vessel, LOA Holder's vessel must reduce speed and shift the engine to neutral. Engines must not be engaged until the whale has moved outside of the vessel's path and beyond 100 m",fuzzy,6,6,"Page 6: ""...right whale, the vessel operator must assume that it is a north atlantic right whale and take the vessel strike avoidance measures described in this paragraph (b)(9) of this section; (10) loa holder's...""",0.6351351351351351
5205,40,gemini-1.5-pro,Safety,Vessel transit,4.0,hours,"At the onset of transiting and at least once every 4 hours, vessel operators and/or trained crew member(s) must also monitor the project's Situational Awareness System, WhaleAlert, and relevant NOAA information systems such as the Right Whale Sighting Advisory System (RWSAS) for the presence of North Atlantic right whales",fuzzy,5,5,"Page 5: ""...at the onset of transiting and at least once every 4 hours, vessel operators and/or trained crew member(s) must also monitor the project's situational awareness system, whalealert, and relevant noaa i...""",0.76
5309,40,gemini-1.5-pro,Safety,UXO/MEC detonation during offshore wind farm activities,48.0,hours,"LOA Holder must provide NMFS Office of Protected Resources with notification of planned UXO/MEC detonation as soon as possible but at least 48 hours prior to the planned detonation, unless this 48-hour notification would create delays to the detonation that would result in imminent risk of human life or safety.",fuzzy,26,26,"Page 26: ""...to marine mammal from vessel and closest point of approach; and any avoidance measures taken in response to the marine mammal sighting. (iv) loa holder must provide nmfs office of protected resources ...""",0.6589229144667371
5356,40,gemini-2.5-flash,Environmental,Personnel (PSO and PAM operators) involved in marine mammal monitoring for the Ocean Wind 1 project during construction.,60.0,days,"LOA Holder must submit resumes for approval at least 60 days prior to PSO and PAM operator use. Resumes must include information related to relevant education, experience, and training, including dates, duration, location, and description of prior PSO or PAM operator experience. Resumes must be accompanied by relevant documentation of successful completion of necessary training.",fuzzy,18,18,"Page 18: ""...loa holder must submit resumes for approval at least 60 days prior to pso and pam operator use. resumes must include information related to relevant education, experience, and training, including date...""",0.7867494824016563
5366,40,gemini-1.5-pro,Technical,Offshore wind farm construction (foundation installation and UXO/MEC detonation),90.0,percent,"The report must include, at minimum: hammer energies/schedule used during pile driving, including, the total number of strikes and the maximum hammer energy; the model-estimated acoustic ranges (R 95 %) to compare with the real-world sound field measurements; the estimated UXO/MEC charge size (or physical size if charge size is unknown) and donor charge size in trinitrotoluene (TNT) equivalent weight for either high (donor charge used to detonate/destroy UXO/MEC) or low order detonations and description of UXO/MEC (e.g., munition type, state of submergence, approximate age); peak sound pressure level (SPL pk ), root-mean-square sound pressure level that contains 90 percent of the acoustic energy (SPL rms ), and sound exposure level (SEL, in single strike for pile driving, SEL ss ), for each hydrophone, including at least the maximum, arithmetic mean, minimum",fuzzy,23,23,"Page 23: ""...the real-world sound field measurements; the estimated uxo/mec charge size (or physical size if charge size is unknown) and donor charge size in trinitrotoluene (tnt) equivalent weight for either high...""",0.8085912823752369
5375,40,gemini-1.5-pro,Safety,LOA Holder's vessels transiting and surveying,180.0,degrees,"LOA Holder's underway vessels (e.g., transiting, surveying) operating at any speed must have a dedicated visual observer on duty at all times to monitor for marine mammals within a 180° direction of the forward path of the vessel (90° port to 90° starboard) located at an appropriate vantage point for ensuring vessels are maintaining appropriate separation distances.",fuzzy,5,5,"Page 5: ""...a training course log sheet and reported to nmfs; (2) loa holder's vessels, regardless of their vessel's size, must maintain a vigilant watch for all marine mammals and slow down, stop their vessel, o...""",0.7419354838709677
5452,40,gemini-1.5-pro,Environmental,"Construction phase, Pile driving and UXO/MEC detonation activities",1.0,business day,"If at any time [...] LOA Holder becomes aware of any issue [...] which may [...] call into question the validity of any measured Level A harassment or Level B harassment isopleths [...], LOA Holder must inform NMFS Office of Protected Resources within 1 business day of becoming aware of this issue or before the next pile is driven (or UXO/MEC is detonated), whichever comes first.",fuzzy,25,25,"Page 25: ""...if at any time during the project loa holder becomes aware of any issue or issues which may (to any reasonable subject-matter expert, including the persons performing the measurements and analysis) ca...""",0.7211155378486056
5492,40,gemini-1.5-pro,Environmental,Acoustic source operation during construction,30.0,minutes,"If an acoustic source is shut down for reasons other than mitigation for less than 30 minutes, acoustic sources may be activated again without ramp-up only if PSOs have maintained constant observation and no additional detections of any marine mammal occurred within the respective shutdown zones.",fuzzy,16,16,"Page 16: ""...if an acoustic source is shut down for reasons other than mitigation (e.g., mechanical difficulty) for less than 30 minutes, acoustic sources may be activated again without ramp-up only if psos have m...""",0.6393972012917115
5495,40,gpt-4o-mini,Technical,Activities requiring PSOs/PAM operators.,30.0,days,LOA Holder must submit NMFS previously approved PSOs and PAM operators to NMFS Office of Protected Resources for review and confirmation of their approval for specific roles at least 30 days prior to commencement of the activities requiring PSOs/PAM operators.,fuzzy,18,18,"Page 18: ""...as the lead pso or lead pam operator; (9) loa holder must submit nmfs previously approved psos and pam operators to nmfs office of protected resources for review and confirmation of their approval for...""",0.6002317497103129
5574,40,claude-3-haiku-20240307,Safety,Transiting vessels,10,knots,"If a North Atlantic right whale is reported via any of the monitoring systems (refer back to paragraph (b)(4) of this section) within 10 kilometers (km; 6.2 miles (mi)) of a transiting vessel(s), that vessel must operate at 10 knots (kn; 11.5 miles per hour (mph)) or less for 24 hours following the reported detection.",fuzzy,6,6,"Page 6: ""...24-hour period. if a north atlantic right whale is reported via any of the monitoring systems (refer back to paragraph (b)(4) of this section) within 10 kilometers (km; 6.2 miles (mi)) of a transiting...""",0.7106145251396648
5770,40,gpt-4o-mini,Technical,Activities requiring PSOs/PAM operators.,15.0,days,LOA Holder must submit NMFS previously approved PSOs and PAM operators to NMFS Office of Protected Resources for review and confirmation of their approval for specific roles 15 days prior to when new PSOs/PAM operators are required after activities have commenced.,fuzzy,18,18,"Page 18: ""...as the lead pso or lead pam operator; (9) loa holder must submit nmfs previously approved psos and pam operators to nmfs office of protected resources for review and confirmation of their approval for...""",0.6066897347174164
5819,40,claude-3-haiku-20240307,Technical,Offshore wind farm construction,10,decibels,"LOA Holder must conduct sound field verification (SFV) measurements during pile driving activities associated with the installation of, at minimum, the first three monopile foundations. SFV measurements must continue until at least three consecutive piles demonstrate noise levels are at or below those modeled, assuming 10 decibels (dB) of attenuation. Subsequent SFV measurements are also required should larger piles be installed or if additional piles are driven that may produce louder sound fields than those previously measured (e.g., higher hammer energy, greater number of strikes, etc.).",fuzzy,9,9,"Page 9: ""...loa holder must conduct sound field verification (sfv) measurements during pile driving activities associated with the installation of, at minimum, the first three monopile foundations. sfv measuremen...""",0.9357366771159875
6125,40,gemini-1.5-pro,Technical,Hydrophone calibration during sound measurements,0.75,dB,"If any *in-situ* calibration checks for hydrophones reveal a calibration drift greater than 0.75 dB, pistonphone calibration checks are inconclusive, or calibration checks are otherwise not effectively performed, LOA Holder must indicate full details of the calibration procedure, results, and any associated issues in the 48-hour interim reports.",fuzzy,24,24,"Page 24: ""...if any in-situ calibration checks for hydrophones reveal a calibration drift greater than 0.75 db, pistonphone calibration checks are inconclusive, or calibration checks are otherwise not effectively ...""",0.6804733727810651
