row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
2870,44,gpt-4o-mini,Safety,Operational phase,10.0,%,"To trigger an Acoustic Slow Zone, an acoustic system must meet the following criteria: (1) evaluation of the system has been published in the peer-reviewed literature, (2) false detection rate is 10% or lower over daily time scales, and (3) missed detection rate is 50% or lower over daily time scales.",False,,,
3000,44,gpt-4o-mini,Spatial,Operational phase,15.0,nautical miles,Slow Zones are set up as a rectangular area encompassing a circle of 15 (for Dynamic Management Areas) or 20 (for Acoustic Slow Zones) nautical miles around the core sightings.,False,,,
3033,44,gemini-1.5-pro,Environmental,Construction phase,24.0,hours,"When real-time PAM is used during construction for mitigation purposes, a subset of the information required on species detections is expected to be provided and uploaded no later than 24 after the detection.",False,,,
3226,44,gemini-1.5-pro,Environmental,Areas where North Atlantic right whales are sighted,3.0,whales,A Dynamic Management Area is triggered when 3 or more North Atlantic right whales are sighted within 3–5 miles of one another.,False,,,
3538,44,gpt-4o-mini,Technical,Long-term monitoring phase,90.0,days,"When PAM is used for long-term monitoring, all data (detection data, metadata, GPS data, and ambient noise data) should be provided via the formatted spreadsheets and uploaded within 90 days of the retrieval of the recorder or data collection.",False,,,
3627,44,gemini-1.5-pro,Temporal,Slow Zones for North Atlantic right whales,15.0,days,The Slow Zone lasts for 15 days and can be extended with additional sightings or acoustic detections.,False,,,
3738,44,gemini-1.5-pro,Environmental,Areas where North Atlantic right whale upcalls are acoustically detected,3.0,detections,"An Acoustic Slow Zone is established when three or more upcall detections from an acoustic system occur within an evaluation period (e.g., 15 min)",False,,,
3746,44,deepseek-chat,Technical,Fixed-bottom turbines in North Atlantic OCS,1000,year return period,"Wind turbine foundations must withstand a 1,000-year return period storm event",False,,,
3769,44,gpt-4o-mini,Temporal,Operational phase,15.0,days,The Slow Zone lasts for 15 days and can be extended with additional sightings or acoustic detections.,False,,,
3787,44,gpt-4o-mini,Technical,Monitoring phase,5.0,years,"The hydrophones and related hardware need to be calibrated (every 3 to 5 years) and their performance systematically measured and optimized within frequency bandwidths of interest for the particular activity, species, and environment.",False,,,
3873,44,gemini-1.5-pro,Technical,PAM technologies,3.0,years,"The hydrophones and related hardware need to be calibrated (every 3 to 5 years) and their performance systematically measured and optimized within frequency bandwidths of interest for the particular activity, species, and environment.",False,,,
4028,44,deepseek-chat,Environmental,U.S. federal waters,500,meters,Wind turbines must maintain a minimum distance of 500 meters from known marine mammal migration routes.,False,,,
4039,44,deepseek-chat,Environmental,North Sea Exclusive Economic Zone,500,meters,All turbine foundations must maintain a minimum clearance of 500m from identified coral habitats,False,,,
4040,44,deepseek-chat,Spatial,U.S. Exclusive Economic Zone (EEZ),12,nautical miles,No wind turbine may be constructed within 12 nautical miles of a designated shipping lane.,False,,,
4054,44,gpt-4o-mini,Safety,Operational phase,3.0,,"An Acoustic Slow Zone is established when three or more upcall detections from an acoustic system occur within an evaluation period (e.g., 15 min).",False,,,
4501,44,deepseek-chat,Technical,Offshore structures in North Atlantic waters,1000,year return period,"Substation foundations must withstand a 1,000-year return period storm event",False,,,
4562,44,gpt-4o-mini,Technical,Construction phase,24.0,hours,"When real-time PAM is used during construction for mitigation purposes, a subset of the information required on species detections is expected to be provided and uploaded no later than 24 hours after the detection.",False,,,
4780,44,deepseek-chat,Spatial,U.S. federal waters,1,nautical mile,Wind farms must maintain a minimum distance of 1 nautical mile from shipping lanes.,False,,,
4922,44,deepseek-chat,Technical,U.S. federal waters,22,meters,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,False,,,
5638,44,deepseek-chat,Safety,Navigable waters under BOEM jurisdiction,22,meters,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,False,,,
