row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
488,10,gpt-4o-mini,Financial,Project easement area for a cable or a pipeline.,5.0,dollars per acre,"You must pay ONRR, under the regulations at 30 CFR part 1218, a rent fee for your project easement of $5 per acre, subject to a minimum of $450 per year.",none,,,,0.0
506,10,gemini-1.5-pro,Jurisdictional,Limited lease for offshore wind energy development,5.0,years,"For a limited lease, [you have] 5 years to conduct your approved activities, unless we renew the term under §§ 585.425 through 585.429.",none,,,,0.0
508,10,deepseek-chat,Spatial,All wind farm arrays,5,times rotor diameter,Minimum spacing between turbines must be 5 times the rotor diameter,none,,,,0.0
524,10,gpt-4o-mini,Safety,Operational phase,25000.0,USD,"Fatalities; Incidents that require the evacuation of person(s) from the facility to shore or to another offshore facility; Fires and explosions; Collisions that result in property or equipment damage greater than $25,000; Incidents involving structural damage to an OCS facility that is severe enough so that activities on the facility cannot continue until repairs are made.",none,,,,0.0
533,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,request,Request renewal of Alternate Use RUE.,exact,76,76,"Page 76: ""...f competitive offering. 5 1 submission 5 5 0 203(f) lessee or owner of facility submits decision to accept or reject proposals deemed acceptable by boem. 1 1 submission 1 1 0 210(c) request renewal of alternate use rue. 6 1 request 6 6 0 211; 216(b) provide financial assurance as boem determines in approving rue for an existing facility, including additional security if required. 1 1 submission 1 1 0...""",1.0
654,10,gemini-1.5-pro,Environmental,Gulf of Mexico west of 87.5° west longitude (western Gulf of Mexico),87.5,degrees west longitude,include in your plan any information required for BOEM to make the appropriate air quality determinations for your project,none,,,,0.0
732,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,request,"Submit request for assignment of an alternate use RUE for an existing facility, including all required information.",none,,,,0.0
741,10,gpt-4o-mini,Jurisdictional,Project development phase.,50.0,hours,"Submit revised or modified COPs, including project easements, and all required additional information.",none,,,,0.0
798,10,gemini-2.5-pro,Spatial,Lease or grant area,5.0,years,BOEM may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activities.,none,,,,0.0
825,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,submission,Submit indication of competitive interest in response to Federal Register notice.,none,,,,0.0
910,10,gpt-4o-mini,Technical,Site-specific studies for damage evaluation,110.0,hours,"Conduct and, if required, pay for, site-specific study to evaluate cause of harm or damage; and submit copies of study and results, in format specified.",none,,,,0.0
975,10,gemini-2.5-pro,Jurisdictional,Projects located in the Gulf of Mexico west of 87.5° west longitude (western Gulf of Mexico),87.5,° west longitude,include in your plan any information required for BOEM to make the appropriate air quality determinations for your project.,none,,,,0.0
978,10,gemini-2.5-flash,Jurisdictional,Commercial lease,3.0,dollars per acre per year,"The rent for a commercial lease is $3 per acre per year, unless otherwise established in the Final Sale Notice or lease.",none,,,,0.0
1026,10,gpt-4o-mini,Financial,Limited lease,3.0,dollars per acre per year,"The rent for a limited lease is $3 per acre per year, unless otherwise established in the Final Sale Notice and your lease instrument.",none,,,,0.0
1038,10,gpt-4o-mini,Spatial,Bottom disturbances,500.0,feet,"Changes in the locations of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations.",none,,,,0.0
1039,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,request,"Submit request to BOEM for an alternate use RUE, including all required information/modifications.",none,,,,0.0
1075,10,gpt-4o-mini,Spatial,Project easement,200.0,feet,A project easement may include off-lease areas that do not exceed 200 feet (61 meters) in width.,none,,,,0.0
1083,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,submission,Submit description of proposed activities and required information in response to Federal Register notice of competitive offering.,none,,,,0.0
1104,10,deepseek-chat,Environmental,North Sea Exclusive Economic Zone,500,meters,All wind farm developments must maintain a minimum 500m buffer zone around known marine protected areas,none,,,,0.0
1155,10,deepseek-chat,Spatial,All North Sea wind farms,1,kilometers,Minimum 1 km spacing required between turbines,none,,,,0.0
1176,10,gpt-4o-mini,Temporal,Limited lease preliminary term,12.0,months,Each limited lease has a preliminary term of 12 months to submit a GAP.,none,,,,0.0
1185,10,deepseek-chat,Spatial,U.S. Exclusive Economic Zone (EEZ),15,nautical miles,No construction within 15 nautical miles of designated marine protected areas.,none,,,,0.0
1202,10,gpt-4o-mini,Jurisdictional,Coastline proximity to project area,15.0,miles,A State is not eligible for revenue sharing if all parts of that State's coastline are more than 15 miles from the announced geographic center of the qualified project area.,none,,,,0.0
1203,10,gemini-1.5-pro,Jurisdictional,Commercial lease,6.0,months,"If you intend to continue your commercial lease with an operations term, you must submit a COP, or a FERC license application, at least 6 months before the end of your site assessment term.",none,,,,0.0
1260,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf (OCS),5.0,years,"If BSEE determines that the circumstances giving rise to a suspension ordered under § 285.417 cannot be resolved within 5 years, the Secretary may initiate cancellation of the lease or grant.",none,,,,0.0
1393,10,gpt-4o-mini,Technical,"Commercial lease, operations term",6.0,months,"You must submit a COP, or a FERC license application, at least 6 months before the end of your site assessment term.",none,,,,0.0
1488,10,deepseek-chat,Environmental,Offshore wind lease areas in North Atlantic,10,percent,Project must demonstrate less than 10% risk of significant impact on marine mammal migration routes,none,,,,0.0
1497,10,gemini-2.5-pro,Environmental,"Projects located anywhere on the OCS (Outer Continental Shelf), except for the Gulf of Mexico west of 87.5° west longitude",55.0,part (of 40 CFR),follow the appropriate implementing regulations as promulgated by the EPA under 40 CFR part 55.,none,,,,0.0
1608,10,deepseek-chat,Safety,All offshore wind turbines,22,meters,Minimum clearance of 22 meters must be maintained between lowest blade tip and mean high water,none,,,,0.0
1653,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,submission,"Provide financial assurance as BOEM determines in approving RUE for an existing facility, including additional security if required.",none,,,,0.0
1692,10,gpt-4o-mini,Jurisdictional,Project development phase.,50.0,hours,Submit revised or modified SAPs and required additional information.,none,,,,0.0
1728,10,gemini-2.5-pro,Safety,Incidents on Outer Continental Shelf (OCS) leases,15.0,days,"For any incident covered under § 285.831, you must submit a written report within 15 days after the incident to BSEE.",none,,,,0.0
1735,10,gpt-4o-mini,Cultural,Archaeological resources,3.0,notice,Notify BSEE of archaeological resource within 72 hours of discovery.,none,,,,0.0
1762,10,gpt-4o-mini,Technical,Decommissioning phase,60.0,days,"Within 60 days after removing a facility, verify to BSEE that site is cleared.",none,,,,0.0
1810,10,gpt-4o-mini,Jurisdictional,"Limited lease or grant, operational phase",180.0,days,"Request lease or grant renewal no later than 180 days before termination date of your limited lease or grant, or no later than 2 years before termination date of operations term of commercial lease.",none,,,,0.0
1914,10,deepseek-chat,Safety,All offshore turbines,22,meters,Minimum clearance of 22 meters between lowest blade tip and mean high water,none,,,,0.0
1977,10,gemini-1.5-pro,Technical,Decommissioning of offshore facilities,60.0,days,"Within 60 days after you remove a facility, you must verify to BSEE that you have cleared the site.",none,,,,0.0
1990,10,gemini-2.5-pro,Jurisdictional,Requests for lease or grant suspension.,90.0,days,You must submit a written request to BOEM [for a lease or grant suspension]... no later than 90 days prior to the expiration of your appropriate lease or grant term.,none,,,,0.0
2019,10,gpt-4o-mini,Jurisdictional,Geographic eligibility for coastal states.,15.0,miles,Eligible State means a coastal State having a coastline (measured from the nearest point) no more than 15 miles from the geographic center of a qualified project area.,none,,,,0.0
2032,10,gemini-1.5-pro,Financial,Commercial lease for offshore wind energy projects,100000.0,USD,"You meet the financial assurance requirements under this subpart if your designated lease operator provides a $100,000 minimum, lease-specific bond or other approved financial assurance that guarantees compliance with all terms and conditions of the lease.",none,,,,0.0
2049,10,gpt-4o-mini,Technical,Facility design assessment,100.0,hours,"CVA conducts independent assessment of the facility design and submits copies of all reports/certifications to lessee or grant holder and BSEE - interim reports if required, in format specified.",none,,,,0.0
2088,10,claude-3-haiku-20240307,Spatial,Offshore wind farm projects,500.0,feet,"Changes in the locations of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations",none,,,,0.0
2122,10,gpt-4o-mini,Safety,"Cable, pipeline, or facility affected by environmental or other conditions.",30.0,days,Submit a plan of corrective action to BSEE within 30 days of the discovery of the adverse effect.,none,,,,0.0
2123,10,gpt-4o-mini,Technical,Modifications notification,1.0,notice,Notify BSEE if modifications identified by CVA/project engineer are accepted.,none,,,,0.0
2137,10,gpt-4o-mini,Financial,Commercial lease areas for offshore wind farms.,3.0,dollars per acre per year,The rent for a commercial lease is $3 per acre per year.,none,,,,0.0
2173,10,gemini-2.5-flash,Spatial,Right-of-Way (ROW) grant corridors for cables or pipelines,200.0,feet,"An ROW grant corridor for a cable or pipeline must be 200 feet (61 meters) in width, centered on the cable or pipeline, unless safety and environmental factors during construction and maintenance require a greater width.",none,,,,0.0
2204,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf (OCS) Leasing,12.0,bids,"Submit bid, payments, and required information in response to Federal Register Final Sale Notice.",none,,,,0.0
2223,10,deepseek-chat,Safety,All UK offshore wind farms,22,meters,Minimum clearance of 22 meters must be maintained between lowest blade tip and mean high water spring tide level,none,,,,0.0
2227,10,gpt-4o-mini,Technical,Location plat for proposed wind farm projects.,100.0,feet,"Your plat must be drawn to a scale of 1 inch equals 100 feet and include the coordinates of the lease, ROW grant, or RUE grant block boundary lines.",none,,,,0.0
2270,10,gemini-1.5-pro,Technical,Offshore wind farm construction,30.0,days,You must notify BSEE in writing no later than 30 days after completion of construction and installation activities under a Fabrication and Installation Report.,none,,,,0.0
2346,10,deepseek-chat,Environmental,North Sea Exclusive Economic Zone (EEZ),1,km,All turbines must maintain a minimum clearance of 1 km from identified marine mammal migratory routes.,none,,,,0.0
2353,10,gpt-4o-mini,Spatial,Offshore wind farm structures and their anchoring systems.,500.0,feet,"Changes in the location of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations.",none,,,,0.0
2431,10,gpt-4o-mini,Spatial,ROW grant for cables and pipelines,200.0,feet,"An ROW grant is 200 feet (61 meters) in width, centered on the cable or pipeline, unless safety and environmental factors during construction and maintenance of the associated cable or pipeline require a greater width.",none,,,,0.0
2555,10,gpt-4o-mini,Jurisdictional,Operational phase.,30.0,hours,Submit annual report summarizing findings from site assessment activities.,none,,,,0.0
2567,10,gemini-1.5-pro,Spatial,ROW grant for cables and pipelines,200.0,feet,"An ROW grant is 200 feet (61 meters) in width, centered on the cable or pipeline, unless safety and environmental factors during construction and maintenance require a greater width.",none,,,,0.0
2709,10,gpt-4o-mini,Jurisdictional,Lease execution,10.0,business days,We may extend the 10 business day time period for executing and returning the lease if we determine the delay to be caused by events beyond your control.,none,,,,0.0
2742,10,gemini-1.5-pro,Jurisdictional,Lease renewal for commercial leases,2.0,years,You must request a renewal from BOEM no later than 2 years before the termination date of the operations term of your commercial lease.,none,,,,0.0
2783,10,gpt-4o-mini,Financial,Operational phase,5.0,dollars per acre per year,"If you have a project easement, the rent is the greater of $5 per acre per year or $450 per year, due when operations term for associated lease starts, then annually.",none,,,,0.0
2895,10,deepseek-chat,Spatial,U.S. federal waters,1,nautical mile,Maintain a minimum clearance of 1 nautical mile from shipping lanes,none,,,,0.0
2900,10,deepseek-chat,Environmental,North Sea offshore wind projects,500,meters,All wind turbines must maintain a minimum distance of 500 meters from known marine mammal migration routes.,none,,,,0.0
2905,10,gemini-1.5-pro,Jurisdictional,Offshore wind farm lease holders,120.0,days,"You must notify BOEM in writing of any merger, name change, or change of business form.",none,,,,0.0
2991,10,gpt-4o-mini,Jurisdictional,Lease issuance process,3.0,copies,"If we issue you a lease, we will send you a notice with 3 copies of the lease form.",none,,,,0.0
3003,10,gpt-4o-mini,Jurisdictional,State and local governments coordination with BOEM.,2.0,agreements,State and local governments enter into task force or joint planning or coordination agreement with BOEM.,none,,,,0.0
3021,10,gpt-4o-mini,Jurisdictional,Eligible coastal States and qualified project areas.,27.0,percent,BOEM will distribute among the eligible coastal States 27 percent of the following revenues derived from qualified projects.,none,,,,0.0
3128,10,gemini-1.5-pro,Technical,Offshore wind farm construction,30.0,days,You must notify BSEE in writing no later than 30 days after commencing activities associated with the placement of facilities on the lease area under a Fabrication and Installation Report.,none,,,,0.0
3135,10,claude-3-haiku-20240307,Financial,Commercial lease or assignment of an existing commercial lease,100000.0,USD,"A $100,000 minimum, lease-specific financial assurance.",exact,267,267,"Page 267: ""...s for each stage of your commercial lease are as follows: before boem will . . . you must provide . . . (1) issue a commercial lease or approve an assignment of an existing commercial lease a $100,000 minimum, lease-specific financial assurance. (2) approve your sap a supplemental bond or other financial assurance, in an amount determined by boem, if upon reviewing your sap, boem determines that a supplemental bond is required in addition...""",1.0
3195,10,gemini-1.5-pro,Spatial,Anchoring and mooring systems for offshore wind farm facilities,500.0,feet,"Changes in the location of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations",none,,,,0.0
3197,10,gemini-1.5-pro,Jurisdictional,Lease or grant termination,6.0,months,"After your lease or grant terminates, you must: (1) Make all payments due; and (2) Perform any other outstanding obligations under the lease or grant within 6 months.",none,,,,0.0
3209,10,gpt-4o-mini,Technical,Facilities and obstructions on the lease or grant.,2.0,years,"Within 2 years following termination of a lease or grant, you must remove or decommission all facilities, projects, cables, pipelines, and obstructions.",none,,,,0.0
3284,10,gemini-1.5-pro,Jurisdictional,Project easement,5.0,$/acre/year,Rent: Greater of $5 per acre per year or $450 per year,none,,,,0.0
3344,10,gpt-4o-mini,Jurisdictional,Lease or grant compliance,30.0,days,You remained in violation of the terms and conditions of any lease or grant issued under the OCS Lands Act for a period extending longer than 30 days.,none,,,,0.0
3452,10,gpt-4o-mini,Jurisdictional,Lease or grant termination,6.0,months,"After your lease or grant terminates, you must make all payments due and perform any other outstanding obligations under the lease or grant within 6 months.",none,,,,0.0
3473,10,gpt-4o-mini,Jurisdictional,Affected area outside the corridor of a 200-foot width centered on the cable or pipeline.,5.0,dollars per acre per year,"You must pay ONRR, under the regulations at 30 CFR part 1218, a rent of: (1) $5 per acre per year; or (2) A minimum of $450 per year.",none,,,,0.0
3546,10,gpt-4o-mini,Jurisdictional,Project development phase.,1.0,submission,"Submit copy of SAP or GAP consistency certification and supporting documentation, including noncompetitive leases.",none,,,,0.0
3569,10,deepseek-chat,Safety,North Sea operations,30,minutes,All personnel transfer vessels must maintain radio contact with onshore control every 30 minutes during operations,none,,,,0.0
3654,10,gemini-1.5-pro,Financial,Lease or grant for offshore wind energy development,7.0,years,"Surety remains responsible and BOEM will retain any financial assurance until 7 years after the lease ends, or a longer period as necessary to complete any appeals or judicial litigation related to your bonded obligation, or for BOEM to determine that all of your obligations under the lease or grant have been satisfied.",none,,,,0.0
3672,10,gpt-4o-mini,Jurisdictional,Renewal request timeline for commercial leases,2.0,years,You must request a renewal from BOEM: No later than 2 years before the termination date of the operations term of your commercial lease.,none,,,,0.0
3719,10,deepseek-chat,Environmental,North Sea installations,500,meters,Turbine foundations must avoid coral reefs by a minimum buffer of 500 meters.,none,,,,0.0
3764,10,gemini-1.5-pro,Jurisdictional,Placement of facilities on lease area,30.0,days,Notify BSEE in writing no later than 30 days after commencing activities associated with placement of facilities on lease area.,none,,,,0.0
3843,10,gemini-1.5-pro,Jurisdictional,All ROW grants and RUE grants,70.0,$/statute mile,"Initial Rent: $70 per statute mile, and the greater of $5 per acre per year or $450 per year",none,,,,0.0
3850,10,gemini-1.5-pro,Technical,ROW or RUE grant application,12.0,months,Each ROW or RUE grant will have a preliminary term of 12 months from the date of issuance of the ROW or RUE grant within which to submit a GAP.,none,,,,0.0
3918,10,gemini-1.5-pro,Jurisdictional,Commercial lease issuance or assignment,100000.0,$,"Provide a $100,000 minimum, lease-specific financial assurance before BOEM will issue a commercial lease or approve an assignment of an existing commercial lease.",none,,,,0.0
3958,10,deepseek-chat,Spatial,Offshore wind farms in UK waters,1,nautical miles,Minimum 1 nautical mile separation between turbines,none,,,,0.0
3981,10,deepseek-chat,Safety,Offshore wind farm operational platforms,30,meters,Helicopter landing zones on offshore platforms must have a minimum clearance radius of 30 meters.,none,,,,0.0
3989,10,gemini-1.5-pro,Jurisdictional,Lease renewal for limited leases or grants,180.0,days,You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant.,none,,,,0.0
3993,10,deepseek-chat,Safety,Offshore wind substations in European waters,25,meters,Helicopter landing zones on offshore substations must have a minimum diameter of 25 meters.,none,,,,0.0
4033,10,deepseek-chat,Spatial,U.S. federal waters,1,nautical mile,Wind turbines must be spaced at least 1 nautical mile apart,none,,,,0.0
4103,10,deepseek-chat,Technical,Offshore structures in the Atlantic OCS,1000,year return period,"Wind turbine foundations must withstand a 1,000-year return period storm event.",none,,,,0.0
4110,10,gpt-4o-mini,Jurisdictional,Lease execution,2.0,leases,"Within 10 business days of receiving lease documents, execute lease; file financial assurance and supporting documentation—noncompetitive leases.",none,,,,0.0
4116,10,gpt-4o-mini,Financial,Grant issuance phase,70.0,dollars per statute mile,"All ROW grants and RUE grants have an initial rent of $70 per statute mile, and the greater of $5 per acre per year or $450 per year, due at grant issuance.",none,,,,0.0
4136,10,gpt-4o-mini,Jurisdictional,Lease execution and compliance with regulations,10.0,business days,"You will forfeit your deposit if you do not execute and return the lease within 10 business days of receipt, or otherwise fail to comply with applicable regulations or terms of the Final Sale Notice.",none,,,,0.0
4182,10,deepseek-chat,Technical,Offshore structures in the North Atlantic,100,years,Wind turbine foundations must withstand a 100-year return period storm event.,none,,,,0.0
4199,10,gemini-1.5-pro,Jurisdictional,Lease or grant for offshore wind energy development,72.0,hours,"If there is a change in the designated operator, you must provide written notice to BOEM and identify the new operator within 72 hours on a form approved by BOEM.",none,,,,0.0
4265,10,deepseek-chat,Technical,Offshore installations in water depths >30m,1000,year return period,"Substation foundations must withstand a 1,000-year return period wave event",none,,,,0.0
4341,10,gpt-4o-mini,Jurisdictional,Lease acquisition,2.0,requests,Submit unsolicited request and acquisition fee for a commercial or limited lease.,none,,,,0.0
4372,10,gemini-1.5-pro,Jurisdictional,RUE grant,5.0,$/acre/year,"For each RUE grant BOEM approves under subpart C of this part, you must pay ONRR, under the regulations at 30 CFR part 1218, a rent of: (1) $5 per acre per year; or (2) A minimum of $450 per year.",none,,,,0.0
4474,10,deepseek-chat,Safety,Offshore wind turbine platforms,25,meters,Helicopter landing zones on offshore wind installations must have a minimum diameter of 25 meters.,none,,,,0.0
4485,10,deepseek-chat,Environmental,North Sea Exclusive Economic Zone,2,km,All turbine installations must maintain a minimum 2km buffer from identified marine mammal migratory routes,none,,,,0.0
4524,10,gpt-4o-mini,Environmental,Surveys for boundaries and avoidance distances,15.0,survey/report,"If required, conduct additional surveys to define boundaries and avoidance distances and submit report.",none,,,,0.0
4526,10,deepseek-chat,Technical,All offshore wind turbines in North Sea,70,m/s,Turbine towers must withstand 1-minute sustained winds of 70 m/s,none,,,,0.0
4540,10,gemini-1.5-pro,Financial,Commercial lease for offshore wind energy projects,5.0,years,The first CPI-U-based adjustment can be made no earlier than the 5-year anniversary of the adoption of this rule. Subsequent CPI-U-based adjustments may be made every 5 years thereafter.,none,,,,0.0
4586,10,gpt-4o-mini,Financial,Financial assurance for lease agreements in offshore wind projects.,100000.0,USD,"Execute and provide $100,000 minimum lease-specific bond or other approved security; or increase bond level if required.",none,,,,0.0
4620,10,deepseek-chat,Spatial,All offshore wind projects in territorial waters,1,km,Wind turbines must maintain a minimum distance of 1 km from shipping lanes.,none,,,,0.0
4623,10,gemini-1.5-pro,Technical,Decommissioning of offshore facilities,15.0,feet,"You must remove all facilities to a depth of 15 feet below the mudline, unless otherwise authorized by BSEE.",none,,,,0.0
4691,10,gpt-4o-mini,Jurisdictional,Lease execution,3.0,copies,"Within 10 business days, execute 3 copies of lease form and return to BOEM with required payments, including evidence that agent is authorized to act for bidder.",none,,,,0.0
4693,10,gpt-4o-mini,Technical,Air quality modeling for wind farm,5.0,reports/information,"Determine appropriate air quality modeling protocol, conduct air quality modeling, and submit 3 copies of air quality modeling report and 3 sets of digital files as supporting information to plans.",none,,,,0.0
4696,10,gemini-2.5-pro,Jurisdictional,Lease or grant holder in a state of non-compliance.,10.0,business days,"To avoid forfeiture, you must, within 10 business days, agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so.",none,,,,0.0
4701,10,gemini-2.5-pro,Jurisdictional,Decommissioning phase,60.0,days,You must submit a decommissioning notice at least 60 days before you plan to begin decommissioning activities.,none,,,,0.0
4718,10,gpt-4o-mini,Safety,Operational phase,3.0,business days,"If you provide an oral notification, you must submit a written confirmation of this notice within 3-business days.",none,,,,0.0
4727,10,gpt-4o-mini,Jurisdictional,Renewal request timeline for limited leases,180.0,days,You must request a renewal from BOEM: No later than 180 days before the termination date of your limited lease or grant.,none,,,,0.0
4790,10,gemini-2.5-pro,Jurisdictional,"Commercial leases, operational phase (from start of commercial generation)",0.02,rate,"Unless BOEM specifies otherwise, in the operating fee rate, “r” is 0.02 for each year the operating fee applies when you begin commercial generation of electricity.",none,,,,0.0
4795,10,deepseek-chat,Technical,Fixed-bottom offshore wind turbines,50,years,Wind turbine foundations must withstand wave forces of up to 50-year storm conditions.,none,,,,0.0
4811,10,gemini-1.5-pro,Jurisdictional,Lease Rent,45.0,days,"Within 45 days of receiving lease copies, submit rent and rent information.",none,,,,0.0
4861,10,gemini-2.5-pro,Jurisdictional,Surety providing financial assurance for a lease or grant in a state of non-compliance.,10.0,business days,"To avoid forfeiture, your surety must, within 10 business days, agree to and demonstrate that it will bring your lease or grant into compliance within the timeframe we prescribe, even if the cost of compliance exceeds the face amount of the bond.",none,,,,0.0
4864,10,deepseek-chat,Technical,Offshore substations in North Sea projects,16.5,meters,Substation platforms must withstand wave heights with a 100-year return period,none,,,,0.0
4893,10,gpt-4o-mini,Jurisdictional,Activities associated with the placement of facilities on the lease area.,30.0,days,"You must notify BSEE in writing of the following events, within the time periods provided.",none,,,,0.0
4911,10,deepseek-chat,Technical,International offshore wind projects,50,years,Offshore wind turbine foundations must be designed to withstand 50-year extreme wave loads.,none,,,,0.0
4913,10,gpt-4o-mini,Financial,Operational phase,3.0,dollars per acre per year,"All leases have a subsequent rent of $3 per acre per year, due annually.",none,,,,0.0
4914,10,gpt-4o-mini,Jurisdictional,Lease or grant obligations,7.0,years,"Your surety or collateral financial assurance will not be released until 7 years after the lease ends, or a longer period as necessary to complete any appeals or judicial litigation related to your bonded obligation.",none,,,,0.0
4945,10,gemini-1.5-pro,Jurisdictional,Commercial operations,5.0,business days,"You must notify the BSEE, within 5 business days, any time you cease commercial operations, without an approved suspension, under your approved COP.",none,,,,0.0
4963,10,gemini-1.5-pro,Jurisdictional,,120.0,days,"Notify BOEM in writing of merger, name change, or change of business form no later than 120 days after earliest of either the effective date or filing date.",none,,,,0.0
5021,10,deepseek-chat,Technical,All offshore installations in >30m water depth,16.2,meters,Substation platforms shall withstand wave heights with 100-year return period,none,,,,0.0
5025,10,deepseek-chat,Technical,North Sea installations,25,meters,Turbine foundations must withstand wave heights of at least 25 meters,none,,,,0.0
5030,10,gemini-1.5-pro,Jurisdictional,Lease or grant,10.0,business days,"Within 10 business days following BOEM notice, lessee, grant holder, or surety agrees to and demonstrates to BOEM that lease will be brought into compliance.",none,,,,0.0
5066,10,gemini-1.5-pro,Technical,Electricity generation reporting,10.0,days,"Ten days after the anniversary date of when you began to commercially generate electricity, you must submit to BOEM documentation of the gross annual generation of electricity produced by the generating facility on the lease.",none,,,,0.0
5108,10,gpt-4o-mini,Jurisdictional,Commercial operations commencement.,7.0,days,At least 7 days before commencing commercial operations.,exact,122,122,"Page 122: ""...the lease area under a fabrication and installation report. (b) no later than 30 days after completion of construction and installation activities under a fabrication and installation report. (c) at least 7 days before commencing commercial operations. § 285.637 when may i commence commercial operations on my commercial lease? if you are conducting activities on your lease that: (a) do not require a ferc license (e.g., wind), then you may commen...""",1.0
5203,10,deepseek-chat,Safety,Offshore wind turbines,22,meters,Maintain a minimum clearance of 22 meters above mean high water to avoid ship collisions,none,,,,0.0
5211,10,gemini-1.5-pro,Jurisdictional,Commercial lease for offshore wind energy development,45.0,days,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM.,none,,,,0.0
5219,10,gpt-4o-mini,Jurisdictional,Lease acquisition,4.0,comments,Submit comments in response to Federal Register notice re interest of unsolicited request for a lease.,none,,,,0.0
5227,10,gemini-1.5-pro,Spatial,"Offshore structures, anchoring systems",500.0,feet,"You must submit a revision request for changes in the location of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations.",none,,,,0.0
5234,10,gemini-2.5-pro,Jurisdictional,"Limited leases, ROW grants, and RUE grants prior to issuance.",300000.0,$,"Before a limited lease, ROW grant, or RUE grant is issued, the applicant or a proposed assignee must guarantee compliance with all terms and conditions by providing either a minimum lease- or grant-specific bond or another approved financial assurance instrument.",none,,,,0.0
5248,10,gpt-4o-mini,Financial,Lease issuance phase,3.0,dollars per acre per year,"All leases have an initial rent of $3 per acre per year, due 45 days after lease issuance.",none,,,,0.0
5311,10,deepseek-chat,Technical,North Sea installations,17.5,meters,Wind turbines must withstand 50-year extreme wave conditions,none,,,,0.0
5406,10,gemini-1.5-pro,Technical,Timing of financial assurance adjustments,5.0,years,The first CPI-U-based adjustment can be made no earlier than the 5-year anniversary of the adoption of this rule.,none,,,,0.0
5420,10,gemini-1.5-pro,Technical,Lease or grant activities,5.0,years,Evidence that shows business stability based on 5 years of continuous operation and generation of renewable energy on the OCS or onshore,none,,,,0.0
