row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
1524,34,gpt-4o-mini,Safety,Operational phase,10.0,knots,"The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: All vessels 19.8 m (65 ft) in length or greater, traveling and operating within the project area and between the staging area/port and the project area from November 1 through April 30.",False,,,
1556,34,gemini-1.5-pro,Environmental,Offshore wind farm construction (pile driving),60.0,minutes,The Lessee must ensure that pile driving operations do not begin until the PSO has reported the exclusion zone clear of all marine mammals and sea turtles for at least 60 minutes.,False,,,
1565,34,gemini-1.5-pro,Environmental,All vessels,500.0,meters,"The Lessee must ensure all vessels maintain a separation distance of 500 meters (1,640 ft) or greater from any sighted North Atlantic right whale.",False,,,
1604,34,gemini-1.5-pro,Technical,Meteorological tower scour protection - initial inspection,12.0,months,The first inspection will be conducted within 12 months of installation.,False,,,
1793,34,gemini-1.5-pro,Technical,Fabrication and installation reporting,90.0,days,The Lessee must submit to the Lessor within 90 days after installation of the facility a narrative report that contains a summary of the fabrication and deployment process,False,,,
1890,34,gemini-1.5-pro,Spatial,Pile driving activities,7.0,km,"The Lessee must ensure the establishment of a default 7 km (22,966 ft) radius exclusion zone for marine mammals and sea turtles around each pile driving site.",False,,,
2004,34,gpt-4o-mini,Environmental,Exclusion zone during pile driving activities,60.0,minutes,Subsequent restart of the pile driving equipment may only occur following clearance of the exclusion zone of any marine mammal or sea turtle for at least 60 minutes.,False,,,
2264,34,gpt-4o-mini,Technical,Pile driving activities during construction phase.,24.0,hours,The Lessee must ensure that the results of acoustic monitoring of the first pile are submitted to the Lessor and NMFS within 24 hours of installation.,False,,,
2277,34,gemini-1.5-pro,Environmental,Pile driving activities during construction,60.0,minutes,Subsequent restart of the pile driving equipment may only occur following clearance of the exclusion zone of any marine mammal or sea turtle for at least 60 minutes.,False,,,
2282,34,gemini-1.5-pro,Environmental,Meteorological tower foundation construction,15.0,calendar days,"If additional PSO approvals are required after this time, the Lessee must provide additional résumés to the Lessor fifteen (15) calendar days prior to each PSO’s start date.",False,,,
2416,34,gemini-1.5-pro,Environmental,Meteorological tower foundation construction,45.0,calendar days,"For PSOs not currently approved by NMFS, the Lessee must provide to the Lessor PSO résumés no later than forty-five (45) calendar days prior to the scheduled start of meteorological tower foundation construction activity.",False,,,
2466,34,claude-3-haiku-20240307,Environmental,Offshore wind farm vessels,50.0,meters,The Lessee must ensure all vessels maintain a separation distance of 50 meters (164 ft) or greater from any sighted sea turtle.,False,,,
2490,34,gemini-1.5-pro,Environmental,Pile driving activities,7.0,km,"At least two additional PSOs on simultaneous watch must be located on a separate vessel navigating approximately 4-5 km (13,123- 16,404 ft) around the pile hammer, and will be responsible for monitoring 360° out to 7 km (22,966 ft) from the sound source.",False,,,
2678,34,gemini-1.5-pro,Environmental,Offshore wind farm construction (pile driving),1.0,μPa RMS,"Sound pressure levels must be measured in the field in dB re 1 μPa RMS, and reported by the Lessee to the Lessor and NMFS.",False,,,
2908,34,gpt-4o-mini,Technical,Pile driving activities during construction phase.,24.0,hours,The Lessee must notify the Lessor and NMFS within 24 hours of receiving any acoustic monitoring results which indicate that any exclusion or monitoring zones do not cover the cumulative sound exposure distances for PTS during pile driving activities.,False,,,
2934,34,gemini-1.5-pro,Environmental,Vessel operation around sea turtles,50.0,meters,The Lessee must ensure all vessels maintain a separation distance of 50 meters (164 ft) or greater from any sighted sea turtle.,False,,,
2978,34,gpt-4o-mini,Safety,Exclusion zone clearance before pile driving,60.0,minutes,The Lessee must ensure that pile driving operations do not begin until the PSO has reported the exclusion zone clear of all marine mammals and sea turtles for at least 60 minutes.,False,,,
3030,34,gemini-1.5-pro,Technical,Post-construction reporting,120.0,calendar days,provide to the Lessor and NMFS a final technical report within 120 calendar days of completion of the pile driving and other construction activities,False,,,
3143,34,gemini-1.5-pro,Environmental,Offshore wind farm construction and operation,24.0,hours,"report any observed takes of listed marine mammals, sea turtles, or sturgeon resulting in injury or mortality within 24 hours to the Lessor and NMFS",False,,,
3223,34,gemini-1.5-pro,Technical,Protected species monitoring,360.0,degrees,The Lessee must ensure that monitoring occurs from the highest available vantage point on the associated operational platform and allows for 360° scanning.,False,,,
3280,34,gemini-1.5-pro,Environmental,Offshore wind farm construction and operation,48.0,hours,"report any observations concerning any impacts on ESA-listed marine mammals, sea turtles, or sturgeon to the Lessor and NMFS’ Northeast Region Stranding Hotline within 48 hours",False,,,
3298,34,gpt-4o-mini,Safety,Exclusion zone during pile driving operations,60.0,minutes,The Lessee must ensure that visual monitoring of the exclusion zone begins no less than 60 minutes prior to the start of any pile driving operations and continues for at least 60 minutes after pile driving operations cease.,False,,,
3356,34,gpt-4o-mini,Safety,Operational phase,500.0,meters,"If underway, any vessel must steer a course away from the North Atlantic right whale at 10 knots (18.5 km/h) or less until the 500 meter (1,640 ft) minimum separation distance has been established.",False,,,
3375,34,gemini-1.5-pro,Environmental,Offshore wind farm construction (pile driving),60.0,minutes,"The Lessee must ensure that visual monitoring of the exclusion zone begins no less than 60 minutes prior to the start of any pile driving operations and continues for at least 60 minutes after pile driving operations cease, unless sighting conditions do not allow observation of the sea surface (e.g., fog, rain, darkness).",False,,,
3470,34,gemini-1.5-pro,Technical,"Pile driving activities, Exclusion/Monitoring Zones",24.0,hours,notify the Lessor and NMFS within 24 hours of receiving any acoustic monitoring results which indicate that any exclusion or monitoring zones do not cover the cumulative sound exposure distances for PTS during pile driving activities,False,,,
3471,34,gpt-4o-mini,Safety,Operational phase,50.0,meters,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean or pinniped.,False,,,
3514,34,gemini-1.5-pro,Environmental,Offshore wind farm construction (pile driving),50.0,,Any new exclusion zone radius must be based on the average SEL measurement (SEL 50) obtained from field verification.,False,,,
3552,34,gemini-1.5-pro,Environmental,Offshore wind farm construction and operation,24.0,hours,"sightings of any injured or dead protected species (e.g., marine mammals, sea turtles, or sturgeon) are reported to the Lessor, NMFS, and NMFS Northeast Regional Stranding Hotline within 24 hours of sighting, regardless of how the injury or death was caused",False,,,
3816,34,gpt-4o-mini,Safety,Operational phase,500.0,meters,"The Lessee must ensure all vessels maintain a separation distance of 500 meters (1,640 ft) or greater from any sighted North Atlantic right whale.",False,,,
3818,34,gpt-4o-mini,Safety,Operational phase,100.0,meters,"If a North Atlantic right whale is sighted within 100 meters (328 ft) of an underway vessel, the vessel operator must immediately reduce speed and promptly shift the engine to neutral.",False,,,
3983,34,gemini-1.5-pro,Technical,Pile driving activities,24.0,hours,the results of acoustic monitoring of the first pile are submitted to the Lessor and NMFS within 24 hours of installation,False,,,
4025,34,gemini-1.5-pro,Spatial,Pile driving activities,7.0,km,"Any pile driving activities outside of the DMA are required to remain at a 7 km (22,966 ft) distance from the DMA boundaries.",False,,,
4026,34,gpt-4o-mini,Environmental,Pile driving activities,7.0,km,"The Lessee must ensure the establishment of a default 7 km (22,966 ft) radius exclusion zone for marine mammals and sea turtles around each pile driving site.",False,,,
4037,34,gpt-4o-mini,Safety,Operational phase,10.0,knots,The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: All vessels operating in any Dynamic Management Area (DMA).,False,,,
4064,34,gpt-4o-mini,Environmental,All activities involving protected species during construction and operation phases.,24.0,hours,"The Lessee must ensure that sightings of any injured or dead protected species (e.g., marine mammals, sea turtles, or sturgeon) are reported to the Lessor, NMFS, and NMFS Northeast Regional Stranding Hotline within 24 hours of sighting.",False,,,
4104,34,gemini-1.5-pro,Technical,Pile driving activities during construction,60.0,minutes,"The Lessee must ensure that restart of the pile driving activity commences only after clearance of the exclusion zone (per Section 1.8.12) and implementation of soft start procedures (per Section 1.8.13) in the following circumstances: 1.8.15.1 If visual surveys are not able to be continued diligently during any pause in pile driving activity due to diminished lighting or weather conditions (e.g., darkness, rain, fog or sea state). 1.8.15.2 If pile driving activity shuts down for reasons other than encroachment into the exclusion zone by a non-delphinoid cetacean or sea turtle (for instance, mechanical or electronic failure), resulting in the cessation of the sound source for a period of 60 minutes or more.",False,,,
4113,34,gemini-1.5-pro,Environmental,Vessel operations within 500 meters of North Atlantic right whales,500.0,meters,"If underway, any vessel must steer a course away from the North Atlantic right whale at 10 knots (18.5 km/h) or less until the 500 meter (1,640 ft) minimum separation distance has been established (unless 1.3.2.2 below applies).",False,,,
4408,34,gemini-1.5-pro,Environmental,Vessel operations near delphinoid cetaceans and pinnipeds,50.0,m,"The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean or pinniped, except if the delphinoid and/or pinniped approach the vessel",False,,,
4459,34,gpt-4o-mini,Safety,Operational phase,100.0,meters,"If a vessel is stationary, the vessel operator must not engage engines until the North Atlantic right whale has moved beyond 100 meters (328 ft).",False,,,
4563,34,gemini-1.5-pro,Environmental,Vessel operations within 100 meters of North Atlantic right whales,100.0,meters,"If a North Atlantic right whale is sighted within 100 meters (328 ft) of an underway vessel, the vessel operator must immediately reduce speed and promptly shift the engine to neutral.",False,,,
4631,34,gpt-4o-mini,Environmental,All activities involving protected species during construction and operation phases.,48.0,hours,"The Lessee must report any observations concerning any impacts on ESA-listed marine mammals, sea turtles, or sturgeon to the Lessor and NMFS’ Northeast Region Stranding Hotline within 48 hours.",False,,,
4704,34,gpt-4o-mini,Technical,Meteorological tower,12.0,months,"As part of the required annual self-inspection plan, the Lessee must conduct scour inspections of the base of the meteorological tower.",False,,,
4866,34,gpt-4o-mini,Safety,Operational phase,100.0,meters,"If a vessel is stationary, the vessel must not engage engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft).",False,,,
4879,34,gpt-4o-mini,Environmental,All activities involving protected species during construction and operation phases.,24.0,hours,"The Lessee must report any observed takes of listed marine mammals, sea turtles, or sturgeon resulting in injury or mortality within 24 hours to the Lessor and NMFS.",False,,,
4987,34,gemini-1.5-pro,Safety,PSOs (Protected Species Observers) during construction,12.0,hours,PSOs must not work for more than 12 hours in a 24-hour period,False,,,
4995,34,gemini-1.5-pro,Safety,PSOs (Protected Species Observers) during construction,4.0,hours,"must not be on watch for more than 4 consecutive hours, with at least a 2-hour break after a 4-hour watch, unless a different schedule is approved by the Lessor",False,,,
5053,34,gemini-1.5-pro,Environmental,Vessel operations near non-delphinoid cetaceans,100.0,meters,The Lessee must ensure all vessels maintain a separation distance of 100 meters (328 ft) or greater from any sighted non-delphinoid cetacean.,False,,,
5084,34,gpt-4o-mini,Safety,Operational phase,100.0,meters,"If any non-delphinoid cetacean is sighted, the vessel underway must reduce speed and shift the engine to neutral, and must not engage the engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft).",False,,,
5122,34,gemini-1.5-pro,Environmental,Vessel operations near North Atlantic right whales,100.0,meters,The vessel operator must not engage the engines until the North Atlantic right whale has moved beyond 100 meters (328 ft).,False,,,
5212,34,gemini-1.5-pro,Environmental,Archaeological discovery reporting,72.0,hours,Notify the Lessor in writing via report to BOEM within 72 hours of its discovery,True,10,10,"Page 10: ""...e project area, the lessee must: 3.2.1.1.immediately halt seafloor/bottom-disturbing activities within the area of discovery; 3.2.1.2 notify the lessor within 24 hours of discovery; 3.2.1.3 notify the lessor in writing via report to boem within 72 hours of its discovery; 3.2.1.4 keep the location of the discovery confidential and take no action that may adversely affect the archaeological resource until the lessor conducts an evaluation and instructs the applic..."""
5284,34,gemini-1.5-pro,Environmental,Archaeological discovery notification,24.0,hours,Notify the Lessor within 24 hours of discovery,True,10,10,"Page 10: ""...ock), prehistoric artifacts, or relict landforms within the project area, the lessee must: 3.2.1.1.immediately halt seafloor/bottom-disturbing activities within the area of discovery; 3.2.1.2 notify the lessor within 24 hours of discovery; 3.2.1.3 notify the lessor in writing via report to boem within 72 hours of its discovery; 3.2.1.4 keep the location of the discovery confidential and take no action that may adversely affect..."""
5290,34,gemini-1.5-pro,Environmental,Stationary vessels near North Atlantic right whales,100.0,meters,"If a vessel is stationary, the vessel operator must not engage engines until the North Atlantic right whale has moved beyond 100 meters (328 ft).",False,,,
5548,34,gemini-1.5-pro,Environmental,"All vessels near mother/calf pairs, pods, or large assemblages of cetaceans",10.0,knots,"The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: When mother/calf pairs, pods, or large assemblages of cetaceans are observed near any vessel.",False,,,
5601,34,gemini-1.5-pro,Environmental,Vessel operations within 100 meters of non-delphinoid cetaceans,100.0,meters,"If any non-delphinoid cetacean is sighted, the vessel underway must reduce speed and shift the engine to neutral, and must not engage the engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft).",False,,,
5806,34,gemini-1.5-pro,Environmental,Stationary vessels near non-delphinoid cetaceans,100.0,meters,"If a vessel is stationary, the vessel must not engage engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft).",False,,,
5807,34,gpt-4o-mini,Safety,Pre-commencement and completion of pile driving activities,24.0,hours,"The Lessee must notify the Lessor and NMFS at least 24 hours prior to the initial commencement of pile driving activities, and again within 24 hours of the completion of all pile driving activities.",False,,,
5936,34,claude-3-haiku-20240307,Safety,All vessels conducting activities authorized under the SAP,500.0,meters,"The Lessee must ensure all vessels maintain a separation distance of 500 meters (1,640 ft) or greater from any sighted North Atlantic right whale.",False,,,
