rank_by_constraints,document_id,constraint_count,page_count,pdf_path,document_number,model_name,type_of_wind_farm,constraints_per_page,rank_by_constraints_new,rank_by_pages,rank_by_efficiency,normalized_constraint_rank,normalized_page_rank,normalized_efficiency_rank,composite_score,final_rank
43,30,4,5,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/30.pdf,,gemini-1.5-pro,Unspecified,0.8,43,1,8,0.8958333333333334,0.020833333333333332,0.16666666666666666,0.41458333333333336,14
5,23,152,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/23.pdf,30 CFR Part 585,deepseek-chat,Offshore,0.41530054644808745,5,43,17,0.10416666666666667,0.8958333333333334,0.3541666666666667,0.41666666666666663,15
38,24,7,12,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/24.pdf,185,gemini-1.5-pro,Offshore,0.5833333333333334,38,6,10,0.7916666666666666,0.125,0.20833333333333334,0.41666666666666663,16
20,37,28,72,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/37.pdf,,gemini-1.5-pro,Offshore,0.3888888888888889,20,23,18,0.4166666666666667,0.4791666666666667,0.375,0.42291666666666666,17
41,15,6,9,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/15.pdf,,gpt-4o-mini,Offshore,0.6666666666666666,41,4,9,0.8541666666666666,0.08333333333333333,0.1875,0.4229166666666667,18
8,48,73,235,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/48.pdf,,gpt-4o-mini,Offshore,0.31063829787234043,8,40,20,0.16666666666666666,0.8333333333333334,0.4166666666666667,0.44166666666666665,19
10,49,65,238,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/49.pdf,EWF-2023-001,deepseek-chat,Offshore,0.27310924369747897,10,41,22,0.20833333333333334,0.8541666666666666,0.4583333333333333,0.4770833333333333,20
18,5,37,142,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/5.pdf,EWF-2023-001,deepseek-chat,Offshore,0.2605633802816901,18,32,24,0.375,0.6666666666666666,0.5,0.5,21
23,42,21,82,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/42.pdf,7,gemini-1.5-pro,Offshore,0.25609756097560976,23,25,25,0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5041666666666667,22
6,20,142,661,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/20.pdf,NSW-REG-2023-004,deepseek-chat,Offshore,0.21482602118003025,6,48,26,0.125,1.0,0.5416666666666666,0.5125,23
36,45,8,27,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/45.pdf,EWF-2023-001,deepseek-chat,Offshore,0.2962962962962963,35,15,21,0.7291666666666666,0.3125,0.4375,0.5166666666666667,24
39,8,7,22,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/8.pdf,OWF-REG-2023-001,deepseek-chat,Offshore,0.3181818181818182,39,13,19,0.8125,0.2708333333333333,0.3958333333333333,0.5249999999999999,25
16,39,45,215,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/39.pdf,30 CFR Part 585,deepseek-chat,Offshore,0.20930232558139536,16,38,27,0.3333333333333333,0.7916666666666666,0.5625,0.5395833333333333,26
44,25,4,15,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/25.pdf,EWEA-2023-001,deepseek-chat,Offshore,0.26666666666666666,44,9,23,0.9166666666666666,0.1875,0.4791666666666667,0.5666666666666668,27
31,43,11,57,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/43.pdf,OWF-NS-2023-001,deepseek-chat,Offshore,0.19298245614035087,31,20,30,0.6458333333333334,0.4166666666666667,0.625,0.5708333333333333,28
25,12,17,94,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/12.pdf,,gemini-1.5-pro,Offshore,0.18085106382978725,25,27,31,0.5208333333333334,0.5625,0.6458333333333334,0.5708333333333333,29
9,11,73,454,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/11.pdf,OWF-REG-2023-001,deepseek-chat,Offshore,0.16079295154185022,9,46,34,0.1875,0.9583333333333334,0.7083333333333334,0.575,30
19,31,33,187,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/31.pdf,Ch. 5 – Pg. 2,gemini-1.5-pro,Onshore,0.17647058823529413,19,36,32,0.3958333333333333,0.75,0.6666666666666666,0.5833333333333333,31
47,41,1,5,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/41.pdf,NSOW-REG-2023-0042,deepseek-chat,Offshore,0.2,47,2,29,0.9791666666666666,0.041666666666666664,0.6041666666666666,0.5854166666666666,32
32,3,9,54,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/3.pdf,4.2.1,gemini-1.5-pro,Offshore,0.16666666666666666,32,19,33,0.6666666666666666,0.3958333333333333,0.6875,0.5916666666666667,33
45,14,3,15,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/14.pdf,5,gemini-1.5-pro,Offshore,0.2,45,8,28,0.9375,0.16666666666666666,0.5833333333333334,0.6000000000000001,34
30,9,11,79,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/9.pdf,NOW-2023-001,deepseek-chat,Offshore,0.13924050632911392,30,24,37,0.625,0.5,0.7708333333333334,0.63125,35
34,16,9,63,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/16.pdf,,gemini-1.5-pro,Offshore,0.14285714285714285,34,22,36,0.7083333333333334,0.4583333333333333,0.75,0.6458333333333333,36
17,32,42,311,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/32.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.13504823151125403,17,42,39,0.3541666666666667,0.875,0.8125,0.6479166666666667,37
46,38,1,10,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/38.pdf,,gemini-1.5-pro,Offshore,0.1,46,5,40,0.9583333333333334,0.10416666666666667,0.8333333333333334,0.6645833333333333,38
42,36,4,28,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/36.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.14285714285714285,42,17,35,0.875,0.3541666666666667,0.7291666666666666,0.6749999999999999,39
27,21,13,131,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/21.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.09923664122137404,28,30,41,0.5833333333333334,0.625,0.8541666666666666,0.6770833333333334,40
35,6,8,58,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/6.pdf,,gpt-4o-mini,Offshore,0.13793103448275862,37,21,38,0.7708333333333334,0.4375,0.7916666666666666,0.6770833333333334,41
22,17,21,224,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/17.pdf,78,gemini-1.5-pro,Offshore,0.09375,22,39,43,0.4583333333333333,0.8125,0.8958333333333334,0.6958333333333333,42
33,13,9,94,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/13.pdf,OWED-2023-001,deepseek-chat,Offshore,0.09574468085106383,33,26,42,0.6875,0.5416666666666666,0.875,0.7000000000000001,43
15,33,46,617,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/33.pdf,DOC-2023-001,deepseek-chat,Offshore,0.07455429497568881,15,47,46,0.3125,0.9791666666666666,0.9583333333333334,0.7062499999999999,44
29,4,12,133,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/4.pdf,,gpt-4o-mini,Offshore,0.09022556390977443,29,31,44,0.6041666666666666,0.6458333333333334,0.9166666666666666,0.7104166666666666,45
28,7,13,145,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/7.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.0896551724137931,27,33,45,0.5625,0.6875,0.9375,0.7124999999999999,46
48,46,1,16,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/46.pdf,OWED-2023-001,deepseek-chat,Offshore,0.0625,48,10,47,1.0,0.20833333333333334,0.9791666666666666,0.75625,47
37,47,8,180,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/47.pdf,NS-OWF-2023-001,deepseek-chat,Offshore,0.044444444444444446,36,35,48,0.75,0.7291666666666666,1.0,0.8187500000000001,48
