rank,document_id,constraint_count,page_count,pdf_path,document_number,model_name,type_of_wind_farm,constraints_per_page
31,9,11,79,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/9.pdf,NOW-2023-001,deepseek-chat,Offshore,0.13924050632911392
32,3,9,54,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/3.pdf,4.2.1,gemini-1.5-pro,Offshore,0.16666666666666666
33,16,9,63,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/16.pdf,,gemini-1.5-pro,Offshore,0.14285714285714285
34,13,9,94,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/13.pdf,OWED-2023-001,deepseek-chat,Offshore,0.09574468085106383
35,6,8,58,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/6.pdf,,gpt-4o-mini,Offshore,0.13793103448275862
36,47,8,180,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/47.pdf,NS-OWF-2023-001,deepseek-chat,Offshore,0.044444444444444446
37,45,8,27,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/45.pdf,EWF-2023-001,deepseek-chat,Offshore,0.2962962962962963
38,24,7,12,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/24.pdf,185,gemini-1.5-pro,Offshore,0.5833333333333334
39,8,7,22,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/8.pdf,OWF-REG-2023-001,deepseek-chat,Offshore,0.3181818181818182
40,35,6,7,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/35.pdf,"Vol. 89, No. 204",gemini-1.5-pro,Offshore,0.8571428571428571
41,15,6,9,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/15.pdf,,gpt-4o-mini,Offshore,0.6666666666666666
42,30,4,5,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/30.pdf,,gemini-1.5-pro,Unspecified,0.8
43,25,4,15,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/25.pdf,EWEA-2023-001,deepseek-chat,Offshore,0.26666666666666666
44,36,4,28,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/36.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.14285714285714285
45,14,3,15,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/14.pdf,5,gemini-1.5-pro,Offshore,0.2
46,38,1,10,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/38.pdf,,gemini-1.5-pro,Offshore,0.1
47,41,1,5,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/41.pdf,NSOW-REG-2023-0042,deepseek-chat,Offshore,0.2
48,46,1,16,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/46.pdf,OWED-2023-001,deepseek-chat,Offshore,0.0625
