model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,is_regulatory,confidence_score,analysis_reason,text_length,has_numerical_constraint
gemini-1.5-pro,Page 53 of 93,Offshore,122,26,Technical,"The Lessee must provide documentation of training to NMFS and BSEE at least 15 days prior to the start of the trawl surveys, for which a non-NEFOP trained observer will be deployed, and at any later time that a different observer is deployed on the survey.",Trawl surveys,15,days,,personnel training; reporting requirements; protected species observation,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,256,True
gemini-1.5-pro,5.6.5,Offshore,123,26,Environmental,"The Lessee must submit the results of genetic analysis, including assigned DPS of origin, to BOEM, BSEE, and NMFS GARFO-PRD within 6 months of the sample collection.",Genetic analysis results,6,months,,reporting requirements; genetic analysis,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s),165,True
gemini-1.5-pro,5.6.5,Offshore,123,26,Environmental,"The Lessee must ensure that any live, uninjured animals are returned to the water as quickly as possible after completing the required handling and documentation.","Live, uninjured animals",,,,animal welfare,True,1.0,Contains 3 mandatory verb(s); Uses regulatory sentence structure,162,False
gemini-1.5-pro,Page 55 of 93,Offshore,126,26,Environmental,"Carcasses of incidentally caught sea turtles and sturgeon must be held in cold storage (frozen is preferred, although refrigerated is permitted if a freezer is not available) until retention or disposal procedures are authorized by the NMFS GARFO-PRD.",Handling of incidentally caught sea turtles and sturgeon,,,,protected species; incidental take; wildlife management,True,1.0,Contains 3 mandatory verb(s); Uses regulatory sentence structure,251,False
gemini-1.5-pro,Page 55 of 93,Offshore,126,26,Technical,The Lessee must commence trawl operations as soon as possible once the vessel arrives on station; the target tow time must be limited to 20 minutes.,Trawl survey operations,20,minutes,,survey methodology; environmental impact assessment,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,148,True
gemini-1.5-pro,Page 44 of 93,Offshore,105,26,Environmental,"BOEM, BSEE, and USFWS will review the Compensatory Mitigation Plan and provide any comments on the plan to the Lessee within 60 days of its submittal.","Pre-Commissioning, Avian Protection",60,days,,avian protection; compensatory mitigation; environmental impact assessment,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 numerical constraint(s),150,True
gemini-1.5-pro,5.2.6.1 and 5.2.7,Offshore,104,26,Environmental,"Any occurrence of a dead or injured ESA-listed bird or bat in or within 1 mile of the lease area must be reported to BOEM, BSEE, and USFWS [...] no later than 72 hours after the sighting and, if practicable, the dead specimen will be carefully collected and preserved in the best possible state.",Lease area and within 1 mile,72,hours,,avian protection; wildlife management; environmental monitoring; impact assessment,True,1.0,Contains 1 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,295,True
gemini-1.5-pro,,Offshore,227,26,Safety,"US Wind would ensure proper marking, lighting, and signaling of Private Aids to Navigation (PATON) in accordance with USCG requirements and BOEM [60] guidelines.",Private Aids to Navigation (PATON),,,USCG requirements and BOEM [60] guidelines,navigation safety,True,1.0,Contains 3 mandatory verb(s); Contains 2 constraint type(s); Contains 1 regulatory context(s),161,True
gemini-1.5-pro,Page 43 of 93,Offshore,103,26,Environmental,"The Lessee must provide an annual report to BOEM, BSEE, and the USFWS documenting any dead (or injured) birds or bats found on vessels and structures during construction, operations, and decommissioning.","Construction, Operation, and Decommissioning",,,,avian protection; bat protection; environmental monitoring,True,1.0,Contains 2 mandatory verb(s); Contains 3 regulatory context(s); Uses regulatory sentence structure,203,False
gemini-1.5-pro,Page 31 of 93,Offshore,84,26,Safety,"On a monthly basis, the Lessee must provide BSEE, BOEM, and the USCG with copies of any correspondence received from other federal, state, or local agencies regarding navigation safety issues.",Navigation safety,,,,safety reporting; interagency communication,True,1.0,Contains 2 mandatory verb(s); Contains 2 regulatory context(s); Uses regulatory sentence structure,192,False
gemini-1.5-pro,Page 32 of 93,Offshore,85,26,Safety,"The Lessee must attend meetings (i.e., Harbor Safety Committee, Area Committee) to provide briefings on the status of construction and operations, and on any problems or issues encountered with respect to navigation safety.",Construction and operation phases,,,"BSEE, BOEM, and USCG",navigational safety; reporting requirements,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Contains 4 regulatory context(s),223,False
gemini-1.5-pro,4.3,Offshore,87,26,Jurisdictional,"Within 15 days of entering into the mitigation agreement, the Lessee must provide BOEM and BSEE with a copy of the executed mitigation agreement.",Mitigation agreement,15,days,Section 4.3,permitting; legal,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,145,True
gemini-1.5-pro,4.3,Offshore,87,26,Technical,"Within 45 days of completing the requirements in Section 4.3, the Lessee must provide BOEM with evidence of compliance with those requirements.",Compliance with Section 4.3 requirements,45,days,Section 4.3,reporting; compliance,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 2 constraint type(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,143,True
gemini-1.5-pro,4.3,Offshore,87,26,Technical,"At least 30, but no more than 60, days prior to the completion of commissioning of the last WTG (i.e., that date by which every WTG in the Project is installed with potential for blade rotation), the Lessee must notify NORAD for RAM scheduling.",Commissioning of the last WTG,30,days,Section 4.3.1.1,radar interference mitigation; scheduling; communication,True,1.0,Contains 1 mandatory verb(s); Contains 2 regulatory phrase(s); Contains 1 numerical constraint(s),244,True
gemini-1.5-pro,Page 34 of 93,Offshore,88,26,Safety,"At least 30, but no more than 60, days prior to the completion of commissioning of the last WTG, the Lessee must contribute funds in the amount of $80,000 to NORAD toward the execution of the RAM.",Offshore wind farm construction and commissioning,80000,USD,,radar mitigation; aviation safety,True,1.0,Contains 1 mandatory verb(s); Contains 2 regulatory phrase(s); Contains 1 numerical constraint(s),196,True
gemini-1.5-pro,Page 34 of 93,Offshore,88,26,Jurisdictional,"Within 45 days of completing the requirements in Sections 4.4.1 through 4.4.3, the Lessee must provide BOEM with evidence of compliance with those requirements.",Offshore wind farm operation,45,days,,reporting requirements; compliance,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 2 constraint type(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,160,True
gemini-1.5-pro,4.4.1,Offshore,89,26,Technical,"At least 240 days prior to deployment, the Lessee must provide all information necessary for evaluation of the potential submarine power cables, data cables, and acoustic monitoring devices to be used in the Project to osd.dod-siting-clearinghouse@mail.mil for a 180-day review.","Submarine power cables, data cables, and acoustic monitoring devices",240,days,,cable installation; environmental impact assessment; acoustic monitoring,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 2 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,278,True
gemini-1.5-pro,4.4.1,Offshore,89,26,Technical,"If the DON requests additional information, the Lessee must provide it within 15 days of the request.",Information requests from the Department of the Navy,15,days,,information sharing; regulatory compliance,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,101,True
gemini-1.5-pro,4.4.1,Offshore,89,26,Technical,The Lessee must provide DON with notice of the intent to change this information at least 30 days prior to any change.,Changes to DOFS and acoustic monitoring device information,30,days,,notification requirements; acoustic monitoring; cable installation,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,118,True
gemini-1.5-pro,4.4.1,Offshore,89,26,Technical,The Lessee must provide DON with as-built schematics and diagrams showing the exact makes and models of all DOFS equipment and acoustic monitoring devices used at commissioning.,DOFS equipment and acoustic monitoring devices,,,,documentation; as-built drawings; acoustic monitoring,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Uses regulatory sentence structure,177,False
gemini-1.5-pro,4.4.1,Offshore,89,26,Technical,"Thereafter, this information must be updated within 10 business days of any change.",Updates to as-built schematics and diagrams for DOFS and acoustic monitoring devices,10,business days,,documentation updates; as-built drawings; acoustic monitoring,True,1.0,Contains 1 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,83,True
gemini-1.5-pro,Page 35 of 93,Offshore,90,26,Safety,"Within 45 days following approval of the COP, the Lessee must provide DON with the names of each entity and person having beneficial ownership or control of 5 percent or more of the Lessee and the project operator, all material vendors and manufacturers who will regularly visit the project, who supply or manufacture equipment used on the project, control equipment used on the project, or have access to associated data systems.","Project stakeholders, vendors, and manufacturers",5,percent,,national security; personnel security,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,430,True
gemini-1.5-pro,Page 35 of 93,Offshore,90,26,Safety,The Lessee must provide written notice to the DON at least 45 days in advance of the intended use of any material vendor not previously screened pursuant to this section.,Material vendors,45,days,,national security; vendor management,True,1.0,Contains 3 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,170,True
gemini-1.5-pro,Page 36 of 93,Offshore,91,26,Technical,"Lessee appointment of a DON-approved Security Officer, subject to citizenry and other requirements, to monitor compliance with mitigation measures.",Offshore wind farm operation,,,DON (Department of the Navy),security; personnel,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 3 constraint type(s),147,False
gemini-1.5-pro,5.1.2,Offshore,93,26,Environmental,"The Lessee must submit required documents related to marine debris awareness training, reporting, and recovery (e.g., annual training compliance, incident reporting, 24-hour notices, recovery plans, recovery notifications, annual survey and reporting, and decommissioning and site clearance) to BSEE via TIMSWeb.",Offshore activities,,,Section 5.1.2,marine debris; environmental protection; reporting,True,1.0,Contains 3 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 2 regulatory context(s),312,True
gemini-1.5-pro,5.1.2,Offshore,93,26,Safety,"The Lessee must ensure that all vessel operators, employees, and contractors engaged in offshore activities pursuant to the approved COP complete marine debris awareness training and are certified prior to engaging in offshore activities and annually thereafter.",Offshore activities,,,Section 5.1.2.1,marine debris; personnel training; safety training,True,1.0,Contains 4 mandatory verb(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,262,False
gemini-1.5-pro,5.1.2,Offshore,93,26,Environmental,"Before engaging in offshore activities pursuant to the approved COP and by January 31 of each year thereafter, the Lessee must submit to BSEE a report that describes its marine debris awareness training process and certifies that all personnel have completed the required training for the previous year.",Offshore activities,31,Day of the month,Section 5.1.2.2,marine debris; reporting; training compliance,True,1.0,Contains 5 mandatory verb(s); Contains 1 regulatory context(s),303,True
gemini-1.5-pro,38 of 93,Offshore,94,26,Environmental,The Lessee must take steps to prevent similar releases of marine debris and must submit a description of these preventative actions to BSEE within 30 days from the date on which the release of marine debris occurred.,Prevention of marine debris release,30,days,,environmental protection; pollution prevention,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),216,True
gemini-1.5-pro,38 of 93,Offshore,94,26,Environmental,"If the marine debris was not recovered, the Lessee must provide its rationale for not recovering the marine debris.",Justification for non-recovery of marine debris,,,,environmental protection,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,115,False
gemini-1.5-pro,Page 39 of 93,Offshore,95,26,Safety,"If BSEE orders the Lessee to recover the marine debris, the Lessee must then submit a Recovery Plan to BSEE within 10 calendar days.",Marine debris recovery,10,calendar days,BSEE,marine debris; environmental protection; incident response,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),132,True
gemini-1.5-pro,Page 39 of 93,Offshore,95,26,Safety,"BSEE must be notified that recovery activities are complete within 30 days from the time the marine debris notification was submitted, unless BSEE grants the Lessee an extension.",Marine debris recovery,30,days,BSEE,marine debris; environmental protection; incident response,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,178,True
gemini-1.5-pro,,Offshore,96,26,Technical,The Lessee must provide photographic and videographic materials (TIFF or Motion JPEG 2000) in TIMSWeb with the submittal of the annual report.,Reporting,,,,reporting; data management,True,1.0,Contains 3 mandatory verb(s); Uses regulatory sentence structure,142,True
gemini-1.5-pro,Page 40 of 93,Offshore,97,26,Environmental,The Lessee must submit all required documents related to avian and bat protection conditions in Sections 5.2.2 through Section 5.2.8 to BOEM; to BSEE via TIMSWeb and with a notification email to protectedspecies@bsee.gov; and to USFWS Chesapeake Bay Field Office at cbfoprojectreview@fws.gov.,Avian and bat protection,,,,avian protection; bat protection; environmental impact assessment,True,1.0,Contains 3 mandatory verb(s); Contains 1 constraint type(s),292,True
gemini-1.5-pro,41 of 93,Offshore,99,26,Environmental,"The Lessee must provide USFWS with a courtesy copy of the final Lighting, Marking, and Signaling plan, and the Lessee’s approved application to USCG to establish PATONs (Section 3.1.1.1).",Navigation Lighting,,,,avian protection; lighting; environmental impact assessment; reporting,True,1.0,Contains 3 mandatory verb(s); Uses regulatory sentence structure,187,True
gemini-1.5-pro,5.2.4,Offshore,100,26,Environmental,The Lessee must submit a comprehensive report after each full year of post-construction monitoring within 12 months of completion of the survey season.,Lease Area,12,months,ABPCMP,environmental monitoring; reporting requirements,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),151,True
gemini-1.5-pro,Page 42 of 93,Offshore,101,26,Technical,"Within 30 business days of submitting the annual monitoring report, the Lessee must meet with BOEM, BSEE, and USFWS to discuss the monitoring results","Operational Phase, Monitoring & Reporting",30,business days,,monitoring; reporting; ABPCMP,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 numerical constraint(s),149,True
gemini-1.5-pro,Page 55 of 93,Offshore,126,26,Environmental,"The Lessee must maintain visual monitoring effort during the entire period of time that trawl gear is in the water (i.e., throughout gear deployment, fishing, and retrieval).",Trawl survey operations,,,,marine mammal monitoring; protected species observation,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,174,False
gemini-1.5-pro,Page 56 of 93,Offshore,127,26,Environmental,"If reporting within 24 hours is not possible (e.g., due to distance from shore or lack of ability to communicate via phone, fax, or email), the Lessee must submit reports as soon as possible and must submit late reports with an explanation for the delay.",Reporting requirements for sea turtle and sturgeon interactions,24,hours,5.6.6 Notification Report,reporting requirements; protected species,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s),254,True
gemini-1.5-pro,Page 57 of 93,Offshore,129,26,Environmental,"The Lessee must provide Project-specific training to all vessel crew members, PSOs, and Trained Lookouts on the identification of sea turtles and marine mammals, vessel strike avoidance and reporting protocols, how and when to communicate with the vessel operator, the authority of the PSOs, and the associated regulations for avoiding vessel collisions with protected species prior to the start of in-water construction activities.",Vessel operations during in-water construction,,,,protected species; marine environment; vessel operations; training,True,1.0,Contains 2 mandatory verb(s); Contains 2 regulatory context(s); Uses regulatory sentence structure,432,False
gemini-1.5-pro,Page 57 of 93,Offshore,129,26,Environmental,"Confirmation of the training and understanding of the requirements must be documented on a training course log sheet, and the Lessee must provide the log sheets to BOEM, BSEE, and NMFS-OPR upon request.",Vessel operations,,,,protected species; marine environment; vessel operations; training; reporting,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Uses regulatory sentence structure,202,False
gemini-1.5-pro,Page 71 of 93,Offshore,154,26,Technical,"The Lessee must provide, as soon as they are available but no later than 48 hours after the installation of each of the first three monopiles and full jacket foundations (inclusive of all pin/skirt piles for a specific jacket foundation), the initial results of the SFV measurements in an interim report.",Offshore wind farm construction (Monopile and Jacket foundation installation),48,hours,,reporting; construction monitoring; foundation installation,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,304,True
gemini-1.5-pro,Page 71 of 93,Offshore,154,26,Technical,"If technical or other issues prevent submission within 48 hours, the Lessee must notify NMFS-OPR and NMFS-GARFO-PRD within that 48-hour period with the reasons for delay and provide an anticipated schedule for submission of the report.",Offshore wind farm construction (Monopile and Jacket foundation installation),48,hours,,reporting; construction monitoring; foundation installation; delay notification,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s),235,True
