model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,20,C-017,Safety Standard,Clearance and shutdown zones must be used during pile driving activities.,,,5.12.5,Around each foundation pile,"The Lessee must use visual PSOs and PAM operators to monitor the area around each foundation pile before, during, and after pile driving. The clearance and shutdown zones are defined below.",Foundations
claude,claude-3-haiku-20240307,21,C-009,Environmental Mitigation,"If export cable installation activities must occur between April 1 and August 31, a qualified biologist will survey the area within 200 yards of the work zone to determine the presence/absence of nesting Piping Plovers.",,,Appendix A,Area within 200 yards of export cable installation work zone,"If HDD activities are initiated between April 1 and August 31, or if work is re-initiated after a 48-hour work stoppage during the Piping Plover nesting season (the aforementioned time period), a qualified biologist will perform surveys to determine the presence/absence of any nesting Piping Plovers within 200 yards (182.9 meters) of the work zone.",Offshore Export Cables
claude,claude-3-haiku-20240307,21,C-011,Environmental Mitigation,Trees greater than 3 inches in diameter at breast height shall not be cleared from June 1 to July 31 to avoid impacts on northern long-eared bats.,3.0,inches,Appendix A,Onshore areas,Require that trees greater than 3 inches (7.6 centimeters) diameter at breast height not be cleared from June 1 to July 31.,Wind Turbine Generators
gemini,gemini-1.5-pro,19,C-012,Environmental Mitigation,"If the Export Cable target burial depth is not met, additional protection must be provided.",,,3.3.4.3,Export Cable,"As approved in the RAP, in locations where actual target depths are not met, additional protection, such as placement of rock berms or concrete mattresses, may be employed to ensure that adequate cable protection is provided.",Export Cable
gemini,gemini-1.5-pro,16,C-014,Design Specification,Permanent structures must be in a uniform grid spacing with no linear rows and columns less than 0.6 nm by 1 nm.,0.6,nm,Appendix B,,locate all permanent structures in a uniform grid spacing where permanent structures will not be placed in a way that narrows any linear rows and columns to fewer than 0.6 nm (1.100 meters) by 1 nm,Wind Turbine Generators
gemini,gemini-1.5-pro,12,C-002,Environmental Mitigation,"Sound fields generated during impact pile driving should not exceed NOAA Fisheries’ Level A permanent threshold shift (PTS) limits for low frequency cetaceans (LFC) at distances greater than 1,000 meters from each foundation.",1000.0,meters,Construction and Operation,1000 meters from each foundation,"Sound fields generated during impact pile driving should be reduced to the maximum extent practicable with a goal of not exceeding NOAA Fisheries’ Level A permanent threshold shift (PTS) limits for low frequency cetaceans (LFC) at distances greater than 1,000 meters from each foundation.",Foundations
gemini,gemini-1.5-pro,10,C-017,Operational Parameter,All vessels must maintain a speed of 10 knots or less within any active North Atlantic right whale Slow Zone.,10.0,kn,217.264(b)(5),North Atlantic right whale Slow Zone,All LOA Holder's vessels must transit at 10 kn or less within any active North Atlantic right whale Slow Zone,Project Vessels
gemini,gemini-1.5-pro,10,C-007,Operational Parameter,"Maximum hammer energy for pin pile installation must not exceed 2,500 kilojoules.",2500.0,kJ,217.264(c)(2),Project Area,"Hammer energies must not exceed 2,500 kJ for pin pile installation.",Pin Piles
gemini,gemini-1.5-pro,10,C-004,Operational Parameter,"Maximum hammer energy for monopile installation must not exceed 4,000 kilojoules.",4000.0,kilojoules,217.264(c)(2),Project Area,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",Monopiles
deepseek,deepseek-chat,7,C-001,Design Specification,WTGs must maintain a 1 nautical mile setback from the outer boundary of the southeastbound traffic lane of the current Traffic Separation Scheme.,1.0,nautical mile,2.1,Lease Area,"Based on USCG recommendations in the New Jersey Port Access Route Study (PARS), US Wind's proposed layout included a 1 nmi (1.9 km) setback from the outer boundary of the southeastbound traffic lane of the current Traffic Separation Scheme for the southeastern approach to the Delaware Bay or its proposed extension, which removed 7 of the 121 WTG positions, resulting in a total of up to 114 WTGs.",Wind Turbine Generators
deepseek,deepseek-chat,4,C-006,Design Specification,WTGs must not be installed within 1 nautical mile of the traffic separation scheme (TSS) from Delaware Bay.,1.0,nautical mile,ES.4.2,Lease Area,"The Proposed Action includes a 1 nautical mile (1.9 kilometer) setback from the traffic separation scheme (TSS) from Delaware Bay which removes 7 of the 121 WTG positions, resulting in a total of 114 WTGs.",Wind Turbine Generators
deepseek,deepseek-chat,27,C-007,Environmental Mitigation,"Vessel speed must not exceed 10 knots when mother/calf pairs, pods, or large assemblages of non-delphinoid cetaceans are observed near an underway vessel.",10.0,knots,4.4,Lease Area,"The Lessee must ensure that all vessel operators reduce speed to 10 knots or less when mother/calf pairs, pods, or large assemblages of non-delphinoid cetaceans are observer near an underway vessel.",RPS FLiDAR Buoy
deepseek,deepseek-chat,25,C-004,Environmental Mitigation,Sand bedform removal must not exceed more than 5% of the Falmouth export cable route.,5.0,%,5.3.2.1.8,Falmouth export cable route,A description of how sand bedform removal will be limited to the extent required to achieve adequate cable burial depth and will not exceed more than 5% of the Falmouth export cable route.,Export Cables
deepseek,deepseek-chat,25,C-002,Design Specification,"Offshore export cables must be within a 1,640 – 2,300-foot wide corridor.",1640.0,feet,3.1,Offshore export cable corridor,"From one (1) or more (no more than five (5)) OSPs within the lease area, up to six (6) offshore export cables (up to four (4) power cables and up to two (2) communications cables) within a single, 1,640 – 2,300-foot wide, offshore export cable corridor (OECC) will travel a total of 124 miles.",Export Cables
deepseek,deepseek-chat,24,C-009,Environmental Mitigation,Vessel speed must not exceed 10 knots in Seasonal Management Areas and Dynamic Management Areas for North Atlantic right whales.,10.0,knots,Section 5.11.1,Seasonal Management Areas and Dynamic Management Areas for North Atlantic right whales,"Regardless of vessel size, vessel operators must reduce vessel speed to 10 knots (18.5 mph) or less while operating in any Seasonal Management Area (SMA) and Dynamic Management Area (DMA) or Slow Zone for North Atlantic right whales, unless the vessel is operating in a designated DMA or Slow Zone where right whales have not been detected and it is not reasonable to expect the presence of North Atlantic right whales (e.g., Long Island Sound, shallow harbors).",Wind Turbine Generators
deepseek,deepseek-chat,2,C-003,Operational Parameter,"Must submit a GAP before conducting activities on a limited lease, ROW grant, or RUE grant.",,,585.600,"Limited lease, ROW grant, or RUE grant area","Before you conduct any activities on your limited lease, ROW grant, or RUE grant in any OCS area, you must submit a GAP, according to §§ 585.640 through 585.648.",General Activities Plan (GAP)
deepseek,deepseek-chat,15,C-002,Environmental Mitigation,Monitoring for North Atlantic right whales must be conducted continuously at least 30 days before pile installation starts and for at least 3 to 10 full calendar years of operations.,,,5.5.6,Lease Area,"The Lessee must conduct continuous recording at least 30 days before the start of pile installation, through pile installation, initial operation, and for at least 3 but no more than 10 full calendar years of operations to monitor for potential impacts.",Wind Turbine Generators
deepseek,deepseek-chat,12,C-001,Environmental Mitigation,"Sound fields during impact pile driving should not exceed NOAA Fisheries’ Level A permanent threshold shift limits for low frequency cetaceans at distances greater than 1,000 meters.",1000.0,meters,2.4,Lease areas,"Sound fields generated during impact pile driving should be reduced to the maximum extent practicable with a goal of not exceeding NOAA Fisheries’ Level A permanent threshold shift (PTS) limits for low frequency cetaceans (LFC) at distances greater than 1,000 meters from each foundation.",Wind Turbine Generators
deepseek,deepseek-chat,10,C-006,Operational Parameter,"Hammer energies must not exceed 2,500 kJ for pin pile installation",2500.0,kJ,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,"Hammer energies must not exceed 2,500 kJ for pin pile installation.",Offshore Substation
deepseek,deepseek-chat,10,C-003,Operational Parameter,"Hammer energies must not exceed 4,000 kilojoules for monopile installation",4000.0,kilojoules,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",Wind Turbine Generator
claude,claude-3-haiku-20240307,9,C-009,Environmental Mitigation,Pile driving activities for MET tower installation will be monitored by qualified marine mammal and sea turtle observers to ensure no individuals are present within the 7-kilometer exclusion zone.,7.0,kilometers,3.6.3,Area within 7 km of MET tower,A preliminary 7 km radius exclusion zone for marine mammals and sea turtles must be established around each pile driving site in order to reduce the potential for impacts to these species.,Meteorological Tower
gemini,gemini-1.5-pro,9,C-018,Environmental Mitigation,Visual monitoring of the exclusion zones must be conducted by a qualified NMFS-approved observer.,,,3.6.3,Exclusion zones,Monitoring of the zones must be conducted by a qualified NMFS approved observer.,Meteorological Tower
gemini,gemini-1.5-pro,9,C-014,Environmental Mitigation,A 7 km radius exclusion zone for marine mammals and sea turtles must be established around each pile driving site.,7.0,km,3.6.3,Around each pile driving site,A preliminary 7 km radius exclusion zone for marine mammals and sea turtles must be established around each pile driving site,Meteorological Tower
openai,gpt-4o-mini,22,C-005,Safety Standard,Clearance zones for marine mammals must be established prior to construction activities.,1650.0,meters,5.11.5,Clearance zones around construction areas,The clearance and shutdown zones are defined below.,Wind Turbine Generators
claude,claude-3-haiku-20240307,10,C-009,Environmental Mitigation,"A soft-start protocol must be used for all impact pile driving, consisting of 4-6 strikes per minute at 10-20% of maximum hammer energy for at least 20 minutes.",,,217.264(c)(5),Entire project area,"LOA Holder must utilize a soft-start protocol for each impact pile driving event of all foundations by performing four to six strikes per minute at 10 to 20 percent of the maximum hammer energy, for a minimum of 20 minutes.",Wind Turbine Generators
openai,gpt-4o-mini,24,C-008,Environmental Mitigation,The Lessee must submit a modified plan addressing any inconsistencies with the NMFS BiOp within 30 days of receipt of comments.,,,5.10.2,Project Area,"If BOEM and BSEE inform the Lessee the plan is inconsistent with the ITS and NMFS BiOp, the Lessee must submit a modified plan that addresses the identified issues within 30 days of the receipt of the comments.",Offshore Export Cables
openai,gpt-4o-mini,25,C-005,Safety Standard,"A clearance zone of 10,000 meters must be maintained for North Atlantic Right Whales during construction.",10000.0,meters,5.10.1,Construction Zone,"NARW PAM Clearance/ Shutdown Zone: 10,000 m (pin), 15,000 m (monopile).",Wind Turbine Generators
openai,gpt-4o-mini,26,C-005,Environmental Mitigation,"A clearance zone of 3,900 meters must be maintained for North Atlantic right whales during pile driving activities.",3900.0,meters,5.11.5,Clearance Zone for North Atlantic right whale,"WTG: 3,900 (4,300) OSS: 4,100 (4,700)",Wind Turbine Generators
claude,claude-3-haiku-20240307,10,C-013,Environmental Mitigation,NMFS-approved passive acoustic monitoring (PAM) systems must be used to detect marine mammals during impact pile driving.,,,217.264(c)(10),Entire project area,"LOA Holder must utilize NMFS-approved PAM systems, as described in paragraph(c)(17) of this section. The PAM system components ( *i.e.,* acoustic buoys) must not be placed closer than 1 km to the pile being driven so that the activities do not mask the PAM system.",Wind Turbine Generators
claude,claude-3-haiku-20240307,10,C-011,Environmental Mitigation,At least two functional noise abatement systems that reduce noise levels by at least 10 dB must be used during all impact pile driving.,,,217.264(c)(9),Entire project area,"LOA Holder must deploy at least two functional noise abatement systems that reduce noise levels to the modeled harassment isopleths, assuming 10-dB attenuation, during all impact pile driving.",Wind Turbine Generators
openai,gpt-4o-mini,27,C-007,Environmental Mitigation,Vessel speeds for all project vessels shall not exceed 10 knots within the Lease Area.,10.0,knots,4.4,Lease Area,Vessel speeds for all project vessels shall not exceed 10 knots within the Lease Area.,RPS FLiDAR Buoy
claude,claude-3-haiku-20240307,10,C-003,Design Specification,Pin pile foundations must not exceed 5 meters in diameter.,5.0,meters,217.264(c)(2),Entire project area,Pin piles must be no larger than 5 m in diameter.,Wind Turbine Generators
claude,claude-3-haiku-20240307,12,C-003,Environmental Mitigation,"Noise levels generated during wind turbine foundation installation (e.g., pile driving) must be reduced to the maximum extent practicable, with a goal of not exceeding NOAA Fisheries' Level A permanent threshold shift limits for low-frequency cetaceans at distances greater than 1,000 meters.",,,3.4,"Within 1,000 meters of foundation installation","Sound fields generated during impact pile driving should be reduced to the maximum extent practicable with a goal of not exceeding NOAA Fisheries' Level A permanent threshold shift (PTS) limits for low frequency cetaceans (LFC) at distances greater than 1,000 meters from each foundation.",Wind Turbine Generators
claude,claude-3-haiku-20240307,10,C-001,Design Specification,Monopile foundations must not exceed 11 meters in diameter.,11.0,meters,217.264(c)(2),Entire project area,"Monopiles must be no larger than 11 m in diameter, representing the larger end of the monopile design.",Offshore Substations
openai,gpt-4o-mini,28,C-001,Operational Parameter,Vessel speed during video recording must not exceed 3 knots.,3.0,knots,2.1.1,During benthic sampling operations,Vessel speed was usually kept to 1 knot or lower and never exceeded 3 knots.,Benthic Grab Sampler
openai,gpt-4o-mini,3,C-002,Operational Parameter,Foam levels in gear lube oil must be less than 10 ml after 10 minutes.,10.0,ml,RP 105,Gear lubrication system,Foam (@10 min settle)|ASTM D892|ml|<10|>10,Wind Turbine Gear Oil
openai,gpt-4o-mini,3,C-003,Operational Parameter,Total Acid Number in gear lube oil must not exceed 1.5 mg/g KOH over new.,1.5,mg/g KOH,RP 105,Gear lubrication system,Total Acid Number|ASTM D664|mg/g KOH|1.5 over new|2.0 over new,Wind Turbine Gear Oil
openai,gpt-4o-mini,5,C-001,Design Specification,"Wind turbines must be sited away from shipping lanes, fishing grounds, and protected marine areas.",,,Introduction,General offshore areas,"Offshore wind farms should be sited away from shipping lanes, fishing grounds, and protected marine areas.",Offshore Wind Turbines
openai,gpt-4o-mini,5,C-004,Design Specification,Substations must be located within 5 km of the coast.,5.0,kilometers,Methods,Area within 5 km of the coast,The cost of inter-connecting the wind farm to the electrical grid depends on the distance to the nearest substation.,Transmission Infrastructure
claude,claude-3-haiku-20240307,16,C-004,Environmental Mitigation,"Up to 29 wind turbines, 1 offshore substation, and associated inter-array cables shall be microsited outside of the 1,000-foot (305-meter) buffer of the ridge and swale features within the NMFS-identified Areas of Concern 1 and 2.",1000.0,feet,3.1,Areas of Concern 1 and 2,"microsite up to 29 WTGs, 1 OSS, and associated interarray cables outside of the 1,000 foot (305-meter) buffer of the ridge and swale features within the NMFS-identified AOC 1 and AOC 2",Wind Turbine Generators
claude,claude-3-haiku-20240307,7,C-011,Environmental Mitigation,Cable trenching is forbidden within a 500-meter buffer zone around the historic shipwreck designated No. 551B.,500.0,meters,4.1.2,Area within 500 meters of historic shipwreck (No. 551B),"Furthermore, trenching activities are prohibited within 500 meters of the identified historic shipwreck (No. 551B) at all times.",Offshore Export Cables
openai,gpt-4o-mini,22,C-004,Operational Parameter,Vessel speeds for all project vessels shall not exceed 10 knots within designated transit lanes.,10.0,knots,5.11.4,Transit lanes,vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.,Wind Turbine Generators
openai,gpt-4o-mini,16,C-006,Environmental Mitigation,Vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.,10.0,knots,3.1,Block Island Sound Transit Lane,vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.,Wind Turbine Generators
openai,gpt-4o-mini,10,C-003,Operational Parameter,"Impact pile driving hammer energies must not exceed 4,000 kilojoules.",4000.0,kilojoules,217.264(c)(2),Project Area,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",Wind Turbine Generators (WTGs)
claude,claude-3-haiku-20240307,16,C-002,Design Specification,"The total number of permanent structures (WTGs, OSSs, and/or met tower) constructed for the Project shall not exceed 197.",197.0,,3.1,Entire Project,"The total number of permanent structures constructed (WTGs, OSSs, and/or met tower) may not exceed 197.",Wind Turbine Generators
openai,gpt-4o-mini,11,C-008,Environmental Mitigation,Vessels must not exceed 10 knots within the Block Island Sound Transit Lane.,10.0,knots,5.1.1.1,Block Island Sound Transit Lane,Vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.,Wind Turbine Generators
openai,gpt-4o-mini,12,C-002,Environmental Mitigation,"Noise levels during construction must not exceed NOAA Fisheries' Level A permanent threshold shift limits for low frequency cetaceans at distances greater than 1,000 meters from each foundation.",1000.0,meters,3.4,Area surrounding each foundation,"Sound fields generated during impact pile driving should be reduced to the maximum extent practicable with a goal of not exceeding NOAA Fisheries’ Level A permanent threshold shift (PTS) limits for low frequency cetaceans (LFC) at distances greater than 1,000 meters from each foundation.",Offshore Wind Turbines
openai,gpt-4o-mini,12,C-004,Environmental Mitigation,Clearance zones must be established around sound sources to monitor for NARWs before starting activities.,,,3.4,Area around sound sources,"A clearance zone is an area around a sound source, monitored by PSOs, wherein a detection of a NARW triggers a delay in turning on the sound source.",Offshore Wind Turbines
openai,gpt-4o-mini,15,C-006,Environmental Mitigation,Monitoring for potential impacts must occur continuously for at least 3 but no more than 10 full calendar years of operations.,3.0,years,5.5.6,Lease Area,"The Lessee must conduct continuous recording at least 30 days before the start of pile installation, through pile installation, initial operation, and for at least 3 but no more than 10 full calendar years of operations.",Wind Turbine Generators
openai,gpt-4o-mini,2,C-001,Operational Parameter,A SAP must be submitted and approved before conducting any site assessment activities.,,,585.600,Commercial lease areas,You must submit a SAP... and receive BOEM approval as set forth in the following table.,Site Assessment Plan (SAP)
claude,claude-3-haiku-20240307,13,C-001,Design Specification,Wind turbines must be located in waters less than 20 meters (66 feet) deep,20,meters,8.4.4(E)(1),Within the Ocean SAMP boundary,Figure 8.39 in § 8.4.4(F)(1) of this Part illustrates the areas within the Ocean SAMP boundary with water depths less than 20 m (66 feet) and therefore is thought to represent the primary foraging habitat for the thousands of seaducks that winter in the Ocean SAMP waters.,Wind Turbine Generators
openai,gpt-4o-mini,2,C-002,Operational Parameter,A COP must be submitted and approved before conducting any construction activities.,,,585.600,Commercial lease areas,You must submit a COP... and receive BOEM approval as set forth in the following table.,Construction and Operations Plan (COP)
openai,gpt-4o-mini,2,C-003,Operational Parameter,"A GAP must be submitted and approved before conducting any activities on limited leases, ROW grants, or RUE grants.",,,585.600,"Limited lease areas, ROW grants, RUE grants",You must submit a GAP... and receive BOEM approval as set forth in the following table.,General Activities Plan (GAP)
gemini,gemini-1.5-pro,10,C-012,Operational Parameter,Soft-start must involve 4-6 strikes per minute at 10-20 percent of maximum hammer energy for at least 20 minutes.,,,217.264(c)(5),Project Area,"by performing four to six strikes per minute at 10 to 20 percent of the maximum hammer energy, for a minimum of 20 minutes",Wind Turbine Generator
claude,claude-3-haiku-20240307,20,C-011,Environmental Mitigation,The Fish Haven area along the northern boundary of the Lease Area will be an exclusion zone where no wind turbine generators or associated infrastructure will be developed,,,3.1,Northern boundary of Lease Area OCS-A 0483,"the Fish Haven area located along the northern boundary of the Lease Area would be an exclusion zone (e.g., eight WTGs and associated infrastructure would not be developed or placed in the Fish Haven area).",Wind Turbine Generators
deepseek,deepseek-chat,29,C-002,Environmental Mitigation,"Wind farms must be sited away from shipping lanes, fishing grounds, and protected marine areas.",,,Introduction,All U.S. coastal areas,"Furthermore, offshore wind farms should be sited away from shipping lanes, fishing grounds, and protected marine areas.",Offshore Wind Turbine
gemini,gemini-1.5-pro,9,C-021,Safety Standard,The MET tower will be marked in accordance with USCG requirements applicable to a Private Aid to Navigation.,,,3.12.2,MET Tower,"To minimize this potential for navigational impacts, the MET tower will be marked in accordance with USCG requirements applicable to a Private Aid to Navigation, including color, lights, etc.",Meteorological Tower
claude,claude-3-haiku-20240307,2,C-007,Regulatory Requirement,"The SAP must include a listing of all federal, state, and local authorizations or approvals required to conduct site assessment activities on the lease, and a statement indicating whether such authorization or approval has been applied for or obtained.",,,295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (13) A listing of all Federal, State, and local authorizations or approvals required to conduct site assessment activities on your lease; a statement indicating whether such authorization or approval has been applied for or obtained.",Site Assessment Plan (SAP)
gemini,gemini-1.5-pro,6,C-008,Operational Parameter,No meteorological towers or buoys are permitted within 1 nautical mile of any TSS boundary.,1.0,nm,4.1.3.7.2,Within 1 nautical mile of any TSS boundary,no meteorological towers or buoys would be located within 1 nm of any TSS boundary until further analysis and the ACPARS is completed by the USCG,Meteorological Buoy
claude,claude-3-haiku-20240307,1,C-001,Design Specification,Offshore wind turbines must be installed between 12 and 200 nautical miles off the German coast in the North and Baltic Seas,12.0,nautical miles,4.2.1,German Economic Exclusive Zone (EEZ) in the North and Baltic Seas,"Since 1997, offshore wind farms in the German EEZ, between 12 and 200 nautical miles in the North and Baltic Seas, are regulated by the BSH, a branch of the Federal Ministry for Economic Affairs and Energy (BMWi), and the Federal Waterways and Shipping Administration (WSV), pursuant to the Federal Marine Installations Ordinance (SeeAnlV).",Offshore Wind Turbine Generators
claude,claude-3-haiku-20240307,1,C-010,Regulatory Requirement,"Offshore wind farm projects in Denmark are regulated by the Danish Energy Agency (DEA) in cooperation with the Danish Environmental Protection Agency (EPA), Danish Maritime Authority (DMA), and Danish Working Environment Authority (DWEA)",,,4.3.1,Denmark,"The rights to exploit energy from the wind in Danish territorial waters and in the EEZ are coordinated by DEA under the 2015 Danish Renewable Energy Promotion Act (RE Act), in co-operation with the Danish Environmental Protection Agency (EPA), Danish Maritime Authority (DMA) and Danish Working Environment Authority (DWEA).",Offshore Wind Farm Project
gemini,gemini-1.5-pro,6,C-006,Safety Standard,Meteorological towers within 12 nautical miles of shore and greater than 199 feet tall require an FAA obstruction evaluation analysis.,199.0,feet,3.1.3.1,Within 12 nautical miles of shore,"Within 12 nm of shore, any meteorological tower greater than 199 ft tall would also require an FAA obstruction evaluation analysis, to determine if the meteorological tower would pose a hazard to air traffic.",Meteorological Tower
deepseek,deepseek-chat,20,C-005,Environmental Mitigation,"Export cables must avoid steep slopes, complex habitat, and boulders greater than or equal to 0.5 meters in diameter.",0.5,meters,5.7.3,Lease Area,"The Lessee must prepare and implement a Micrositing Plan that describes how WTG locations, OSS locations, inter-array, and export cable routes will be microsited to avoid or minimize impacts to steep slopes with gradients greater than or equal to 10 degrees, complex habitat, boulders greater than or equal to 0.5 meters in diameter and confirmed MEC/UXO.",Export Cables
claude,claude-3-haiku-20240307,9,C-010,Environmental Mitigation,Pile driving activities for MET tower installation will be halted if any marine mammals or sea turtles are observed within the 1-kilometer 180 dB exclusion zone.,1.0,kilometer,3.6.3,Area within 1 km of MET tower,One observer must be based at or near the sound source and responsible for monitoring the 180 dB field of ensonification out to 1000m from the sound source.,Meteorological Tower
gemini,gemini-1.5-pro,17,C-011,Environmental Mitigation,Vessels must maintain a 100-meter separation distance from non-delphinoid cetaceans (excluding North Atlantic right whales).,100.0,m,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean.,Met Buoys
deepseek,deepseek-chat,14,C-007,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted delphinoid cetacean(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean(s).,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-008,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted sea turtle(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle(s).,AXYS FLiDAR 6M Meteorological Buoy
claude,claude-3-haiku-20240307,12,C-005,Environmental Mitigation,Project vessels must maintain a speed of 10 knots or less when NARWs may be present or when visibility is poor.,10.0,knots,3.4,Anywhere NARWs may be present,All vessels underway must not divert their course to approach any protected species. All vessels should have a dedicated lookout or PSO watching for NARWs at all times and slow to 10 knots or less at any time/location that NARWs may be present and at any time when visibility is poor.,Project Vessels
gemini,gemini-1.5-pro,9,C-013,Environmental Mitigation,Vessels must maintain a separation distance of 500 meters or greater from any North Atlantic right whale.,500.0,meters,3.6.1.1,500 meters from North Atlantic right whale,"The Lessee must ensure all vessels maintain a separation distance of 500 meters (1,640 ft) or greater from any sighted North Atlantic right whale.",Meteorological Tower
deepseek,deepseek-chat,27,C-008,Environmental Mitigation,"Vessels must maintain a separation distance of 1,640 feet or greater from any sighted North Atlantic right whale.",1640.0,feet,4.4,Lease Area,"The Lessee must ensure all survey vessels maintain a separation distance of 1,640 ft (500 m) or greater from any sighted North Atlantic right whale.",RPS FLiDAR Buoy
deepseek,deepseek-chat,14,C-005,Environmental Mitigation,Vessels must maintain a separation distance of 500 m or greater from any sighted North Atlantic right whale(s).,500.0,m,4.4,Met Buoy Installation Area,"The Lessee must ensure all vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale(s).",AXYS FLiDAR 6M Meteorological Buoy
gemini,gemini-1.5-pro,27,C-023,Operational Parameter,All vessels must maintain a separation distance of 164 ft or greater from any sighted sea turtle.,164.0,ft,4.2.9.1,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 164 ft (50 m) or greater from any sighted sea turtle.,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-022,Operational Parameter,All vessels must maintain a separation distance of 328 ft or greater from any sighted non-delphinoid cetacean.,328.0,ft,4.2.7.1,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 328 ft (100 m) or greater from any sighted non-delphinoid cetacean.,RPS FLiDAR Buoy
