model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023-001,Offshore,123,4,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,ISO 19902:2022,structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,123,4,Spatial,Minimum 1 nautical mile separation between turbines,All commercial-scale offshore wind farms,1,nautical mile,International Electrotechnical Commission (IEC) 61400-3,layout optimization; safety
deepseek-chat,30 CFR Part 585,Offshore,132,4,Environmental,Lessees must submit a Site Assessment Plan (SAP) for BOEM approval before conducting any site characterization activities.,U.S. Outer Continental Shelf,,,30 CFR § 585.605,permitting; environmental impact
deepseek-chat,30 CFR Part 585,Offshore,132,4,Technical,Wind turbine foundations must withstand a 100-year return period extreme environmental loading condition.,All structures in U.S. waters,100,years,BOEM Engineering Guidelines,structural design; safety
deepseek-chat,30 CFR Part 585,Offshore,132,4,Spatial,No construction within 1 nautical mile of designated shipping lanes.,U.S. offshore wind lease areas,1,nautical mile,USCG Navigation Safety Regulations,maritime safety; project siting
deepseek-chat,NOW-2023-001,Offshore,144,4,Environmental,Turbine foundations must avoid designated marine protected areas by at least 5 km.,All offshore wind projects in federal waters,5,km,Marine Protection Act § 12.4,Environmental; Spatial
deepseek-chat,NOW-2023-001,Offshore,144,4,Technical,All electrical substations must comply with IEC 61400-22 corrosion resistance standards.,Offshore wind farm infrastructure,,,International Electrotechnical Commission (IEC),Technical; Safety
deepseek-chat,OWF-NS-2023-001,Offshore,145,4,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Regulatory Authority (NSOWRA),environmental; spatial
deepseek-chat,OWF-NS-2023-001,Offshore,145,4,Technical,Turbine foundations must comply with ISO 19901-4 for offshore structures.,Offshore wind turbine foundations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,30 CFR Part 585,Offshore,153,4,Environmental,Lessees must submit a Site Assessment Plan (SAP) before installing any meteorological buoys or towers,U.S. Outer Continental Shelf,,,30 CFR § 585.605,permitting; environmental monitoring
deepseek-chat,30 CFR Part 585,Offshore,153,4,Technical,All electrical systems must comply with IEC 61400-24 for lightning protection,Offshore wind turbines,,,IEC Standards,electrical systems; safety
deepseek-chat,30 CFR Part 585,Offshore,153,4,Spatial,Wind turbines must maintain a minimum clearance of 1.0 nautical mile from established shipping lanes,U.S. territorial waters,1.0,nautical miles,U.S. Coast Guard Navigation Rules,maritime safety; project siting
deepseek-chat,OWF-REG-2023,Offshore,156,4,Environmental,All offshore wind projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,156,4,Technical,Wind turbine foundations must be designed to withstand a 1-year storm event with a 100-year wave height,Fixed-bottom offshore wind turbines in North Atlantic,,,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,156,4,Safety,All electrical systems must maintain a minimum clearance of 2.5 meters above highest astronomical tide,Offshore substations in European waters,2.5,meters,European Union Offshore Safety Directive,electrical safety; operations
deepseek-chat,OWF-REG-2023,Offshore,164,4,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,164,4,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines in North Sea,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,164,4,Safety,Minimum clearance of 22 meters between lowest blade tip and mean high water spring tide,All offshore wind turbines in UK waters,22,meters,UK Marine and Coastal Access Act 2009,navigation safety; turbine design
deepseek-chat,NOW-REG-2023-001,Offshore,169,4,Environmental,All offshore wind projects must conduct a full environmental impact assessment (EIA) prior to construction,U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,NOW-REG-2023-001,Offshore,169,4,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,All offshore structures,50,years,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,NOW-REG-2023-001,Offshore,169,4,Safety,Minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,All offshore turbines,22,meters,International Maritime Organization (IMO),navigation safety; operations
