model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023,Offshore,116,33,Spatial,Turbines must maintain a minimum spacing of 5 times the rotor diameter between adjacent units,Wind farm array layout,5,rotor diameters,Industry Best Practices,energy yield; wake effects
deepseek-chat,NSOW-2023-0042,Offshore,117,33,Environmental,All wind farm developments must conduct a full Environmental Impact Assessment (EIA) prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,NSOW-2023-0042,Offshore,117,33,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,All offshore structures,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,NSOW-2023-0042,Offshore,117,33,Safety,Minimum 500m navigation clearance required around all substations,Offshore electrical infrastructure,500,meters,IMO COLREG Annex I,maritime safety; navigation
deepseek-chat,EWF-2023-001,Offshore,118,33,Environmental,Turbine foundations must avoid coral reef habitats within a 500-meter buffer zone.,North Atlantic offshore wind lease areas,500,meters,Marine Protection Act (MPA-2020),environmental; spatial
deepseek-chat,EWF-2023-001,Offshore,118,33,Technical,All electrical substations must comply with IEC 61400-22 standards for offshore wind installations.,Global offshore wind projects,,,International Electrotechnical Commission (IEC),technical; safety
deepseek-chat,OWF-NS-2023-001,Offshore,122,33,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Regulatory Authority (NSOWRA),Environmental protection; Spatial planning
deepseek-chat,OWF-NS-2023-001,Offshore,122,33,Technical,Substation platforms must comply with ISO 19901-4 for structural design.,Offshore wind substations,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,NSW-REG-2023-001,Offshore,126,33,Environmental,All wind farm projects must conduct an Environmental Impact Assessment (EIA) prior to construction.,North Sea Exclusive Economic Zone (EEZ),,,North Sea Offshore Wind Regulatory Authority (NSOWRA),Environmental; Permitting
deepseek-chat,NSW-REG-2023-001,Offshore,126,33,Technical,Wind turbine foundations must withstand wave heights of up to 25 meters.,Fixed-bottom offshore wind turbines,25,meters,ISO 19902:2022 (Offshore Structures),Structural Engineering; Safety
deepseek-chat,NSW-REG-2023-001,Offshore,126,33,Spatial,No construction within 5 nautical miles of designated shipping lanes.,All offshore wind projects in territorial waters,5,nautical miles,International Maritime Organization (IMO),Navigation Safety; Maritime Law
deepseek-chat,NSW-2023-45,Offshore,128,33,Environmental,All turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Marine habitat conservation
deepseek-chat,NSW-2023-45,Offshore,128,33,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Offshore wind substations in the North Sea,,,International Organization for Standardization (ISO),Structural engineering; Offshore construction
deepseek-chat,DOC-2023-WIND-001,Offshore,130,33,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,North Sea development zone,,,Marine Management Organization (MMO),environmental; permitting
deepseek-chat,DOC-2023-WIND-001,Offshore,130,33,Technical,Turbine foundations must withstand 1-in-50-year storm events,All offshore installations,50,years,International Electrotechnical Commission (IEC) 61400-3,engineering; safety
deepseek-chat,NS-OWF-2023-001,Offshore,155,33,Environmental,All wind farm developments must conduct a full Environmental Impact Assessment prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,NS-OWF-2023-001,Offshore,155,33,Technical,Turbine foundations must withstand 1-in-50-year storm wave conditions,All offshore installations,16.2,meter wave height,IEC 61400-3,structural engineering; safety
deepseek-chat,N/A (Example),Offshore,174,33,Safety,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW) to ensure navigational safety.,U.S. federal waters,22,meters,Bureau of Ocean Energy Management (BOEM),Safety; Navigation
deepseek-chat,N/A (Example),Offshore,174,33,Technical,Structural integrity under extreme wind conditions must comply with IEC 61400-3.,Fixed offshore wind turbines,,,International Electrotechnical Commission (IEC),Structural Engineering; Safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,191,33,Environmental,All turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine life passage,North Sea Exclusive Economic Zone,25,meters,OSPAR Convention Annex VII,environmental; structural design
deepseek-chat,NSOW-REG-2023-0042,Offshore,191,33,Technical,Substation platforms shall comply with IEC 61400-3 standards for offshore electrical installations,All offshore wind projects,,,International Electrotechnical Commission,electrical systems; safety
deepseek-chat,NOW-2023-001,Offshore,192,33,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,All offshore wind projects in federal waters,500,meters,Marine Protection Act (Section 12.4),environmental; spatial
deepseek-chat,NOW-2023-001,Offshore,192,33,Technical,All turbine foundations must comply with ISO 19902 standards for offshore structures.,Fixed-bottom and floating offshore wind turbines,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,OWF-2023-001,Offshore,228,33,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,228,33,Technical,Turbine foundations must withstand 1-in-50-year storm events,Fixed-bottom turbines in North Atlantic region,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,228,33,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind projects,1,nautical mile,International Maritime Organization (IMO),navigation safety; array optimization
deepseek-chat,NSOW-2023-001,Offshore,235,33,Environmental,Turbine foundations must be designed to minimize seabed disturbance,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; technical
deepseek-chat,NSOW-2023-001,Offshore,235,33,Technical,All electrical systems must comply with IEC 61400-24 for lightning protection,All offshore wind installations,,,International Electrotechnical Commission,technical; safety
deepseek-chat,NSOW-2023-001,Offshore,235,33,Spatial,Minimum 1 km spacing between turbines in predominant wind direction,North Sea wind farm zones,1,km,North Sea Wind Consortium,technical; safety
deepseek-chat,OWF-REG-2023,Offshore,238,33,Environmental,All turbine foundations must undergo marine mammal impact assessment prior to installation,North Sea development zones,,,OSPAR Convention Annex IV,environmental; safety
deepseek-chat,OWF-REG-2023,Offshore,238,33,Technical,Substation platforms shall withstand wave heights with 100-year return period,All offshore installations,16.2,meters,IEC 61400-3-1,technical; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,239,33,Environmental,All turbine foundations must undergo marine mammal impact assessment prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NS-OWF-2023-0042,Offshore,239,33,Technical,Substation platforms must withstand wave heights with 100-year return period,All offshore installations in Dogger Bank area,16.2,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,239,33,Spatial,Minimum 1km spacing between turbines in array,UK territorial waters,1,kilometers,The Offshore Electricity Infrastructure Regulations 2022,layout optimization; wake effects
deepseek-chat,NSOW-REG-2023-0042,Offshore,273,33,Environmental,All turbine foundations must undergo environmental impact assessment for marine mammal disturbance,North Sea Exclusive Economic Zone,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NSOW-REG-2023-0042,Offshore,273,33,Technical,"Substation platforms must be designed to withstand 1,000-year return period wave loads",All offshore installations in >30m water depth,1000,year return period,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,273,33,Spatial,Minimum 1km spacing between turbines in array,German Bight development zone,1,kilometer,Bundesamt für Seeschifffahrt Regulation 2021,array optimization; wake effects
deepseek-chat,NSOW-REG-2023-0042,Offshore,277,33,Environmental,All turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine life passage,North Sea Exclusive Economic Zone,25,meters,OSPAR Convention Annex VII,environmental; structural
deepseek-chat,NSOW-REG-2023-0042,Offshore,277,33,Technical,Substation platforms must comply with IEC 61400-3 design requirements,All offshore installations,,,International Electrotechnical Commission,electrical; safety
deepseek-chat,DOC-2023-001,Offshore,280,33,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Marine Spatial Planning Directive,environmental; safety
deepseek-chat,DOC-2023-001,Offshore,280,33,Technical,Substation foundations must comply with ISO 19902 for offshore structures.,Global offshore wind projects,,,ISO 19902,technical; safety
deepseek-chat,30 CFR Part 585,Offshore,290,33,Environmental,Lessees must conduct pre-construction surveys to assess potential impacts on marine mammals and sea turtles.,U.S. Outer Continental Shelf (OCS),,,BOEM 30 CFR § 585.627,Environmental impact; Wildlife protection
deepseek-chat,30 CFR Part 585,Offshore,290,33,Technical,Offshore wind turbine foundations must comply with ISO 19901-4 for geotechnical and structural design.,International waters,,,ISO 19901-4,Structural engineering; Safety
deepseek-chat,30 CFR Part 585,Offshore,290,33,Spatial,Wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,North Sea wind farms,1,nautical mile,European Maritime Safety Agency (EMSA),Navigation safety; Maritime traffic
deepseek-chat,NSOW-REG-2023-0042,Offshore,298,33,Environmental,All turbine foundations must undergo environmental impact assessments prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NSOW-REG-2023-0042,Offshore,298,33,Technical,Substation platforms must withstand wave heights with a 100-year return period,All offshore installations in >30m water depth,16.2,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,298,33,Safety,Minimum clearance of 22m must be maintained between lowest blade tip and highest astronomical tide,All rotating turbine components,22,meters,DNV-ST-0119,aviation safety; navigation
deepseek-chat,OWED-2023-001,Offshore,304,33,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from known migratory bird paths.,North Atlantic offshore wind lease areas,1,km,Marine Wildlife Protection Act (MWPA),Environmental; Wildlife Protection
deepseek-chat,OWED-2023-001,Offshore,304,33,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural Engineering; Safety
deepseek-chat,OWF-REG-2023,Offshore,305,33,Environmental,All wind turbine foundations must undergo environmental impact assessment for marine mammal disturbance,All North Sea projects,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,OWF-REG-2023,Offshore,305,33,Technical,"Substation platforms shall be designed to withstand 1,000-year return period wave loads",All offshore structures in US waters,1000,year return period,BOEM 2021 Technical Requirements,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,305,33,Safety,All personnel transfer systems must comply with ISO 29400:2015 requirements,Global offshore installations,,,International Maritime Organization,personnel safety; operations
deepseek-chat,NSW-REG-2023-004,Offshore,312,33,Environmental,Wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Marine spatial planning
deepseek-chat,NSW-REG-2023-004,Offshore,312,33,Technical,All turbine foundations must comply with ISO 19902 for fixed steel offshore structures.,Offshore wind turbine foundations,,,International Organization for Standardization (ISO),Structural engineering; Safety standards
deepseek-chat,NSW-REG-2023-004,Offshore,312,33,Safety,Helicopter landing zones on offshore substations must have a minimum diameter of 25 meters.,Offshore substations in European waters,25,meters,European Maritime Safety Agency (EMSA),Aviation safety; Emergency response
deepseek-chat,OWF-REG-2023-001,Offshore,317,33,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023-001,Offshore,317,33,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,317,33,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind arrays,1,nautical mile,Federal Aviation Administration (FAA) Advisory Circular 70/7460-1L,aviation safety; array optimization
deepseek-chat,NSW-2023-001,Offshore,318,33,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),"Environmental protection, spatial planning"
deepseek-chat,NSW-2023-001,Offshore,318,33,Technical,Turbine foundations must comply with ISO 19902 standards for offshore structures.,All offshore wind turbines,,,International Organization for Standardization (ISO),"Structural engineering, safety"
deepseek-chat,OWF-2023-001,Offshore,329,33,Environmental,All turbine foundations must maintain a minimum clearance of 15 meters from the seabed to allow for marine organism passage,Turbine foundations in North Sea projects,15,meters,OSPAR Commission Decision 2022/5,environmental; structural
deepseek-chat,OWF-2023-001,Offshore,329,33,Technical,Offshore substations must comply with IEC 61400-3 design requirements for offshore wind turbines,All offshore wind projects,,,International Electrotechnical Commission Standard 61400-3,technical; safety
deepseek-chat,OWF-2023-001,Offshore,329,33,Spatial,No construction within 1 km of designated shipping lanes,Wind farms in US federal waters,1,kilometers,BOEM Renewable Energy Regulations 30 CFR 585,navigation; safety
deepseek-chat,OWED-2023-001,Offshore,330,33,Environmental,Wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Atlantic offshore wind lease areas,1,km,Bureau of Ocean Energy Management (BOEM),Environmental impact; Wildlife protection
deepseek-chat,OWED-2023-001,Offshore,330,33,Technical,All offshore wind turbine foundations must comply with ISO 19902 standards for fixed steel offshore structures.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,OWED-2023-001,Offshore,330,33,Safety,Navigation lights must be installed on all wind turbines with a minimum luminous intensity of 10 candelas.,U.S. federal waters,10,candelas,U.S. Coast Guard (USCG),Maritime safety; Aviation safety
deepseek-chat,OWF-2023-001,Offshore,337,33,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,337,33,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines in North Atlantic,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,337,33,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind projects in UK waters,1,nautical mile,The Crown Estate UK,navigation safety; turbine efficiency
deepseek-chat,EWEA-2023-OSW-001,Offshore,339,33,Environmental,All turbine foundations must undergo a seabed impact assessment prior to installation.,All offshore wind projects in EU waters,,,EU Marine Strategy Framework Directive (2008/56/EC),ecological impact; construction
deepseek-chat,EWEA-2023-OSW-001,Offshore,339,33,Technical,Turbine towers must withstand wind speeds of up to 50 m/s.,North Sea installations,50,m/s,IEC 61400-3 Offshore Wind Turbine Design Standard,structural engineering; safety
deepseek-chat,EWEA-2023-OSW-001,Offshore,339,33,Spatial,Minimum 1 km clearance from shipping lanes required.,UK territorial waters,1,km,UK Maritime and Coastguard Agency (MCA),navigation safety; zoning
deepseek-chat,NOW-REG-2023-001,Offshore,356,33,Environmental,All offshore wind projects must conduct a full environmental impact assessment (EIA) prior to construction,All US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,NOW-REG-2023-001,Offshore,356,33,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines,,,ISO 19901-1:2015,structural engineering; safety
deepseek-chat,NOW-REG-2023-001,Offshore,356,33,Safety,Minimum clearance of 22 meters must be maintained between lowest blade tip and highest astronomical tide,All offshore wind turbines,22,meters,International Electrotechnical Commission (IEC) 61400-3,aviation safety; navigation
deepseek-chat,30 CFR Part 585,Offshore,357,33,Spatial,Wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,U.S. federal waters,1,nautical mile,BOEM 30 CFR §585.627,Navigation safety; Maritime operations
deepseek-chat,30 CFR Part 585,Offshore,357,33,Environmental,Pre-construction surveys must assess potential impacts on marine mammals.,Offshore wind lease areas,,,BOEM 30 CFR §585.601,Wildlife protection; Environmental compliance
deepseek-chat,30 CFR Part 585,Offshore,357,33,Technical,Turbine foundations must comply with ISO 19901-4 for offshore structures.,Fixed-bottom offshore wind turbines,,,ISO 19901-4,Structural engineering; Safety standards
deepseek-chat,30 CFR Part 585,Offshore,409,33,Spatial,Wind turbine spacing must be at least 1 nautical mile apart,U.S. Outer Continental Shelf,1,nautical mile,30 CFR § 585.213,layout design; navigation safety
deepseek-chat,30 CFR Part 585,Offshore,409,33,Environmental,Projects must conduct a NEPA environmental impact assessment,All U.S. offshore wind projects,,,National Environmental Policy Act,environmental protection; permitting
deepseek-chat,30 CFR Part 585,Offshore,409,33,Technical,Substation foundations must meet ASCE/SEI 7-16 Minimum Design Loads standards,Offshore electrical infrastructure,,,ASCE/SEI 7-16,structural engineering; safety
deepseek-chat,NS-OWF-2023-17,Offshore,410,33,Environmental,All turbine foundations must undergo environmental impact assessment for seabed disturbance,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NS-OWF-2023-17,Offshore,410,33,Technical,Substation platforms shall withstand wave heights with 100-year return period,All offshore installations,16.2,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,DOC-2023-001,Offshore,427,33,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Directive 2023/AB,environmental; safety
deepseek-chat,DOC-2023-001,Offshore,427,33,Technical,Substation foundations must comply with ISO 19902 standards for offshore structures.,Global offshore wind projects,,,ISO 19902,technical; safety
deepseek-chat,OWED-2023-001,Offshore,429,33,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine mammal habitats.,North Atlantic offshore wind lease areas,1,km,Marine Mammal Protection Act (MMPA),wildlife protection; construction planning
deepseek-chat,OWED-2023-001,Offshore,429,33,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural integrity.,Global offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
