model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,NSW-2023-001,Offshore,23,44,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Offshore wind substations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,DOC-2023-001,Offshore,26,44,Environmental,All turbines must maintain a minimum clearance of 500 meters from marine protected areas.,North Sea offshore wind projects,500,meters,Marine Spatial Planning Directive 2023,environmental; safety
deepseek-chat,NSW-2023-45,Offshore,30,44,Environmental,All turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Spatial planning
deepseek-chat,NSW-2023-45,Offshore,30,44,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Offshore wind substations,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,NOWED-2023-001,Offshore,31,44,Environmental,All offshore wind projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,NOWED-2023-001,Offshore,31,44,Technical,"Wind turbine foundations must withstand a 1,000-year return period storm event",Fixed-bottom turbines in North Atlantic OCS,1000,year return period,ISO 19901-4,structural engineering; safety
deepseek-chat,NOWED-2023-001,Offshore,31,44,Spatial,No construction within 15 nautical miles of designated marine mammal migration corridors,Atlantic offshore lease areas,15,nautical miles,Marine Mammal Protection Act,wildlife protection; siting
deepseek-chat,30 CFR Part 585,Offshore,33,44,Environmental,Projects must conduct an Environmental Impact Assessment (EIA) before construction.,U.S. federal waters,,,30 CFR § 585.627,environmental; permitting
deepseek-chat,30 CFR Part 585,Offshore,33,44,Technical,Wind turbine foundations must withstand a 1-in-100-year extreme wave event.,Offshore structures in the Atlantic OCS,100,years,BOEM Engineering Guidelines,structural engineering; safety
deepseek-chat,30 CFR Part 585,Offshore,33,44,Safety,All personnel must comply with OSHA 29 CFR 1910 and 1926 standards.,All U.S. offshore wind operations,,,OSHA Regulations,worker safety; construction
deepseek-chat,NSW-REG-2023-004,Offshore,34,44,Environmental,All wind farm projects must conduct a full Environmental Impact Assessment (EIA) before construction begins.,North Sea Exclusive Economic Zone (EEZ),,,OSPAR Commission,Environmental; Permitting
deepseek-chat,NSW-REG-2023-004,Offshore,34,44,Technical,Wind turbine foundations must be designed to withstand a 1-in-50-year extreme wave height event.,Fixed-bottom turbines in water depths < 50m,50,years,ISO 19901-1,Structural Engineering; Safety
deepseek-chat,NSW-REG-2023-004,Offshore,34,44,Spatial,No construction within 5 km of designated marine protected areas.,All North Sea wind farms,5,km,EU Marine Strategy Framework Directive,Environmental; Zoning
deepseek-chat,OWED-2023-001,Offshore,45,44,Environmental,Wind turbines must maintain a minimum clearance of 1 km from known marine mammal migration routes.,North Atlantic offshore wind zones,1,km,Marine Wildlife Protection Act (MWPA),Environmental; Wildlife Protection
deepseek-chat,OWED-2023-001,Offshore,45,44,Technical,All offshore wind structures must comply with ISO 19901-5 for structural integrity under cyclic loading.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural Engineering; Safety
deepseek-chat,OWED-2023-001,Offshore,45,44,Spatial,No wind turbine may be constructed within 12 nautical miles of a designated shipping lane.,U.S. Exclusive Economic Zone (EEZ),12,nautical miles,Bureau of Ocean Energy Management (BOEM),Maritime Navigation; Safety
deepseek-chat,OWF-NS-2023-001,Offshore,48,44,Environmental,All wind turbines must maintain a minimum distance of 1 km from protected marine habitats.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Environmental Protection Agency (NSEPA),Environmental; Spatial
deepseek-chat,OWF-NS-2023-001,Offshore,48,44,Technical,Substation platforms must comply with ISO 19901-5 for structural integrity.,Offshore wind farm substations,,,International Organization for Standardization (ISO),Technical; Safety
deepseek-chat,OWF-REG-2023,Offshore,53,44,Environmental,All turbine foundations must undergo environmental impact assessment for marine mammal disturbance,North Sea development zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,OWF-REG-2023,Offshore,53,44,Technical,Substation platforms shall withstand wave heights with 100-year return period,All offshore installations,,,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,53,44,Spatial,Minimum 1km spacing between turbines in array,US Outer Continental Shelf,1,km,BOEM 2020 Guidelines,array optimization; safety
deepseek-chat,NOW-2023-001,Offshore,56,44,Environmental,Wind turbines must maintain a minimum distance of 500 meters from known marine mammal migration routes.,U.S. federal waters,500,meters,Bureau of Ocean Energy Management (BOEM),wildlife protection; marine ecosystems
deepseek-chat,NOW-2023-001,Offshore,56,44,Technical,All offshore wind structures must comply with ISO 19901-5 for structural integrity under cyclic loading.,International waters,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,NOW-REG-2023-001,Offshore,58,44,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,NOW-REG-2023-001,Offshore,58,44,Technical,"Substation foundations must withstand a 1,000-year return period storm event",Offshore structures in North Atlantic waters,1000,year return period,ISO 19902:2020,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,59,44,Environmental,All turbine foundations must maintain a minimum clearance of 500m from identified coral habitats,North Sea Exclusive Economic Zone,500,meters,OSPAR Convention Annex VII,environmental; spatial
deepseek-chat,NS-OWF-2023-0042,Offshore,59,44,Technical,Substation platforms shall comply with IEC 61400-3 design requirements for offshore structures,All electrical infrastructure,,,International Electrotechnical Commission,technical; safety
