model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
claude-3-5-haiku-20241022,,Offshore,9,18,Environmental,Compliance with 40 CFR § 1501.9(e)(1),Environmental impact assessment,,,Code of Federal Regulations,Environmental Review; Impact Assessment
claude-3-5-haiku-20241022,,Offshore,10,18,Environmental,Submit a complete description of the preliminary area of potential effect (PAPE) before BOEM will initiate the section 106 process,Offshore wind project areas,,,National Historic Preservation Act (NHPA),Environmental Assessment; Cultural Resource Protection
claude-3-5-haiku-20241022,,Offshore,10,18,Technical,Provide detailed description of environmental resources and impact producing factors (IPFs) with sufficient detail to support NEPA and other environmental law analyses,Entire project area,,,NEPA (National Environmental Policy Act),Environmental Planning; Impact Assessment
claude-3-5-haiku-20241022,,Offshore,10,18,Spatial,Identify layout and design options for resources anticipated to be significantly impacted or of stakeholder concern,Project design and layout,,,BOEM Regulatory Guidelines,Project Planning; Stakeholder Engagement
claude-3-5-haiku-20241022,,Offshore,11,18,Jurisdictional,Regulatory references for offshore wind farm development,Offshore renewable energy installations,,,"['43 CFR § 46.420(b)', '30 CFR §§ 585.626(a)(5)', '30 CFR §§ 585.627(a)(6)', '30 CFR § 585.627(a)', '30 CFR § 585.626(b)(15)', '30 CFR §§ 585.621']",Regulatory Compliance; Offshore Energy Development
claude-3-5-haiku-20241022,,Offshore,12,18,Jurisdictional,Applicant must consult with agencies prior to COP submission,Offshore wind project development,,,BOEM Guidelines,Regulatory Compliance; Project Planning
claude-3-5-haiku-20241022,,Offshore,12,18,Environmental,Provide detailed dredged or fill material analysis under 40 CFR part 230,Clean Water Act Section 404 permit activities,,,"Clean Water Act, 40 CFR part 230",Environmental Assessment; Marine Ecology
claude-3-5-haiku-20241022,,Offshore,12,18,Technical,"Complete seascape, landscape, and visual impact assessment (SLVIA) report",Offshore and onshore project components,,,BOEM Visual Impact Assessment Guidelines,Visual Resources; Environmental Impact
claude-3-5-haiku-20241022,,Offshore,13,18,Jurisdictional,Specific regulatory code references for offshore wind development,Offshore wind project planning and operations,,,30 CFR § 585.626(b)(17),Regulatory Compliance; Project Planning
claude-3-5-haiku-20241022,,Offshore,13,18,Jurisdictional,Additional regulatory code references for offshore wind development,Offshore wind project planning and operations,,,30 CFR § 585.626(b)(14),Regulatory Compliance; Project Planning
claude-3-5-haiku-20241022,,Offshore,13,18,Jurisdictional,Specific operational regulatory requirement,Offshore wind project operations,,,30 CFR § 585.627(a)(7),Regulatory Compliance; Project Operations
claude-3-5-haiku-20241022,30 CFR Part 585,Offshore,14,18,Environmental,Benthic habitat assessment must include multibeam and side scan sonar data for 100 percent of the project area,Atlantic Outer Continental Shelf,100.0,percent,BOEM Guidelines,environmental mapping; marine habitat
claude-3-5-haiku-20241022,30 CFR Part 585,Offshore,14,18,Technical,Benthic habitat data must be characterized according to the Coastal and Marine Ecological Classification Standard (CMECS),"Offshore, inshore, estuarine, and riverine areas",,,BOEM Guidelines,ecological classification; marine habitat mapping
claude-3-5-haiku-20241022,30 CFR Part 585,Offshore,14,18,Environmental,Benthic flora and fauna should be classified to the most precise taxonomic unit practicable (at least to family),Project area biological classification,,,BOEM Guidelines,biological taxonomy; marine ecology
claude-3-5-haiku-20241022,30 CFR Part 585,Offshore,14,18,Technical,Sediment grain size analysis must use Wentworth scale classification system to report percent sample composition,Sediment composition analysis,,,BOEM Guidelines,geological analysis; marine geology
claude-3-5-haiku-20241022,30 CFR Part 585,Offshore,14,18,Environmental,Identify and delineate all essential fish habitat and habitat areas of particular concern,Project area marine habitats,,,BOEM Guidelines,marine conservation; habitat protection
claude-3-5-haiku-20241022,,Offshore,16,18,Technical,Provide maximum and minimum number of export cables,Subsea Cable Infrastructure,,,BOEM Guidelines,Technical Design; Infrastructure Planning
claude-3-5-haiku-20241022,,Offshore,16,18,Technical,Specify minimum and maximum cable burial depths,Subsea Cable Installation,,,BOEM Guidelines,Technical Design; Marine Engineering
claude-3-5-haiku-20241022,,Offshore,16,18,Safety,Conduct Navigation Safety Risk Assessment (NSRA) per U.S. Coast Guard NVIC 01-19,Offshore Wind Project Navigation,,,U.S. Coast Guard Navigation and Vessel Inspection Circular (NVIC) 01-19,Maritime Safety; Risk Assessment
claude-3-5-haiku-20241022,,Offshore,16,18,Technical,Provide analysis of subsea cable risks to maritime users,Maritime Interaction,,,BOEM Guidelines,Maritime Safety; Risk Management
